"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.33382803","-0.10468395","0.069483876"
"2","1.4462249","-0.64337635","-0.9331786","null","null","null"
"3","null","null","null","0.33749312","-0.10162971","0.07009472"
"5","1.5054241","-0.6738777","-0.934458","null","null","null"
"6","null","null","null","0.34176904","-0.10162971","0.071927264"
"7","null","null","null","0.34360158","-0.099797174","0.07437065"
"9","null","null","null","0.34665582","-0.096742935","0.0749815"
"10","1.4950423","-0.7102823","-0.8936289","null","null","null"
"11","null","null","null","0.34848836","-0.09307785","0.07681404"
"14","null","null","null","0.34971005","-0.08635853","0.078035735"
"15","1.4259781","-0.7274771","-0.89572805","null","null","null"
"16","null","null","null","0.35215345","-0.07841752","0.07742489"
"19","null","null","null","0.35459682","-0.065589726","0.078646585"
"20","1.3557997","-0.73983574","-0.8079978","null","null","null"
"21","null","null","null","0.3582619","-0.052151084","0.0749815"
"24","1.2548785","-0.7581425","-0.696244","null","null","null"
"25","null","null","null","0.36131614","-0.036879905","0.071927264"
"26","null","null","null","0.36437038","-0.024052111","0.07009472"
"29","null","null","null","0.36620292","-0.008780929","0.06642964"
"30","1.1364264","-0.75728226","-0.62031066","null","null","null"
"31","null","null","null","0.36864632","0.0077119465","0.05971032"
"33","null","null","null","0.3723114","0.026037365","0.052991"
"34","0.945795","-0.72295284","-0.6316055","null","null","null"
"36","null","null","null","0.37414396","0.04253024","0.04497363"
"39","0.79684967","-0.6073847","-0.65946823","null","null","null"
"40","null","null","null","0.3771982","0.05596888","0.035200074"
"41","null","null","null","0.37841988","0.06940752","0.022983128"
"43","null","null","null","0.37903073","0.08651124","0.014431266"
"44","0.68858624","-0.4597168","-0.7757157","null","null","null"
"46","null","null","null","0.38025242","0.09750649","0.004046863"
"48","null","null","null","0.3826958","0.10239327","-0.0069483877"
"49","0.66990364","-0.3289957","-0.8403392","null","null","null"
"50","null","null","null","0.38697174","0.10300412","-0.01733279"
"53","null","null","null","0.38941512","0.104225814","-0.025273805"
"54","0.5637228","-0.22835445","-0.9105534","null","null","null"
"55","null","null","null","0.3875826","0.10056073","-0.034436513"
"58","null","null","null","0.39002597","0.09750649","-0.044820916"
"58","0.52071655","-0.16731167","-0.9662836","null","null","null"
"61","null","null","null","0.3967453","0.10544751","-0.061313793"
"63","null","null","null","0.39613444","0.09750649","-0.08269345"
"64","0.5952845","-0.06934261","-1.0682147","null","null","null"
"66","null","null","null","0.38941512","0.072461754","-0.08635853"
"68","null","null","null","0.37536564","0.041308545","-0.081471756"
"69","0.89747834","0.0428524","-0.912313","null","null","null"
"70","null","null","null","0.36131614","0.012598725","-0.074752435"
"73","null","null","null","0.34971005","-0.0069483877","-0.07230905"
"74","0.18017858","-0.38661194","-1.6340833","null","null","null"
"75","null","null","null","0.34176904","-0.028328042","-0.071698196"
"78","null","null","null","0.33749312","-0.047264308","-0.0704765"
"79","0.29576886","-0.47835255","-1.4314275","null","null","null"
"80","null","null","null","0.33260635","-0.07719582","-0.06864396"
"83","0.42897117","-0.54961395","-1.1145673","null","null","null"
"84","null","null","null","0.3271087","-0.10651649","-0.065589726"
"86","null","null","null","0.32405448","-0.13644801","-0.059481252"
"88","null","null","null","0.32222193","-0.16454698","-0.05276193"
"88","0.34032655","-0.64105034","-1.0660529","null","null","null"
"90","null","null","null","0.32100025","-0.1908134","-0.046042614"
"93","null","null","null","0.3191677","-0.20852798","-0.036879905"
"93","0.23916179","-0.66296005","-1.0020657","null","null","null"
"95","null","null","null","0.3191677","-0.21830153","-0.02893889"
"98","null","null","null","0.31977853","-0.22135578","-0.021608721"
"98","0.21986312","-0.5723829","-0.77313864","null","null","null"
"100","null","null","null","0.32100025","-0.21830153","-0.014278554"
"103","null","null","null","0.3203894","-0.21341476","-0.009391776"
"104","0.23462719","-0.3885994","-0.48348522","null","null","null"
"106","null","null","null","0.3191677","-0.20547375","-0.0020616094"
"108","0.2439642","-0.07347202","-0.30675393","null","null","null"
"108","null","null","null","0.3167243","-0.19264595","0.0046577104"
"110","null","null","null","0.31122667","-0.17920731","0.008322794"
"113","null","null","null","0.30695075","-0.16760121","0.01137703"
"113","0.21700746","0.3620577","-0.21802765","null","null","null"
"116","null","null","null","0.30206397","-0.15599512","0.01137703"
"118","null","null","null","0.2947338","-0.14011309","0.008322794"
"118","0.25822353","0.7719517","-0.12282385","null","null","null"
"120","null","null","null","0.28618193","-0.11690089","0.006490252"
"123","null","null","null","0.27824092","-0.08513684","0.0028251687"
"123","0.33427858","1.1227417","0.031114623","null","null","null"
"125","null","null","null","0.26968905","-0.053372778","-0.0014507623"
"128","null","null","null","0.2599155","-0.0264955","-0.008780929"
"128","0.3891387","1.3511219","0.25438264","null","null","null"
"130","null","null","null","0.2495311","-0.0014507623","-0.016111096"
"133","null","null","null","0.23853585","0.026037365","-0.023441264"
"133","0.4398048","1.5253639","0.2550349","null","null","null"
"135","null","null","null","0.2275406","0.048638713","-0.031382278"
"137","null","null","null","0.21654536","0.06818583","-0.0381016"
"138","0.46716958","1.5618467","0.24971162","null","null","null"
"140","null","null","null","0.20493926","0.08040277","-0.042988375"
"142","0.47471803","1.4822655","0.20492285","null","null","null"
"143","null","null","null","0.19211146","0.08956548","-0.050318543"
"145","null","null","null","0.1835596","0.09750649","-0.05764871"
"147","null","null","null","0.17684028","0.11766446","-0.059481252"
"147","0.49595475","1.271224","0.09587988","null","null","null"
"150","null","null","null","0.1731752","0.13843326","-0.059481252"
"152","0.45516437","0.9851103","0.055701524","null","null","null"
"153","null","null","null","0.16523418","0.13293563","-0.06620057"
"155","null","null","null","0.15179555","0.10605835","-0.07658497"
"157","null","null","null","0.1395786","0.07795938","-0.08269345"
"158","0.49060613","0.68493557","-0.36202765","null","null","null"
"160","null","null","null","0.1279725","0.060855657","-0.08880192"
"162","null","null","null","0.11575556","0.05780142","-0.0936887"
"162","0.41780543","0.4484415","-0.7073605","null","null","null"
"165","null","null","null","0.09743014","0.048027866","-0.099797174"
"167","0.1853947","0.11294556","-0.46678334","null","null","null"
"168","null","null","null","0.08093726","0.045584477","-0.102851406"
"170","null","null","null","0.0704765","0.04741702","-0.10162971"
"172","-0.057449758","-0.09662342","-0.42009535","null","null","null"
"173","null","null","null","0.06253549","0.055358034","-0.102851406"
"175","null","null","null","0.05764871","0.06207735","-0.10468395"
"177","-0.32976162","-0.15531063","-0.19946289","null","null","null"
"178","null","null","null","0.053983625","0.06452074","-0.105294794"
"179","null","null","null","0.049707696","0.06940752","-0.10773818"
"182","-0.3887616","-0.18763924","-0.24491096","null","null","null"
"183","null","null","null","0.04665346","0.0742943","-0.10957073"
"185","null","null","null","0.042377528","0.079181075","-0.10957073"
"187","null","null","null","0.038712446","0.08284616","-0.11079242"
"187","-0.42849675","-0.2127657","-0.31699598","null","null","null"
"190","null","null","null","0.03504736","0.08651124","-0.112624966"
"192","null","null","null","0.031382278","0.08651124","-0.112624966"
"192","-0.374821","-0.2414589","-0.3917494","null","null","null"
"195","null","null","null","0.027106347","0.08651124","-0.11323581"
"197","null","null","null","0.022830416","0.08406785","-0.11018158"
"198","-0.2853874","-0.26294804","-0.5002768","null","null","null"
"199","null","null","null","0.01977618","0.08101362","-0.10712734"
"202","null","null","null","0.015500249","0.079181075","-0.10346226"
"202","-0.22267252","-0.22821045","-0.5743353","null","null","null"
"205","null","null","null","0.011224318","0.07490514","-0.09857547"
"206","null","null","null","0.0051158457","0.06940752","-0.09307785"
"207","-0.13417912","-0.15285301","-0.5722195","null","null","null"
"209","null","null","null","0.0020616094","0.063299045","-0.086969376"
"212","-0.051153958","-0.07875824","-0.5273879","null","null","null"
"212","null","null","null","-3.8177954E-4","0.05780142","-0.08025006"
"214","null","null","null","-0.001603474","0.04680617","-0.074141584"
"217","null","null","null","2.2906772E-4","0.037032615","-0.065589726"
"217","0.04189068","-0.019069672","-0.40612033","null","null","null"
"219","null","null","null","2.2906772E-4","0.026037365","-0.058259558"
"222","0.12931281","0.011898994","-0.24658722","null","null","null"
"222","null","null","null","0.0026724567","0.01565296","-0.050318543"
"225","null","null","null","0.00633754","0.0046577104","-0.042988375"
"226","0.23976988","0.0058164597","-0.12040874","null","null","null"
"226","null","null","null","0.0075592347","-0.0045049987","-0.03260397"
"229","null","null","null","0.010613471","-0.011224318","-0.024662958"
