"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.19402036","0.03153499","-0.10040802"
"3","-0.02825892","0.04697132","0.13471544","null","null","null"
"3","null","null","null","-0.1982963","0.035200074","-0.1040731"
"5","null","null","null","-0.20135053","0.040697698","-0.10773818"
"6","-0.009848833","-0.0059108734","0.1285922","null","null","null"
"7","null","null","null","-0.20562646","0.045584477","-0.10834903"
"13","null","null","null","-0.21051323","0.04924956","-0.11018158"
"14","-0.0080292225","-0.06071663","0.11494619","null","null","null"
"14","null","null","null","-0.21417832","0.052914646","-0.11018158"
"15","null","null","null","-0.2178434","0.056579728","-0.112014115"
"16","0.0033808947","-0.10554695","0.08436665","null","null","null"
"20","null","null","null","-0.22395188","0.059023116","-0.112014115"
"21","0.010003328","-0.12266731","0.023875952","null","null","null"
"22","null","null","null","-0.22761697","0.059633963","-0.112014115"
"22","null","null","null","-0.23189288","0.061466504","-0.11079242"
"25","-0.02266705","-0.12773228","-0.03528309","null","null","null"
"26","null","null","null","-0.23433629","0.06024481","-0.11018158"
"27","null","null","null","-0.23677967","0.05780142","-0.10895988"
"29","null","null","null","-0.23922306","0.059023116","-0.10834903"
"30","-0.06584096","-0.11965561","-0.05379802","null","null","null"
"32","null","null","null","-0.2410556","0.056579728","-0.105905645"
"34","null","null","null","-0.2422773","0.053525493","-0.105294794"
"35","-0.09693372","-0.11397362","-0.07824701","null","null","null"
"37","null","null","null","-0.243499","0.052303795","-0.10101887"
"39","null","null","null","-0.243499","0.048027866","-0.099797174"
"40","-0.1446451","-0.12609196","-0.1345917","null","null","null"
"42","null","null","null","-0.24533153","0.04497363","-0.099797174"
"44","-0.13988984","-0.12975407","-0.19648394","null","null","null"
"45","null","null","null","-0.24716407","0.04008685","-0.09491039"
"47","null","null","null","-0.24655323","0.03581092","-0.09307785"
"49","null","null","null","-0.24899662","0.033367533","-0.09185616"
"50","-0.1603564","-0.13689709","-0.25075233","null","null","null"
"51","null","null","null","-0.24899662","0.030924143","-0.090023614"
"54","null","null","null","-0.24716407","0.026648212","-0.08635853"
"54","-0.17374682","-0.1380024","-0.27961826","null","null","null"
"57","null","null","null","-0.24716407","0.02725906","-0.08330429"
"59","null","null","null","-0.24410984","0.026648212","-0.07902836"
"59","-0.184991","-0.1283617","-0.27487147","null","null","null"
"61","null","null","null","-0.2410556","0.027869906","-0.07719582"
"64","null","null","null","-0.23555797","0.030313294","-0.07536328"
"64","-0.21654499","-0.112841606","-0.2176005","null","null","null"
"67","null","null","null","-0.2306712","0.030924143","-0.07108735"
"69","-0.23982036","-0.11048508","-0.18049741","null","null","null"
"69","null","null","null","-0.22456272","0.034589227","-0.06864396"
"71","null","null","null","-0.22028679","0.035200074","-0.06620057"
"73","null","null","null","-0.21417832","0.035200074","-0.06375718"
"74","-0.2512535","-0.080833435","-0.16103387","null","null","null"
"77","null","null","null","-0.20806985","0.038865156","-0.061313793"
"78","null","null","null","-0.20257223","0.037643462","-0.0600921"
"79","-0.27228117","-0.037184715","-0.19341287","null","null","null"
"81","null","null","null","-0.1982963","0.03642177","-0.058259558"
"83","null","null","null","-0.19218782","0.03642177","-0.05764871"
"84","-0.3478726","-0.00458622","-0.17636395","null","null","null"
"86","null","null","null","-0.18607935","0.03642177","-0.05581617"
"89","null","null","null","-0.18424681","0.03825431","-0.055205323"
"90","-0.32798105","0.009929657","-0.15660638","null","null","null"
"91","null","null","null","-0.18119256","0.039476003","-0.055205323"
"93","null","null","null","-0.17874917","0.04191939","-0.054594472"
"94","-0.34625745","-0.0029850006","-0.18189871","null","null","null"
"96","null","null","null","-0.17630579","0.04680617","-0.054594472"
"99","null","null","null","-0.17325155","0.048638713","-0.053983625"
"99","-0.34064615","-0.0015525818","-0.16760015","null","null","null"
"101","null","null","null","-0.17202985","0.053525493","-0.054594472"
"103","-0.4050733","0.0141096115","-0.1378712","null","null","null"
"104","null","null","null","-0.17019732","0.059633963","-0.054594472"
"107","null","null","null","-0.16897562","0.063909896","-0.055205323"
