"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.10224056","0.25067645","0.0012980504"
"4","null","null","null","0.10468395","0.24945475","7.635591E-5"
"5","-0.1039654","0.055832863","0.14348936","null","null","null"
"5","null","null","null","0.10773818","0.252509","7.635591E-5"
"8","null","null","null","0.10712734","0.2543415","-5.344914E-4"
"8","-0.07843602","0.14519215","0.25389224","null","null","null"
"10","null","null","null","0.10895988","0.25373068","7.635591E-5"
"13","null","null","null","0.10773818","0.25189814","-0.0011453386"
"13","-0.04244542","0.24092484","0.11760801","null","null","null"
"15","null","null","null","0.10773818","0.25311983","-5.344914E-4"
"18","null","null","null","0.10712734","0.25311983","-5.344914E-4"
"18","-0.0043736696","0.32754993","0.13326454","null","null","null"
"20","null","null","null","0.10468395","0.25373068","-5.344914E-4"
"23","null","null","null","0.10346226","0.25311983","-5.344914E-4"
"23","0.022703886","0.3802271","0.06467199","null","null","null"
"25","null","null","null","0.10040802","0.25556323","6.8720314E-4"
"28","null","null","null","0.09918632","0.2543415","7.635591E-5"
"28","0.07335138","0.39211273","0.022978365","null","null","null"
"29","null","null","null","0.0936887","0.252509","-5.344914E-4"
"33","null","null","null","0.092467","0.25128728","7.635591E-5"
"34","0.104546666","0.35525608","-0.066737354","null","null","null"
"34","null","null","null","0.090634465","0.2500656","-0.0011453386"
"38","null","null","null","0.08574768","0.2500656","-0.0011453386"
"38","0.1437447","0.2902403","-0.11631274","null","null","null"
"40","null","null","null","0.081471756","0.24823305","-0.0017561859"
"43","0.16123998","0.22935772","-0.16747683","null","null","null"
"43","null","null","null","0.07841752","0.24640052","-5.344914E-4"
"45","null","null","null","0.07291989","0.24334627","7.635591E-5"
"47","0.1323322","0.16426277","-0.19524723","null","null","null"
"48","null","null","null","0.068033114","0.24090289","7.635591E-5"
"50","null","null","null","0.06375718","0.23418356","0.0019088977"
"52","null","null","null","0.058870405","0.23112933","0.0037414394"
"53","0.08357751","0.07242489","-0.24971455","null","null","null"
"54","null","null","null","0.053372778","0.2256317","0.004963134"
"59","null","null","null","0.046042614","0.21952324","0.006795676"
"59","0.029398203","-0.024557114","-0.24745089","null","null","null"
"59","null","null","null","0.042988375","0.21280392","0.0086282175"
"62","null","null","null","0.0381016","0.20669544","0.011071607"
"62","-0.057431817","-0.10647392","-0.21754879","null","null","null"
"66","null","null","null","0.03321482","0.2036412","0.014125843"
"67","-0.11961651","-0.13784122","-0.14832962","null","null","null"
"67","null","null","null","0.02893889","0.19814359","0.014736691"
"69","null","null","null","0.023441264","0.19692189","0.015347538"
"71","null","null","null","0.017943637","0.19570018","0.016569233"
"72","-0.16817248","-0.16298199","-0.049548328","null","null","null"
"74","null","null","null","0.016111096","0.19875443","0.017790927"
"77","null","null","null","0.014278554","0.2024195","0.019623468"
"77","-0.21855295","-0.14517593","0.07006365","null","null","null"
"79","null","null","null","0.014278554","0.2073063","0.020234315"
"82","-0.24823141","-0.14057827","0.19829333","null","null","null"
"82","null","null","null","0.014278554","0.21769069","0.019623468"
"84","null","null","null","0.013667707","0.22746424","0.020234315"
"87","null","null","null","0.016721943","0.2384595","0.02145601"
"87","-0.2858498","-0.119410515","0.3184167","null","null","null"
"90","null","null","null","0.019165333","0.25128728","0.020234315"
"92","-0.31714976","-0.09962559","0.41721606","null","null","null"
"92","null","null","null","0.024052111","0.26533678","0.020234315"
"94","null","null","null","0.027717194","0.28060797","0.020234315"
"97","-0.33499825","-0.065794945","0.4413944","null","null","null"
"98","null","null","null","0.031993125","0.29587916","0.020845164"
"99","null","null","null","0.036879905","0.31542626","0.019623468"
"103","null","null","null","0.04176668","0.33314082","0.01901262"
"105","-0.335994","-0.006160736","0.43666416","null","null","null"
"105","null","null","null","0.046042614","0.35329878","0.018401774"
"106","null","null","null","0.049707696","0.37223506","0.01718008"
"106","-0.3416468","0.031582832","0.40569997","null","null","null"
"109","null","null","null","0.054594472","0.3936147","0.01718008"
"111","null","null","null","0.058259558","0.41255096","0.014736691"
"112","-0.33174515","0.067801476","0.327367","null","null","null"
"114","null","null","null","0.06253549","0.43393064","0.015958386"
"116","null","null","null","0.06620057","0.45347774","0.014125843"
"118","-0.33961117","0.11200237","0.22583413","null","null","null"
"118","null","null","null","0.068033114","0.47302485","0.012904149"
"121","null","null","null","0.071698196","0.49012858","0.011682454"
"122","-0.33670557","0.14870739","0.087150216","null","null","null"
"124","null","null","null","0.07291989","0.5060106","0.011071607"
