"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-1.3497434","0.8574005","0.72492296"
"2","3.032452","-0.55315685","-2.4181864","null","null","null"
"3","null","null","null","-1.471302","0.7248466","0.7035433"
"3","null","null","null","-1.6105752","0.5678589","0.68277454"
"8","null","null","null","-1.7675629","0.3870481","0.660784"
"9","3.6023202","-1.1342993","-4.9791813","null","null","null"
"9","null","null","null","-1.9337133","0.19157697","0.63940436"
"11","null","null","null","-2.1102483","-0.011835165","0.61985725"
"12","4.0765214","-1.9523773","-6.901829","null","null","null"
"13","null","null","null","-2.2880049","-0.22990763","0.5996993"
"15","4.4441495","-3.0305538","-8.097514","null","null","null"
"16","null","null","null","-2.4651504","-0.45225605","0.5795413"
"18","null","null","null","-2.636264","-0.6739936","0.5630485"
"22","null","null","null","-2.799971","-0.888401","0.5471664"
"23","4.702668","-4.2338867","-8.943274","null","null","null"
"23","null","null","null","-2.9514613","-1.0967762","0.5318953"
"26","4.600464","-5.568369","-9.31629","null","null","null"
"27","null","null","null","-3.0901237","-1.2806413","0.52151084"
"28","null","null","null","-3.212293","-1.4443483","0.5160132"
"30","null","null","null","-3.3149154","-1.5781239","0.51906747"
"31","4.1348753","-7.046814","-8.90839","null","null","null"
"34","null","null","null","-3.3943255","-1.6892982","0.5312844"
"37","3.1037805","-8.722058","-7.9152203","null","null","null"
"38","null","null","null","-3.451745","-1.7668757","0.5557183"
"38","null","null","null","-3.487785","-1.8114675","0.5911474"
"41","null","null","null","-3.5067215","-1.8249062","0.63573927"
"41","1.6375163","-10.399152","-6.6814947","null","null","null"
"43","null","null","null","-3.503667","-1.8010831","0.68705046"
"45","null","null","null","-3.5000021","-1.7552696","0.7456918"
"46","0.22392714","-11.755419","-5.1599264","null","null","null"
"51","null","null","null","-3.5048888","-1.7143428","0.8012789"
"52","-0.9463855","-12.671525","-3.4173408","null","null","null"
"53","null","null","null","-3.4810658","-1.6526473","0.8544226"
"53","null","null","null","-3.451745","-1.5744588","0.90267956"
"57","null","null","null","-3.4236462","-1.4706148","0.9460497"
"58","-2.009742","-12.801688","-2.35542","null","null","null"
"58","null","null","null","-3.3918822","-1.3411151","0.9863656"
