"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","2.4403348","0.47233763","0.6914791"
"3","null","null","null","2.4311721","0.6000811","0.7311842"
"4","-0.4876144","-4.013688","-1.9431834","null","null","null"
"6","null","null","null","2.4183443","0.7106444","0.76416993"
"7","-0.51111674","-3.7483654","-2.4057686","null","null","null"
"8","null","null","null","2.4049056","0.80654746","0.7947123"
"8","null","null","null","2.3865802","0.8853468","0.8209787"
"11","-0.4280808","-3.3607874","-3.0620682","null","null","null"
"13","null","null","null","2.367644","0.95131826","0.8411367"
"14","null","null","null","2.3450427","1.004462","0.8594621"
"17","-0.30777907","-2.912939","-3.5808725","null","null","null"
"18","null","null","null","2.319387","1.0472213","0.8729007"
"22","null","null","null","2.294953","1.0844829","0.88206345"
"23","-0.224159","-2.444003","-3.9146485","null","null","null"
"24","null","null","null","2.2705193","1.1168579","0.8875611"
"24","null","null","null","2.247307","1.1431243","0.89000446"
"26","null","null","null","2.2216516","1.1663365","0.89000446"
"27","-0.14202547","-1.9992027","-4.1942987","null","null","null"
"28","null","null","null","2.2008827","1.1852727","0.8893936"
"31","-0.10369873","-1.5759592","-4.1464696","null","null","null"
"32","null","null","null","2.1813354","1.2011548","0.88633937"
"33","null","null","null","2.1642318","1.2090958","0.88328516"
"36","null","null","null","2.147739","1.21215","0.88084173"
"37","-0.12258506","-1.1694374","-3.8978128","null","null","null"
"38","null","null","null","2.1330786","1.2066524","0.8796201"
"42","-0.27161908","-0.89206696","-3.848545","null","null","null"
"43","null","null","null","2.1214726","1.191992","0.8826743"
"44","null","null","null","2.1098664","1.1724449","0.8869502"
"45","null","null","null","2.1055906","1.1461785","0.8961129"
"45","-0.5169184","-0.73795223","-3.6681433","null","null","null"
"48","null","null","null","2.1019254","1.1101385","0.90649736"
"51","null","null","null","2.099482","1.0698227","0.91810346"
"51","-0.82000256","-0.6498089","-3.2082953","null","null","null"
"52","null","null","null","2.0970387","1.0209548","0.9309312"
"56","null","null","null","2.0970387","0.9623135","0.9431482"
"57","-1.0721486","-0.61693287","-2.9721541","null","null","null"
"58","null","null","null","2.091541","0.8938986","0.95597595"
"62","null","null","null","2.0823784","0.80838","0.9706363"
"63","-1.2093532","-0.6141043","-2.9897027","null","null","null"
"63","null","null","null","2.0683289","0.7130878","0.9822424"
"66","null","null","null","2.0457275","0.6116872","0.99568105"
"66","-1.2288108","-0.60284233","-3.137503","null","null","null"
"67","null","null","null","2.0212936","0.5004366","1.0109522"
"73","null","null","null","1.995638","0.38987327","1.02378"
"74","-1.3044107","-0.6008959","-3.4485683","null","null","null"
"74","null","null","null","1.9608197","0.27503398","1.0335536"
"75","null","null","null","1.9229472","0.1577513","1.0341644"
"75","-1.332871","-0.57556057","-3.7668562","null","null","null"
"77","null","null","null","1.8740793","0.020921519","1.0243908"
"80","-1.0151184","-0.39910793","-3.8383138","null","null","null"
"81","null","null","null","1.8172706","-0.11835165","1.0072871"
"82","null","null","null","1.7464123","-0.25518143","0.98774004"
"86","null","null","null","1.6694455","-0.38407022","0.96819293"
"87","-0.4148457","-0.20827389","-4.2954082","null","null","null"
"87","null","null","null","1.5893482","-0.50623965","0.95231086"
