"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.0053449133","-0.041308545","0.021303298"
"6","-0.03816223","-0.036367416","0.07094979","null","null","null"
"7","null","null","null","-0.010231691","-0.03825431","0.021914145"
"8","null","null","null","-0.010842538","-0.03397838","0.020081604"
"9","-0.037778616","-0.025100708","0.071300864","null","null","null"
"10","null","null","null","-0.014507622","-0.030313294","0.020081604"
"12","null","null","null","-0.018172706","-0.0290916","0.018249061"
"13","null","null","null","-0.02183779","-0.02481567","0.018249061"
"14","-0.05033827","-0.029331207","0.06769192","null","null","null"
"15","null","null","null","-0.025502874","-0.021150587","0.01885991"
"19","-0.0675199","-0.006175041","0.08388376","null","null","null"
"21","null","null","null","-0.028557109","-0.016874656","0.01885991"
"21","null","null","null","-0.032222193","-0.014431266","0.020081604"
"28","-0.08694601","-0.0045261383","0.07821548","null","null","null"
"30","null","null","null","-0.034054734","-0.009544488","0.020081604"
"31","-0.114515424","0.0054540634","0.073500276","null","null","null"
"31","null","null","null","-0.03771982","-0.008933641","0.020081604"
"32","null","null","null","-0.038330667","-0.0046577104","0.021303298"
"33","null","null","null","-0.0413849","-9.926268E-4","0.020081604"
"33","-0.1275661","0.009448051","0.08870351","null","null","null"
"34","null","null","null","-0.044439137","0.0014507623","0.021303298"
"35","null","null","null","-0.045049984","0.0026724567","0.020081604"
"37","-0.13689291","0.025291443","0.0858053","null","null","null"
"38","null","null","null","-0.046271678","0.005726693","0.020081604"
"40","null","null","null","-0.047493376","0.008170082","0.018249061"
"42","null","null","null","-0.047493376","0.008780929","0.017027367"
"43","-0.13531733","0.057608604","0.07567859","null","null","null"
"44","null","null","null","-0.049325917","0.010002624","0.015805673"
"47","null","null","null","-0.049325917","0.012446013","0.014583978"
"48","-0.13243556","0.0730257","0.082142115","null","null","null"
"49","null","null","null","-0.049936764","0.011835165","0.014583978"
"54","null","null","null","-0.051769305","0.010613471","0.013362284"
"55","-0.13545644","0.09662151","0.08491862","null","null","null"
"55","null","null","null","-0.051769305","0.010613471","0.011529742"
"58","-0.15140152","0.118813515","0.07576871","null","null","null"
