"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.029167956","-0.059481252","0.007253811"
"4","0.11641145","0.11467457","-0.24174398","null","null","null"
"5","null","null","null","-0.032222193","-0.059481252","0.0060321167"
"6","null","null","null","-0.035887275","-0.057037864","0.0060321167"
"8","0.07749343","0.09832287","-0.19879872","null","null","null"
"10","null","null","null","-0.040163208","-0.054594472","0.005421269"
"11","null","null","null","-0.04382829","-0.049707696","0.0041995747"
"13","0.06142497","0.08215809","-0.16763008","null","null","null"
"14","null","null","null","-0.04871507","-0.047875155","0.0041995747"
"15","null","null","null","-0.051158458","-0.04359922","0.0029778804"
"16","0.069203615","0.09822941","-0.1944316","null","null","null"
"17","null","null","null","-0.054212693","-0.041155834","0.0029778804"
"19","0.09590554","0.11538696","-0.2384687","null","null","null"
"19","null","null","null","-0.057266932","-0.039323293","0.0029778804"
"21","null","null","null","-0.06154286","-0.038712446","0.0035887277"
"23","null","null","null","-0.0645971","-0.038712446","0.0029778804"
"24","0.12121844","0.14904213","-0.27822798","null","null","null"
"25","null","null","null","-0.06704049","-0.03993414","0.0023670332"
"28","null","null","null","-0.07131642","-0.040544987","5.344914E-4"
"29","0.17116213","0.16822433","-0.30316377","null","null","null"
"30","null","null","null","-0.07375981","-0.042377528","0.0017561859"
"33","null","null","null","-0.078646585","-0.03993414","5.344914E-4"
"33","0.22186065","0.14572906","-0.31928593","null","null","null"
"36","null","null","null","-0.08108997","-0.04176668","5.344914E-4"
"41","null","null","null","-0.08353336","-0.044820916","-6.8720314E-4"
"42","0.24714684","0.11277771","-0.30773336","null","null","null"
"42","null","null","null","-0.08842014","-0.044820916","-0.0019088977"
"45","null","null","null","-0.09147438","-0.04421007","-0.002519745"
"46","0.25550485","0.059983253","-0.2639075","null","null","null"
"46","null","null","null","-0.094528615","-0.04421007","-0.004963134"
"47","null","null","null","-0.09575031","-0.045431767","-0.004963134"
"48","0.261297","0.024309158","-0.24633533","null","null","null"
"50","null","null","null","-0.0981937","-0.044820916","-0.004963134"
"52","null","null","null","-0.09880454","-0.042377528","-0.0037414394"
"53","0.2552035","0.0055503845","-0.20974797","null","null","null"
"54","null","null","null","-0.100026235","-0.03993414","-0.0037414394"
"58","null","null","null","-0.10185878","-0.03504736","-0.002519745"
"58","0.2290585","-0.016625404","-0.1281479","null","null","null"
"60","null","null","null","-0.10185878","-0.029549737","-0.0019088977"
"62","null","null","null","-0.10185878","-0.024052111","-0.0012980504"
"63","0.15931773","-0.032704353","-0.071944356","null","null","null"
"64","null","null","null","-0.103691325","-0.01733279","-0.0019088977"
"67","0.1139462","-0.07001209","-0.037264645","null","null","null"
"67","null","null","null","-0.10491302","-0.011224318","-0.0012980504"
"69","null","null","null","-0.10430217","-0.0038941512","-0.0019088977"
"72","0.09270382","-0.07138252","-0.03231722","null","null","null"
"72","null","null","null","-0.10491302","0.0028251687","-0.0031305922"
"74","null","null","null","-0.103691325","0.0077119465","-0.0037414394"
"78","null","null","null","-0.10246963","0.013209572","-0.0037414394"
"79","0.0858686","-0.063233376","-0.042732","null","null","null"
"79","null","null","null","-0.0981937","0.015042114","-0.004963134"
"82","null","null","null","-0.09758285","0.017485503","-0.0037414394"
"82","0.118257284","-0.051602364","-0.038953602","null","null","null"
"84","null","null","null","-0.09147438","0.01809635","-0.0031305922"
"86","null","null","null","-0.08842014","0.01809635","-0.0031305922"
"87","0.16586828","-0.05792427","0.013141692","null","null","null"
"90","null","null","null","-0.084755056","0.016263809","-0.0031305922"
"92","null","null","null","-0.08047912","0.01565296","-0.0061848285"
"93","0.1940136","-0.08556461","0.07631236","null","null","null"
"95","null","null","null","-0.07681404","0.01809635","-0.007406523"
"98","0.19091606","-0.09751415","0.14341885","null","null","null"
