"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.0022906773","0.003970507","-0.023059484"
"2","null","null","null","0.0029015245","0.0027488125","-0.021226943"
"2","-0.057529688","-0.050078392","0.005429685","null","null","null"
"4","null","null","null","0.00167983","9.162709E-4","-0.021226943"
"6","-0.08053994","-0.063010216","-0.06114012","null","null","null"
"6","null","null","null","0.0010689828","-0.0027488125","-0.020005248"
"8","null","null","null","-1.5271181E-4","-0.0051922016","-0.018172706"
"12","null","null","null","-7.635591E-4","-0.008246438","-0.017561859"
"12","-0.110337734","-0.09479332","-0.097311795","null","null","null"
"14","null","null","null","-1.5271181E-4","-0.012522369","-0.014507622"
"17","null","null","null","-0.0013744063","-0.014354911","-0.0132859275"
"18","-0.14087248","-0.10251427","-0.11645293","null","null","null"
"19","null","null","null","-0.0019852535","-0.016798299","-0.01267508"
"21","-0.157969","-0.11132622","-0.11039871","null","null","null"
"21","null","null","null","-0.0013744063","-0.019241689","-0.010231691"
"23","null","null","null","-0.0013744063","-0.024128467","-0.0071774554"
"26","null","null","null","-0.0019852535","-0.022295926","-0.0071774554"
"27","-0.17233753","-0.12950039","-0.08414048","null","null","null"
"29","null","null","null","-0.003206948","-0.022295926","-0.0071774554"
"31","-0.10466838","-0.12140846","-0.0817489","null","null","null"
"31","null","null","null","-0.00503949","-0.021685077","-0.006566608"
"33","null","null","null","-0.0056503373","-0.019241689","-0.0071774554"
"37","-0.085053205","-0.025549889","-0.061480463","null","null","null"
"38","null","null","null","-0.008093726","-0.019852536","-0.006566608"
"38","null","null","null","-0.008704574","-0.020463383","-0.0077883024"
"42","-0.022820234","0.02084446","-0.06736362","null","null","null"
"42","null","null","null","-0.009926268","-0.021685077","-0.004123219"
"43","null","null","null","-0.008093726","-0.029015245","-0.0029015245"
"46","0.0022642612","0.059779167","-0.077880144","null","null","null"
"47","null","null","null","-0.007482879","-0.032069482","-0.0029015245"
"48","null","null","null","-0.00503949","-0.035123717","-0.0029015245"
"51","null","null","null","-0.003206948","-0.035734564","-0.0022906773"
"51","0.072277784","0.04736042","-0.05516857","null","null","null"
"53","null","null","null","-0.003206948","-0.03451287","-0.00167983"
"58","null","null","null","-0.0025961008","-0.03268033","-0.00167983"
"59","0.095448494","0.0433712","5.1021576E-4","null","null","null"
"59","null","null","null","-0.003206948","-0.030847786","-0.00167983"
"61","0.11600661","0.06789398","0.0046578646","null","null","null"
"61","null","null","null","-0.00503949","-0.02535016","-0.0029015245"
"63","null","null","null","-0.004428643","-0.024128467","-0.00167983"
"67","null","null","null","-0.00503949","-0.021685077","-0.0029015245"
"68","0.1221323","0.064907074","0.014660299","null","null","null"
"68","null","null","null","-0.00503949","-0.019852536","-0.00167983"
"71","null","null","null","-0.00503949","-0.018630842","-0.00167983"
"71","0.13297081","0.084506035","0.013857007","null","null","null"
"74","null","null","null","-0.00503949","-0.014965758","-0.0022906773"
"77","null","null","null","-0.0062611843","-0.013133216","-0.0029015245"
"78","0.13060379","0.06594086","0.0070790052","null","null","null"
"83","0.16135502","0.085466385","0.03605151","null","null","null"
"83","null","null","null","-0.008704574","-0.008246438","-0.004123219"
"83","null","null","null","-0.01175881","-0.0021379655","-0.005955761"
"83","null","null","null","-0.013591352","9.162709E-4","-0.006566608"
"87","null","null","null","-0.015423893","0.0015271181","-0.004123219"
"88","0.17875719","0.13330173","0.028086603","null","null","null"
"88","null","null","null","-0.014813046","0.0015271181","-0.0029015245"
"92","null","null","null","-0.011147963","-0.0021379655","-0.0035123718"
