"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","-0.042710066","-0.013119698","0.03658521","null","null","null"
"3","null","null","null","0.031611346","-0.02107423","-0.048104223"
"4","null","null","null","0.033443887","-0.019852536","-0.046271678"
"5","-0.05031538","-0.007668495","0.038659275","null","null","null"
"6","null","null","null","0.032222193","-0.017409148","-0.047493376"
"7","null","null","null","0.031000499","-0.014354911","-0.047493376"
"8","null","null","null","0.029167956","-0.013744064","-0.048104223"
"9","-0.0246799","0.013140678","0.020587623","null","null","null"
"10","null","null","null","0.027335415","-0.013133216","-0.04566083"
"13","-0.053789854","-0.0065689087","-0.0019871593","null","null","null"
"14","null","null","null","0.027335415","-0.011300675","-0.046271678"
"15","null","null","null","0.026724568","-0.013133216","-0.044439137"
"18","-0.05644083","0.005968094","0.010093808","null","null","null"
"19","null","null","null","0.026724568","-0.013133216","-0.043217443"
"20","null","null","null","0.02611372","-0.014354911","-0.040774055"
"24","null","null","null","0.02611372","-0.012522369","-0.040163208"
"26","-0.045859814","-5.3977966E-4","0.019732237","null","null","null"
"28","null","null","null","0.026724568","-0.013133216","-0.03955236"
"28","null","null","null","0.024892027","-0.013744064","-0.040774055"
"29","-0.048410177","0.012001038","0.023369133","null","null","null"
"32","null","null","null","0.024281178","-0.012522369","-0.040774055"
"33","-0.037894726","0.014930725","0.028208733","null","null","null"
"34","null","null","null","0.025502874","-0.014965758","-0.040163208"
"35","null","null","null","0.026724568","-0.016798299","-0.038941514"
"38","-0.027366161","0.022622108","0.023492396","null","null","null"
"39","null","null","null","0.026724568","-0.018630842","-0.038330667"
"39","null","null","null","0.027946262","-0.018019995","-0.03771982"
"43","null","null","null","0.028557109","-0.020463383","-0.035887275"
"44","-0.035829782","0.024349213","0.04488647","null","null","null"
"46","null","null","null","0.030389652","-0.024739314","-0.035276428"
"47","null","null","null","0.033443887","-0.02779355","-0.034054734"
"48","-0.028663158","0.035607338","0.026876032","null","null","null"
"50","null","null","null","0.035276428","-0.030236939","-0.03466558"
"52","null","null","null","0.036498122","-0.032069482","-0.03283304"
"53","-0.042861223","0.028999329","0.0077275634","null","null","null"
"54","null","null","null","0.038941514","-0.033291176","-0.031611346"
"57","null","null","null","0.0413849","-0.035734564","-0.030389652"
"58","-0.040183544","0.032003403","0.02065128","null","null","null"
"60","null","null","null","0.040163208","-0.035734564","-0.029778805"
"62","null","null","null","0.043217443","-0.03634541","-0.029167956"
"63","-0.019646883","0.014831543","0.038170993","null","null","null"
"67","null","null","null","0.045049984","-0.0387888","-0.027335415"
"68","null","null","null","0.049325917","-0.044286426","-0.024281178"
"68","-0.05251074","0.010944366","0.05182451","null","null","null"
"70","null","null","null","0.052380152","-0.04550812","-0.022448637"
"72","-0.06947708","-0.043866158","0.058028996","null","null","null"
"73","null","null","null","0.053601846","-0.04367558","-0.021226943"
"74","null","null","null","0.056656085","-0.046118967","-0.020616096"
"77","null","null","null","0.05971032","-0.049784053","-0.0193944"
"78","-0.050593138","-0.04475212","0.09961444","null","null","null"
"80","null","null","null","0.059099473","-0.049173206","-0.0193944"
"82","null","null","null","0.059099473","-0.0503949","-0.016951011"
"82","-0.06620216","-0.07290077","0.045874655","null","null","null"
"85","null","null","null","0.062764555","-0.051005747","-0.015729317"
"86","null","null","null","0.063375406","-0.055281676","-0.01267508"
"87","-0.07911444","-0.09361076","0.06961781","null","null","null"
"89","null","null","null","0.0645971","-0.05650337","-0.010842538"
"92","null","null","null","0.065818794","-0.05833591","-0.0077883024"
"93","-0.11779714","-0.13780499","0.07651496","null","null","null"
"94","null","null","null","0.06642964","-0.057114217","-0.006566608"
"96","null","null","null","0.0645971","-0.055281676","-0.006566608"
"97","-0.12754965","-0.14241314","0.09637916","null","null","null"
"99","null","null","null","0.06520794","-0.05467083","-0.0047340663"
"102","null","null","null","0.06215371","-0.055281676","-0.004123219"
"104","-0.12644744","-0.12915134","0.099520504","null","null","null"
"106","null","null","null","0.06215371","-0.055892523","-0.0022906773"
"107","null","null","null","0.060932014","-0.057725064","-0.0010689828"
"107","-0.16677117","-0.16107559","0.095638394","null","null","null"
"110","null","null","null","0.060321167","-0.05833591","1.5271181E-4"
"111","null","null","null","0.05971032","-0.055892523","7.635591E-4"
"112","-0.19360375","-0.17846203","0.07642877","null","null","null"
"114","null","null","null","0.06154286","-0.057725064","0.0013744063"
"116","null","null","null","0.06154286","-0.05650337","7.635591E-4"
"117","-0.21662569","-0.18025684","0.07986444","null","null","null"
"118","null","null","null","0.060321167","-0.05467083","7.635591E-4"
"121","null","null","null","0.059099473","-0.051616594","1.5271181E-4"
"121","-0.23712587","-0.15831375","0.09041166","null","null","null"
"123","null","null","null","0.05971032","-0.051616594","0.0019852535"
"126","null","null","null","0.05787778","-0.049173206","7.635591E-4"
"126","-0.24793029","-0.135355","0.09612012","null","null","null"
"128","null","null","null","0.057266932","-0.046118967","-4.5813544E-4"
"131","null","null","null","0.056045234","-0.04550812","-4.5813544E-4"
"131","-0.2813015","-0.13636875","0.076874495","null","null","null"
"134","null","null","null","0.052991","-0.04367558","1.5271181E-4"
"136","null","null","null","0.052380152","-0.041843038","-4.5813544E-4"
"136","-0.30133677","-0.119579315","0.047235787","null","null","null"
"142","null","null","null","0.049936764","-0.03939965","-0.00167983"
"142","null","null","null","0.046271678","-0.03634541","-0.0029015245"
"143","-0.32369614","-0.1041708","0.016784728","null","null","null"
"145","null","null","null","0.043217443","-0.03451287","-0.0035123718"
"146","-0.3364613","-0.07469654","0.03071171","null","null","null"
"146","null","null","null","0.040774055","-0.032069482","-0.004123219"
"149","null","null","null","0.038941514","-0.026571855","-0.0022906773"
"151","null","null","null","0.035887275","-0.024739314","-0.0029015245"
"151","-0.37046504","-0.06564903","0.042233467","null","null","null"
"153","null","null","null","0.03283304","-0.02107423","-0.004123219"
"156","null","null","null","0.029778805","-0.019241689","-0.0035123718"
"156","-0.36746383","-0.047224045","0.055034757","null","null","null"
"159","null","null","null","0.02611372","-0.015576605","-0.0047340663"
"161","null","null","null","0.024892027","-0.010689827","-0.004123219"
"161","-0.37048054","-0.04204464","0.04888636","null","null","null"
"164","null","null","null","0.02183779","-0.008857286","-0.0035123718"
"166","null","null","null","0.0193944","-0.0051922016","-0.0029015245"
"167","-0.37462926","-0.05471611","0.031042516","null","null","null"
"169","null","null","null","0.017561859","-0.0027488125","-0.004123219"
"171","null","null","null","0.014507622","9.162709E-4","-0.0053449133"
"171","-0.38239908","-0.06851101","0.03126353","null","null","null"
"174","null","null","null","0.012064233","0.005803049","-0.0053449133"
"175","null","null","null","0.010842538","0.008246438","-0.0047340663"
"176","-0.36522222","-0.06915951","0.030377567","null","null","null"
"178","null","null","null","0.009620844","0.010689827","-0.0035123718"
