"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.0053449133","0.058946762","-0.010842538"
"5","null","null","null","0.0047340663","0.057114217","-0.01267508"
"5","0.12864089","0.048454285","0.069633275","null","null","null"
"5","null","null","null","0.0053449133","0.05283829","-0.013896775"
"8","null","null","null","0.004123219","0.05283829","-0.013896775"
"8","0.13060093","0.022914886","0.007545322","null","null","null"
"10","null","null","null","0.0035123718","0.051616594","-0.0132859275"
"14","null","null","null","0.0035123718","0.0503949","-0.0132859275"
"15","0.13138247","0.017781258","0.11818236","null","null","null"
"15","null","null","null","0.0010689828","0.04734066","-0.014507622"
"18","null","null","null","0.00167983","0.044897273","-0.01267508"
"18","0.10601783","0.0067539215","0.040506333","null","null","null"
"20","null","null","null","0.0029015245","0.04367558","-0.0151184695"
"23","null","null","null","0.0022906773","0.040010497","-0.0151184695"
"24","0.11283779","-0.024386406","0.045390695","null","null","null"
"25","null","null","null","0.00167983","0.040621344","-0.013896775"
"28","null","null","null","-7.635591E-4","0.037567105","-0.01267508"
"28","0.11374378","-0.029121399","0.08598298","null","null","null"
"30","null","null","null","-0.0013744063","0.036956258","-0.012064233"
"32","null","null","null","-0.0025961008","0.033902023","-0.009620844"
"33","0.08863187","-0.04090023","-0.02673167","null","null","null"
"35","null","null","null","-0.0019852535","0.029015245","-0.009620844"
"37","null","null","null","-0.004428643","0.026571855","-0.009620844"
"37","0.08276248","-0.048998833","0.075330764","null","null","null"
"41","null","null","null","-0.0038177953","0.026571855","-0.009009997"
"43","null","null","null","-0.0025961008","0.02535016","-0.0071774554"
"43","0.065137625","-0.04869938","0.011565506","null","null","null"
"45","null","null","null","-0.0025961008","0.024128467","-0.006566608"
"48","null","null","null","-0.00503949","0.022906773","-0.006566608"
"48","0.05247283","-0.030573845","0.1015268","null","null","null"
"50","null","null","null","-0.0056503373","0.020463383","-0.005955761"
"52","0.029292583","-0.012573242","0.048425615","null","null","null"
"52","null","null","null","-0.0056503373","0.019241689","-0.004123219"
"54","null","null","null","-0.004428643","0.019241689","-0.004123219"
"57","null","null","null","-0.00503949","0.019852536","-0.005955761"
"57","0.028859138","-0.0030345917","0.10256603","null","null","null"
"60","null","null","null","-0.007482879","0.02107423","-0.004123219"
"62","null","null","null","-0.0062611843","0.018630842","-0.0035123718"
"62","0.016615152","0.010008812","0.06256974","null","null","null"
"65","null","null","null","-0.0062611843","0.020463383","-0.0035123718"
"67","null","null","null","-0.00503949","0.019852536","-0.004123219"
"67","0.008035183","0.021754265","0.102380484","null","null","null"
"69","null","null","null","-0.00503949","0.018630842","-0.0035123718"
"72","null","null","null","-0.0056503373","0.019241689","-0.0047340663"
"73","0.019690514","0.019150734","0.06470317","null","null","null"
"75","null","null","null","-0.0062611843","0.018019995","-0.0047340663"
"79","null","null","null","-0.006872032","0.018019995","-0.005955761"
"79","0.014572144","0.021303177","0.103381485","null","null","null"
"79","null","null","null","-0.0056503373","0.017409148","-0.006566608"
"83","null","null","null","-0.00503949","0.018019995","-0.006566608"
"84","0.018936157","0.032913208","0.09182876","null","null","null"
"85","null","null","null","-0.00503949","0.018019995","-0.006566608"
"88","0.016168118","0.024254799","0.1005238","null","null","null"
"88","null","null","null","-0.0038177953","0.015576605","-0.0053449133"
"89","null","null","null","-0.003206948","0.014965758","-0.0053449133"
"92","null","null","null","-0.0025961008","0.014354911","-0.0071774554"
"92","0.015778542","0.007349968","0.12453899","null","null","null"
"94","null","null","null","-0.003206948","0.013133216","-0.006566608"
"97","null","null","null","-0.003206948","0.011911522","-0.008399149"
"97","0.024828672","0.007188797","0.09735438","null","null","null"
