"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.087809294","0.6192464","-0.3171061"
"2","-1.1974306","-0.40621662","1.4707685","null","null","null"
"3","null","null","null","-0.078646585","0.62474406","-0.31771693"
"5","null","null","null","-0.06765133","0.62718743","-0.3189386"
"5","-1.3170037","-0.4171629","1.3674234","null","null","null"
"7","null","null","null","-0.05482354","0.6265766","-0.32016033"
"9","-1.4201807","-0.38753223","1.3872066","null","null","null"
"10","null","null","null","-0.0413849","0.62413317","-0.31832778"
"11","null","null","null","-0.028557109","0.6216898","-0.31771693"
"15","null","null","null","-0.013896775","0.6174139","-0.31771693"
"15","-1.5200233","-0.33072948","1.5705174","null","null","null"
"18","null","null","null","0.0019852535","0.6149705","-0.3171061"
"19","null","null","null","0.017256435","0.61191624","-0.3189386"
"20","-1.5905063","-0.24813652","1.5383149","null","null","null"
"22","null","null","null","0.033138465","0.6076403","-0.31954947"
"26","null","null","null","0.047798797","0.60397524","-0.31954947"
"27","-1.661608","-0.16962814","1.4680728","null","null","null"
"28","null","null","null","0.06368083","0.5984776","-0.32077116"
"29","-1.7392701","-0.09042168","1.5820334","null","null","null"
"30","null","null","null","0.0801737","0.5911474","-0.32321456"
"31","null","null","null","0.09300149","0.5832064","-0.3238254"
"35","null","null","null","0.106440134","0.57709795","-0.3262688"
"36","-1.8448207","-0.042588234","1.5927193","null","null","null"
"37","null","null","null","0.116213694","0.5716003","-0.3250471"
"39","null","null","null","0.12659809","0.56182677","-0.32810134"
"40","-1.9553937","-0.0033578873","1.4015732","null","null","null"
"41","null","null","null","0.13331741","0.5532749","-0.32993388"
"44","-2.0425043","0.0035800934","1.3548142","null","null","null"
"45","null","null","null","0.13881505","0.5428905","-0.3287122"
"46","null","null","null","0.14492351","0.53067356","-0.32810134"
"50","null","null","null","0.14614521","0.5172349","-0.32687965"
"51","-2.1559558","-0.0025806427","1.3790274","null","null","null"
"51","null","null","null","0.14797775","0.500742","-0.32565793"
