"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.044744562","-0.40422818","-0.15645325"
"6","null","null","null","0.041079476","-0.43110546","-0.16256173"
"8","-0.026780218","0.0060214996","-0.39838764","null","null","null"
"8","null","null","null","0.0361927","-0.45309594","-0.1674485"
"10","null","null","null","0.030084228","-0.47081053","-0.17050274"
"11","-0.21818647","-0.04022312","-0.47428295","null","null","null"
"11","null","null","null","0.023975754","-0.48791423","-0.17294613"
"13","null","null","null","0.016034741","-0.5001312","-0.17233528"
"13","-0.39160144","-0.07419205","-0.51569843","null","null","null"
"14","null","null","null","0.009315421","-0.5117373","-0.17050274"
"18","null","null","null","0.0038177953","-0.5209","-0.1698919"
"20","-0.5551808","-0.086491585","-0.51459074","null","null","null"
"22","null","null","null","-0.0035123718","-0.5270085","-0.1674485"
"23","null","null","null","-0.010231691","-0.53006274","-0.16256173"
"24","-0.7100378","-0.10935974","-0.48080438","null","null","null"
"24","null","null","null","-0.015729317","-0.53006274","-0.15645325"
"25","null","null","null","-0.020616096","-0.53067356","-0.14790139"
"25","-0.8356899","-0.15933228","-0.43726233","null","null","null"
"29","null","null","null","-0.02611372","-0.528841","-0.14057122"
"30","null","null","null","-0.031000499","-0.5270085","-0.13201937"
"31","-0.96189964","-0.21125889","-0.3484781","null","null","null"
"33","null","null","null","-0.03466558","-0.5239542","-0.12530005"
"41","null","null","null","-0.037108973","-0.51784575","-0.11552649"
"42","-1.002004","-0.22476864","-0.23277964","null","null","null"
"42","null","null","null","-0.038330667","-0.50990474","-0.10819632"
"42","-0.98390526","-0.25716686","-0.11906527","null","null","null"
"43","null","null","null","-0.040163208","-0.500742","-0.09659022"
"45","null","null","null","-0.040163208","-0.4909685","-0.08620582"
"45","-0.97320306","-0.3035574","0.027008176","null","null","null"
"46","null","null","null","-0.040774055","-0.48058408","-0.07521057"
"48","null","null","null","-0.0413849","-0.46653458","-0.06604786"
"49","-0.9211687","-0.37331963","0.18257707","null","null","null"
"50","null","null","null","-0.040163208","-0.45187426","-0.05260922"
"52","null","null","null","-0.036498122","-0.43538138","-0.04161397"
"55","null","null","null","-0.033443887","-0.41827765","-0.03061872"
"55","-0.82211953","-0.4199772","0.3674586","null","null","null"
"57","null","null","null","-0.029778805","-0.396898","-0.022066858"
"60","null","null","null","-0.027335415","-0.3749075","-0.0122933015"
"60","-0.6220324","-0.4211645","0.5600205","null","null","null"
"62","null","null","null","-0.022448637","-0.3516953","-0.006795676"
"67","null","null","null","-0.015729317","-0.33031565","-6.8720314E-4"
"68","-0.3469349","-0.34758282","0.7470033","null","null","null"
"69","null","null","null","-0.010842538","-0.30588177","0.0011453386"
"69","null","null","null","-0.005955761","-0.2832804","0.005421269"
"70","-0.1010299","-0.25564575","0.9331493","null","null","null"
"73","null","null","null","7.635591E-4","-0.2661767","0.0066429637"
