"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.0019852535","-0.037567105","-0.026724568"
"6","-0.22348934","0.24931073","0.05145073","null","null","null"
"8","null","null","null","-0.0013744063","-0.03451287","-0.026724568"
"9","null","null","null","0.00167983","-0.030847786","-0.02611372"
"10","null","null","null","0.0022906773","-0.028404398","-0.025502874"
"11","-0.2322962","0.2375853","0.054668427","null","null","null"
"12","null","null","null","0.0035123718","-0.02351762","-0.024281178"
"13","null","null","null","0.0035123718","-0.020463383","-0.025502874"
"14","-0.2501657","0.23538256","0.036489487","null","null","null"
"15","null","null","null","0.00167983","-0.018630842","-0.025502874"
"18","null","null","null","0.0010689828","-0.016187452","-0.02611372"
"19","-0.23204327","0.2558539","-0.004122734","null","null","null"
"20","null","null","null","-1.5271181E-4","-0.014965758","-0.027335415"
"23","null","null","null","-7.635591E-4","-0.011300675","-0.026724568"
"24","-0.23996797","0.27149224","-0.055109024","null","null","null"
"25","null","null","null","-0.0019852535","-0.0070247436","-0.024892027"
"27","-0.30681214","0.25270057","-0.10215187","null","null","null"
"28","null","null","null","-0.0038177953","-0.0027488125","-0.023059484"
"29","null","null","null","-0.007482879","-3.0542363E-4","-0.02183779"
"32","null","null","null","-0.007482879","-0.0021379655","-0.020005248"
"33","-0.34446293","0.24022889","-0.13579845","null","null","null"
"34","null","null","null","-0.009926268","-0.00335966","-0.021226943"
"37","null","null","null","-0.009315421","-0.003970507","-0.020616096"
"38","-0.3474927","0.23508763","-0.17749214","null","null","null"
"40","null","null","null","-0.009315421","-0.00335966","-0.0193944"
"43","null","null","null","-0.009926268","-0.0045813546","-0.0193944"
"44","-0.33509535","0.23355365","-0.18441105","null","null","null"
"44","null","null","null","-0.009926268","-0.006413896","-0.0193944"
"47","null","null","null","-0.009926268","-0.0076355906","-0.018783553"
"48","-0.35144162","0.2462933","-0.20076656","null","null","null"
"50","null","null","null","-0.009926268","-0.013133216","-0.018783553"
"51","-0.35498893","0.25420713","-0.24071598","null","null","null"
"52","null","null","null","-0.011147963","-0.017409148","-0.020005248"
"54","null","null","null","-0.012369657","-0.024128467","-0.020616096"
"58","null","null","null","-0.012980504","-0.030847786","-0.02367033"
"59","-0.36025614","0.2585919","-0.28151512","null","null","null"
"59","null","null","null","-0.012369657","-0.036956258","-0.02367033"
"61","null","null","null","-0.01175881","-0.04550812","-0.025502874"
"62","-0.3459373","0.27121472","-0.30176067","null","null","null"
"63","null","null","null","-0.01175881","-0.0503949","-0.029167956"
"66","-0.34294385","0.2634971","-0.26838398","null","null","null"
"66","null","null","null","-0.010537115","-0.055892523","-0.030389652"
"69","null","null","null","-0.010537115","-0.05833591","-0.03283304"
"71","null","null","null","-0.007482879","-0.06322269","-0.033443887"
"71","-0.33199865","0.26166868","-0.20794678","null","null","null"
"74","null","null","null","-0.007482879","-0.067498624","-0.035276428"
"78","null","null","null","-0.006872032","-0.07177455","-0.03771982"
"79","-0.3084803","0.2597599","-0.19308472","null","null","null"
"80","null","null","null","-0.00503949","-0.07482879","-0.038330667"
"82","null","null","null","-0.004428643","-0.07727218","-0.040774055"
"83","-0.27712485","0.25299406","-0.1688118","null","null","null"
"84","null","null","null","-0.004428643","-0.07727218","-0.042606596"
"86","null","null","null","-0.0019852535","-0.07666133","-0.04382829"
"87","-0.2543472","0.23551965","-0.1150465","null","null","null"
"88","null","null","null","-0.0013744063","-0.07482879","-0.04566083"
"92","null","null","null","4.5813544E-4","-0.0723854","-0.04566083"
"93","-0.24818945","0.22517538","-0.041526794","null","null","null"
"94","null","null","null","0.00167983","-0.06810947","-0.04688253"
"97","null","null","null","0.0035123718","-0.060168456","-0.048104223"
"98","-0.24873027","0.20764327","0.040888786","null","null","null"
"98","null","null","null","0.0047340663","-0.051616594","-0.04688253"
"101","null","null","null","0.0047340663","-0.04367558","-0.045049984"
"102","-0.29122","0.16166759","0.08105755","null","null","null"
"103","null","null","null","0.004123219","-0.036956258","-0.04199575"
"107","null","null","null","0.0022906773","-0.029626092","-0.03771982"
"108","-0.34934476","0.11734867","0.06623745","null","null","null"
"109","null","null","null","4.5813544E-4","-0.021685077","-0.035887275"
"115","null","null","null","-0.0038177953","-0.017409148","-0.032222193"
"116","-0.390949","0.086705446","-0.012637138","null","null","null"
"117","null","null","null","-0.008093726","-0.010689827","-0.028557109"
"118","null","null","null","-0.013591352","-0.00335966","-0.025502874"
"119","-0.41505527","0.056774855","-0.102846146","null","null","null"
"119","null","null","null","-0.019088976","0.0045813546","-0.023059484"
"121","-0.4323975","0.060946226","-0.16871929","null","null","null"
"122","null","null","null","-0.027640838","0.009468133","-0.021226943"
"124","null","null","null","-0.03436016","0.017409148","-0.018172706"
"126","null","null","null","-0.041079476","0.02351762","-0.015729317"
"127","-0.43475503","0.061038017","-0.23303127","null","null","null"
"128","null","null","null","-0.047798797","0.028404398","-0.01267508"
"131","-0.4473536","0.08194065","-0.27796364","null","null","null"
"131","null","null","null","-0.053296424","0.03268033","-0.009009997"
"133","null","null","null","-0.057572354","0.033902023","-0.0071774554"
"137","-0.45965815","0.088890314","-0.29888535","null","null","null"
"138","null","null","null","-0.062459134","0.036956258","-0.0053449133"
"138","null","null","null","-0.066124216","0.035123717","-0.0035123718"
"141","-0.45887554","0.09495211","-0.31139565","null","null","null"
"142","null","null","null","-0.068567604","0.033902023","-0.0035123718"
"143","null","null","null","-0.07162184","0.030236939","-0.0010689828"
"145","null","null","null","-0.07345438","0.025961008","-0.0010689828"
"146","-0.44300145","0.12614822","-0.3499546","null","null","null"
"148","null","null","null","-0.07773031","0.019852536","-0.0010689828"
"151","null","null","null","-0.07773031","0.013133216","-4.5813544E-4"
"151","-0.42070037","0.14664936","-0.3810997","null","null","null"
"152","null","null","null","-0.07956286","0.0045813546","7.635591E-4"
"157","null","null","null","-0.07895201","-0.0027488125","7.635591E-4"
"158","-0.4135962","0.15637231","-0.38704205","null","null","null"
"159","null","null","null","-0.07650862","-0.010689827","7.635591E-4"
"160","null","null","null","-0.07345438","-0.019852536","-4.5813544E-4"
"161","-0.42156973","0.15393448","-0.34418964","null","null","null"
"162","null","null","null","-0.0697893","-0.030236939","1.5271181E-4"
"167","null","null","null","-0.065513365","-0.04123219","7.635591E-4"
"168","-0.3984148","0.15591359","-0.289711","null","null","null"
"168","null","null","null","-0.061848287","-0.049784053","-4.5813544E-4"
"171","null","null","null","-0.056961507","-0.058946762","1.5271181E-4"
"171","-0.38465223","0.15747619","-0.26880455","null","null","null"
"173","null","null","null","-0.051463883","-0.064444385","0.0013744063"
"176","null","null","null","-0.047798797","-0.06994201","7.635591E-4"
"177","-0.36807364","0.15974474","-0.22302246","null","null","null"
"177","null","null","null","-0.044133715","-0.07605048","0.0025961008"
"181","null","null","null","-0.041079476","-0.07788303","0.0025961008"
"181","-0.35805288","0.16047049","-0.17871666","null","null","null"
"182","null","null","null","-0.036803547","-0.08215895","0.0019852535"
"187","null","null","null","-0.03436016","-0.08521319","0.0025961008"
"187","-0.33537892","0.16203904","-0.17268467","null","null","null"
"188","null","null","null","-0.033749312","-0.083380654","0.003206948"
"191","null","null","null","-0.032527618","-0.08460235","0.0038177953"
"191","-0.33191234","0.1646657","-0.16192722","null","null","null"
"192","null","null","null","-0.032527618","-0.0827698","0.003206948"
"195","-0.31411922","0.15424347","-0.19638062","null","null","null"
"196","null","null","null","-0.034971006","-0.080326416","0.00503949"
"200","null","null","null","-0.034971006","-0.07788303","0.0056503373"
"201","null","null","null","-0.041079476","-0.074217945","0.0056503373"
"201","-0.2772302","0.15361238","-0.22585106","null","null","null"
"202","null","null","null","-0.04535541","-0.06933116","0.006872032"
"206","null","null","null","-0.05207473","-0.06627693","0.007482879"
"207","-0.28181547","0.14994287","-0.27656555","null","null","null"
"207","null","null","null","-0.058794048","-0.06688777","0.009926268"
"210","null","null","null","-0.065513365","-0.06872032","0.011147963"
"210","-0.2662145","0.1635747","-0.36260414","null","null","null"
"212","null","null","null","-0.07162184","-0.070552856","0.011147963"
"220","null","null","null","-0.075897776","-0.07177455","0.009926268"
"222","-0.27820796","0.1610322","-0.41954708","null","null","null"
"223","-0.24867521","0.18384933","-0.33720875","null","null","null"
"223","null","null","null","-0.07895201","-0.073607095","0.011147963"
"224","null","null","null","-0.08567133","-0.073607095","0.011147963"
"225","null","null","null","-0.08506048","-0.073607095","0.009926268"
"225","null","null","null","-0.08872557","-0.073607095","0.008093726"
"226","-0.20156124","0.19363523","-0.26272297","null","null","null"
"228","null","null","null","-0.08994726","-0.074217945","0.007482879"
"229","null","null","null","-0.08994726","-0.072996244","0.007482879"
