"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.09017633","0.0028251687","-0.0069483877"
"7","-0.114959866","-0.1278472","-0.15314674","null","null","null"
"9","null","null","null","-0.098117344","0.008322794","-0.0045049987"
"10","null","null","null","-0.104225814","0.012598725","9.926268E-4"
"12","-0.12296903","-0.14012575","-0.11654949","null","null","null"
"13","null","null","null","-0.10911259","0.016874656","0.005879405"
"14","null","null","null","-0.11338852","0.019318044","0.01137703"
"15","null","null","null","-0.11461022","0.020539738","0.01565296"
"15","-0.15706316","-0.1413269","-0.08517742","null","null","null"
"16","null","null","null","-0.11888615","0.022983128","0.019928891"
"16","null","null","null","-0.120107844","0.022372281","0.024204822"
"17","-0.1636695","-0.13161564","-0.048262596","null","null","null"
"19","null","null","null","-0.12132954","0.021761434","0.026648212"
"19","-0.15502071","-0.11003494","-0.008145332","null","null","null"
"20","null","null","null","-0.12194038","0.020539738","0.030924143"
"23","null","null","null","-0.12132954","0.020539738","0.03397838"
"24","-0.13126147","-0.08393192","0.030472755","null","null","null"
"25","null","null","null","-0.120107844","0.017485503","0.03642177"
"26","null","null","null","-0.11766446","0.014431266","0.03825431"
"28","null","null","null","-0.11644276","0.009544488","0.039476003"
"29","-0.12589145","-0.060578823","0.05223465","null","null","null"
"30","null","null","null","-0.11338852","0.006490252","0.040697698"
"33","null","null","null","-0.10850175","9.926268E-4","0.04191939"
"34","-0.111475915","-0.025806904","0.089390755","null","null","null"
"37","null","null","null","-0.1066692","-0.0014507623","0.04253024"
"38","null","null","null","-0.09994988","-0.008170082","0.044362783"
"39","-0.09996578","-0.011828899","0.1264162","null","null","null"
"40","null","null","null","-0.095063105","-0.014278554","0.045584477"
"43","-0.0866591","3.9720535E-4","0.16101074","null","null","null"
"43","null","null","null","-0.09017633","-0.016111096","0.04497363"
"46","null","null","null","-0.085289545","-0.022830416","0.04497363"
"48","null","null","null","-0.08040277","-0.027106347","0.04497363"
"49","-0.073865294","0.0227952","0.20386028","null","null","null"
"50","null","null","null","-0.073072605","-0.031382278","0.045584477"
"53","null","null","null","-0.06757498","-0.034436513","0.04680617"
"53","-0.07103953","0.03142357","0.23715305","null","null","null"
"55","null","null","null","-0.063909896","-0.03565821","0.048104223"
"57","null","null","null","-0.057190575","-0.039323293","0.05054761"
"58","-0.06850535","0.040752888","0.2715969","null","null","null"
"59","null","null","null","-0.049860407","-0.042988375","0.051769305"
"62","null","null","null","-0.043751936","-0.04359922","0.05482354"
"62","-0.0817686","0.060105324","0.30489922","null","null","null"
"65","null","null","null","-0.038865156","-0.04359922","0.055434387"
"67","null","null","null","-0.03153499","-0.04176668","0.058488626"
"68","-0.080741525","0.07761669","0.33821583","null","null","null"
"70","null","null","null","-0.026648212","-0.03993414","0.06154286"
"73","null","null","null","-0.021150587","-0.0381016","0.06398625"
"74","-0.051225185","0.09687281","0.37747765","null","null","null"
"76","null","null","null","-0.016874656","-0.03321482","0.06704049"
"78","-0.037145138","0.10721445","0.4166851","null","null","null"
"78","null","null","null","-0.010155336","-0.0264955","0.07009472"
"80","null","null","null","-0.003436016","-0.022219568","0.07131642"
"82","null","null","null","8.39915E-4","-0.014278554","0.071927264"
"82","0.002157569","0.12526083","0.42739964","null","null","null"
"85","null","null","null","0.00633754","-0.0075592347","0.07375981"
"88","null","null","null","0.011835165","9.926268E-4","0.0749815"
"88","0.04406932","0.13203192","0.45729733","null","null","null"
"91","null","null","null","0.016721943","0.009544488","0.072538115"
"94","null","null","null","0.022219568","0.016874656","0.07437065"
"94","0.0934716","0.16205168","0.4314375","null","null","null"
"98","null","null","null","0.025884653","0.024204822","0.07437065"
"101","null","null","null","0.030160584","0.032145835","0.072538115"
"101","0.1335967","0.17958975","0.38110065","null","null","null"
"101","null","null","null","0.033825666","0.03825431","0.069483876"
"103","null","null","null","0.03749075","0.04680617","0.06704049"
"104","0.1693739","0.20735121","0.32308578","null","null","null"
"106","null","null","null","0.040544987","0.0510821","0.065818794"
"107","null","null","null","0.04421007","0.054747187","0.06154286"
"108","0.19116002","0.22629547","0.2265644","null","null","null"
"114","null","null","null","0.046042614","0.05780142","0.058488626"
"114","null","null","null","0.047875155","0.06452074","0.052991"
"114","0.21568468","0.24608612","0.13809681","null","null","null"
"116","null","null","null","0.050318543","0.06574243","0.04871507"
"117","null","null","null","0.05276193","0.06757498","0.043751936"
"118","0.22860166","0.26315928","0.056425095","null","null","null"
"121","null","null","null","0.054594472","0.06879667","0.037643462"
"124","null","null","null","0.05764871","0.07062922","0.032145835"
"124","0.22757737","0.27397633","-0.032754898","null","null","null"
"126","null","null","null","0.059481252","0.06940752","0.028480753"
"127","null","null","null","0.060702946","0.06818583","0.022372281"
"127","0.21251328","0.27149296","-0.14602089","null","null","null"
"131","null","null","null","0.060702946","0.06574243","0.016874656"
"134","null","null","null","0.061313793","0.059633963","0.010766183"
"134","0.18573666","0.2500162","-0.24289417","null","null","null"
"136","null","null","null","0.061313793","0.054747187","0.005879405"
"139","null","null","null","0.06192464","0.048027866","0.004046863"
"140","0.13281131","0.22751951","-0.33777523","null","null","null"
"141","null","null","null","0.06192464","0.040697698","3.8177954E-4"
"144","0.0846618","0.18622637","-0.43425655","null","null","null"
"144","null","null","null","0.061313793","0.035200074","-0.0026724567"
"145","null","null","null","0.060702946","0.030313294","-0.00633754"
"146","null","null","null","0.06192464","0.023593975","-0.0075592347"
"147","0.04253027","0.1369915","-0.47534943","null","null","null"
"151","null","null","null","0.06192464","0.019928891","-0.009391776"
"151","null","null","null","0.06314634","0.017485503","-0.011224318"
"152","0.042034626","0.10830212","-0.46741104","null","null","null"
"156","null","null","null","0.06314634","0.011987877","-0.011224318"
"159","0.027020037","0.09405041","-0.45833015","null","null","null"
"159","null","null","null","0.06436803","0.010766183","-0.011835165"
"159","null","null","null","0.065589726","0.009544488","-0.01305686"
"164","null","null","null","0.06864396","0.009544488","-0.014278554"
"164","0.016855806","0.07146931","-0.41600418","null","null","null"
"164","null","null","null","0.071698196","0.010155336","-0.013667707"
"168","null","null","null","0.07658497","0.011987877","-0.013667707"
"169","-0.007404685","0.061841965","-0.35960484","null","null","null"
"169","null","null","null","0.080326416","0.015042114","-0.01305686"
"174","null","null","null","0.0839915","0.018707197","-0.01305686"
"174","-0.016989589","0.062645435","-0.32364464","null","null","null"
"174","null","null","null","0.09132166","0.019318044","-0.01305686"
"177","null","null","null","0.09804098","0.02481567","-0.011835165"
"178","-0.0037382245","0.042738438","-0.28884697","null","null","null"
"181","null","null","null","0.10353861","0.026648212","-0.011835165"
"182","null","null","null","0.11025793","0.030313294","-0.013667707"
"182","-0.02593255","0.043852806","-0.26588726","null","null","null"
"186","null","null","null","0.11697725","0.033367533","-0.01305686"
"187","null","null","null","0.12369657","0.03581092","-0.011835165"
"188","-0.02395308","0.07051563","-0.25463963","null","null","null"
"190","null","null","null","0.1291942","0.038865156","-0.011224318"
"192","null","null","null","0.13347013","0.041308545","-0.011835165"
"192","-0.01703471","0.100057125","-0.28117847","null","null","null"
"195","null","null","null","0.1408003","0.04314109","-0.01305686"
"197","-0.012326717","0.11698961","-0.3368616","null","null","null"
"198","null","null","null","0.14568707","0.046195325","-0.012446013"
"199","null","null","null","0.15057385","0.04741702","-0.014889402"
"202","null","null","null","0.15423894","0.046195325","-0.01733279"
"203","0.012696773","0.15952206","-0.4286356","null","null","null"
"203","null","null","null","0.15729317","0.04497363","-0.017943637"
"207","null","null","null","0.15790401","0.041308545","-0.020997874"
"208","0.02438438","0.20861769","-0.50764465","null","null","null"
"209","null","null","null","0.15912572","0.038865156","-0.024662958"
"211","null","null","null","0.15973656","0.03397838","-0.029549737"
"212","0.057255894","0.25724506","-0.59663296","null","null","null"
"213","null","null","null","0.15912572","0.030924143","-0.036879905"
"217","null","null","null","0.15851486","0.022372281","-0.042377528"
"218","0.09095156","0.2960248","-0.6860919","null","null","null"
"218","null","null","null","0.15851486","0.01565296","-0.05276193"
"222","null","null","null","0.15546063","0.008322794","-0.06192464"
"223","0.14201623","0.34883595","-0.74281645","null","null","null"
"225","null","null","null","0.15301724","9.926268E-4","-0.07230905"
"226","0.13444263","0.397892","-0.8051443","null","null","null"
"227","null","null","null","0.1511847","-0.0045049987","-0.08330429"
"229","null","null","null","0.14751962","-0.009391776","-0.09307785"
"231","null","null","null","0.14202198","-0.016111096","-0.1040731"
"232","0.08546521","0.40533543","-0.8469696","null","null","null"
"234","null","null","null","0.13591352","-0.021608721","-0.1144575"
"236","null","null","null","0.12858334","-0.02893889","-0.12423106"
"237","0.040475994","0.36342192","-0.96831703","null","null","null"
"239","null","null","null","0.12186403","-0.03504736","-0.13217208"
"241","null","null","null","0.11331217","-0.040544987","-0.14011309"
"242","-0.018462777","0.29163504","-1.0712385","null","null","null"
"243","null","null","null","0.102316916","-0.045431767","-0.14805411"
"247","null","null","null","0.092543356","-0.05092939","-0.15355173"
"248","-0.06983361","0.24861765","-1.1346636","null","null","null"
"249","null","null","null","0.08215895","-0.053983625","-0.16149275"
"251","-0.11483219","0.23177338","-1.1316309","null","null","null"
"252","null","null","null","0.07108735","-0.059481252","-0.16760121"
"253","null","null","null","0.0600921","-0.06314634","-0.17187715"
"258","null","null","null","0.04909685","-0.065589726","-0.17615308"
"259","-0.19157127","0.19938087","-1.1505718","null","null","null"
"259","null","null","null","0.0381016","-0.06864396","-0.17920731"
