"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.0510821","-0.021761434","-0.050013117"
"1","-0.19915676","0.1463151","0.4752605","null","null","null"
"3","null","null","null","-0.04008685","-0.015042114","-0.048180576"
"5","null","null","null","-0.029702447","-0.008322794","-0.044515494"
"5","-0.18021393","0.14948654","0.466443","null","null","null"
"8","null","null","null","-0.018707197","-0.004046863","-0.042072106"
"9","-0.18393135","0.13460541","0.4733534","null","null","null"
"10","null","null","null","-0.006490252","0.0020616094","-0.039628714"
"13","null","null","null","0.0026724567","0.0069483877","-0.037185326"
"15","-0.1567154","0.11729264","0.4507706","null","null","null"
"15","null","null","null","0.011224318","0.011835165","-0.035352785"
"18","null","null","null","0.01977618","0.016721943","-0.032909397"
"19","null","null","null","0.02893889","0.020997874","-0.029244313"
"20","-0.12848854","0.13077378","0.40842038","null","null","null"
"22","null","null","null","0.03565821","0.025273805","-0.028022617"
"24","null","null","null","0.042377528","0.028328042","-0.026800923"
"24","-0.119457245","0.11431813","0.35236633","null","null","null"
"26","null","null","null","0.04909685","0.031993125","-0.023746688"
"32","null","null","null","0.05276193","0.034436513","-0.02069245"
"32","-0.1163826","0.123892546","0.28862056","null","null","null"
"32","null","null","null","0.054594472","0.036269058","-0.019470757"
"34","null","null","null","0.058870405","0.036269058","-0.01641652"
"35","-0.10616398","0.12607718","0.18511625","null","null","null"
"36","null","null","null","0.06253549","0.036269058","-0.013362284"
"39","null","null","null","0.06436803","0.036269058","-0.011529742"
"39","-0.08290768","0.1280005","0.11800656","null","null","null"
"41","null","null","null","0.064978875","0.036879905","-0.009086353"
"44","null","null","null","0.06681142","0.03504736","-0.004810422"
"44","-0.07758331","0.12847376","0.049039513","null","null","null"
"46","null","null","null","0.06681142","0.034436513","-0.0011453386"
"50","null","null","null","0.06864396","0.03504736","0.0012980504"
"50","-0.07340622","0.10369611","0.0066853464","null","null","null"
"52","null","null","null","0.06742226","0.03321482","0.0037414394"
"54","null","null","null","0.06681142","0.03077143","0.007406523"
"54","-0.06800938","0.10024047","-0.040181756","null","null","null"
"56","null","null","null","0.065589726","0.030160584","0.0086282175"
"59","null","null","null","0.065589726","0.029549737","0.011071607"
"59","-0.041235924","0.08593345","-0.07130551","null","null","null"
"61","null","null","null","0.06436803","0.027717194","0.012904149"
"64","null","null","null","0.06375718","0.025884653","0.013514996"
"64","0.011474609","0.08820915","-0.09041989","null","null","null"
"66","null","null","null","0.06253549","0.023441264","0.012904149"
"69","null","null","null","0.060702946","0.020387027","0.012904149"
"70","0.05543804","0.07979393","-0.11194295","null","null","null"
"72","null","null","null","0.060702946","0.017943637","0.0122933015"
"74","0.102581024","0.088149786","-0.14063129","null","null","null"
"74","null","null","null","0.0600921","0.015500249","0.0098499125"
"77","null","null","null","0.058259558","0.015500249","0.0098499125"
"79","null","null","null","0.05581617","0.013667707","0.006795676"
"79","0.15523624","0.08349943","-0.17982176","null","null","null"
"82","null","null","null","0.054594472","0.012446013","0.004963134"
"84","0.16704464","0.060086012","-0.20685852","null","null","null"
"84","null","null","null","0.05276193","0.01305686","0.0031305922"
"87","null","null","null","0.052151084","0.014278554","0.0031305922"
"89","0.14668465","0.038107395","-0.20268977","null","null","null"
"89","null","null","null","0.049707696","0.014889402","0.002519745"
"92","null","null","null","0.047264308","0.01305686","0.0012980504"
"94","null","null","null","0.04421007","0.01305686","7.635591E-5"
"95","0.120536804","0.010467529","-0.23061478","null","null","null"
"96","null","null","null","0.041155834","0.014278554","7.635591E-5"
"99","null","null","null","0.036269058","0.016111096","-5.344914E-4"
"99","0.08390999","0.010394096","-0.2759325","null","null","null"
"101","null","null","null","0.034436513","0.01733279","-5.344914E-4"
"103","0.06539154","-3.7121773E-4","-0.30409375","null","null","null"
"103","null","null","null","0.030160584","0.016721943","7.635591E-5"
"105","null","null","null","0.025884653","0.016721943","7.635591E-5"
"110","null","null","null","0.01977618","0.01733279","0.0012980504"
"110","0.048225403","-0.008726835","-0.31766328","null","null","null"
"111","null","null","null","0.015500249","0.017943637","0.002519745"
"114","null","null","null","0.010613471","0.016111096","0.0037414394"
"114","0.024107933","-0.017138004","-0.3606807","null","null","null"
"117","null","null","null","0.0051158457","0.017943637","0.004352287"
"119","0.02395153","-0.029124737","-0.37117597","null","null","null"
"119","null","null","null","-3.8177954E-4","0.015500249","0.004963134"
"122","null","null","null","-0.005879405","0.014889402","0.006795676"
"123","null","null","null","-0.01137703","0.014278554","0.007406523"
"124","0.017891884","-0.025707245","-0.38629907","null","null","null"
"127","null","null","null","-0.01565296","0.01305686","0.007406523"
"130","0.019022942","-0.009330988","-0.37162548","null","null","null"
"131","null","null","null","-0.021761434","0.010613471","0.0092390645"
"131","null","null","null","-0.025426516","0.009391776","0.0092390645"
"133","null","null","null","-0.029702447","0.00633754","0.0104607595"
"134","0.03322506","-0.00979352","-0.35952434","null","null","null"
"136","null","null","null","-0.03581092","8.39915E-4","0.011682454"
"138","null","null","null","-0.038865156","-3.8177954E-4","0.013514996"
"139","0.011744499","-0.013953924","-0.33826035","null","null","null"
"142","null","null","null","-0.04253024","-0.003436016","0.015958386"
"144","null","null","null","-0.046195325","-0.005879405","0.016569233"
"144","-0.0071353912","-0.0028262138","-0.3113778","null","null","null"
"145","null","null","null","-0.04924956","-0.0071010995","0.015347538"
"148","null","null","null","-0.0510821","-0.0077119465","0.018401774"
"149","-0.0056638718","-0.016757011","-0.26934436","null","null","null"
"150","null","null","null","-0.053525493","-0.011987877","0.018401774"
"153","null","null","null","-0.056579728","-0.010766183","0.020234315"
"154","-0.012480736","-0.0069503784","-0.24440369","null","null","null"
"156","null","null","null","-0.057190575","-0.01137703","0.020845164"
