"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.8708391","0.7883747","0.81227416"
"9","-2.4522924","-1.1626437","0.2845055","null","null","null"
"11","-2.2229352","-0.94772506","0.2541297","null","null","null"
"12","null","null","null","-0.84396183","0.78226626","0.8251019"
"13","null","null","null","-0.8158629","0.7737144","0.83487546"
"15","null","null","null","-0.78470963","0.76333","0.84220564"
"16","null","null","null","-0.755389","0.74989134","0.8452599"
"17","-2.010212","-0.7471101","0.17493355","null","null","null"
"18","null","null","null","-0.72362494","0.7297334","0.85014665"
"19","null","null","null","-0.6943043","0.7095755","0.8556443"
"20","-1.8716383","-0.57532835","0.063153744","null","null","null"
"20","null","null","null","-0.66437274","0.68880665","0.856866"
"21","null","null","null","-0.6362738","0.663151","0.85747683"
"21","-1.7450948","-0.45052838","-0.12388599","null","null","null"
"24","null","null","null","-0.607564","0.63444126","0.85808766"
"25","null","null","null","-0.57885414","0.6045097","0.8605311"
"25","null","null","null","-0.5538094","0.57030225","0.8611419"
"26","-1.653388","-0.36794615","-0.3126092","null","null","null"
"26","null","null","null","-0.5293755","0.5336514","0.86175275"
"27","-1.5917778","-0.29645753","-0.50723076","null","null","null"
"27","null","null","null","-0.50433075","0.49761146","0.864807"
"30","null","null","null","-0.48111856","0.455463","0.86663955"
"31","-1.5327349","-0.2945087","-0.6870601","null","null","null"
"33","null","null","null","-0.46096063","0.4127037","0.8721372"
"35","null","null","null","-0.4401918","0.36872268","0.8788565"
"35","-1.532423","-0.32590795","-0.85633814","null","null","null"
"38","null","null","null","-0.42125553","0.32168743","0.88557583"
"40","null","null","null","-0.40415183","0.27648473","0.89657104"
"41","-1.5667744","-0.3891232","-1.0267351","null","null","null"
"41","null","null","null","-0.3870481","0.2306712","0.90817714"
"45","-1.5949211","-0.45621753","-1.143214","null","null","null"
"45","null","null","null","-0.37116608","0.18485765","0.9240592"
"47","null","null","null","-0.35711658","0.1390441","0.9387195"
"50","null","null","null","-0.34367794","0.09323056","0.95704496"
"51","-1.629869","-0.52087307","-1.1818534","null","null","null"
"53","null","null","null","-0.33085015","0.048638713","0.97537035"
"54","-1.6547375","-0.59600735","-1.2192868","null","null","null"
"55","null","null","null","-0.31618983","0.001603474","0.99613917"
"57","null","null","null","-0.30214033","-0.042988375","1.0175189"
"60","null","null","null","-0.28931254","-0.08880192","1.0401201"
"60","-1.6873269","-0.6658287","-1.2005645","null","null","null"
"62","null","null","null","-0.2758739","-0.13095038","1.0651649"
"64","null","null","null","-0.26487863","-0.17370969","1.0871555"
"65","-1.6701012","-0.69910574","-1.1343124","null","null","null"
"68","null","null","null","-0.25205085","-0.2140256","1.1103677"
"70","null","null","null","-0.23800136","-0.25067645","1.1311364"
"70","-1.5600481","-0.68164253","-1.0723004","null","null","null"
"73","null","null","null","-0.22517358","-0.28854898","1.1512944"
"74","null","null","null","-0.21234578","-0.32336727","1.1677872"
"75","-1.371685","-0.62336826","-0.98138547","null","null","null"
"77","null","null","null","-0.19890714","-0.35818556","1.1867235"
"80","-1.1732345","-0.53760004","-0.8810224","null","null","null"
"81","null","null","null","-0.1830251","-0.38994962","1.2038273"
"82","null","null","null","-0.16897562","-0.420492","1.2203201"
"85","null","null","null","-0.15370443","-0.44859096","1.2374238"
"85","-1.0256629","-0.42929935","-0.7692449","null","null","null"
