"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.031000499","-0.034589227","0.096437514"
"3","0.1908865","0.14671898","-0.14453685","null","null","null"
"4","null","null","null","-0.035887275","-0.028480753","0.09582666"
"5","null","null","null","-0.0413849","-0.021761434","0.09704836"
"8","null","null","null","-0.04688253","-0.012598725","0.09827005"
"8","0.22016907","0.10343313","-0.13691676","null","null","null"
"11","null","null","null","-0.052380152","-0.0052685575","0.09765921"
"13","0.26829147","0.11990738","-0.10952902","null","null","null"
"14","null","null","null","-0.05787778","0.0020616094","0.096437514"
"15","null","null","null","-0.06398625","0.0075592347","0.09582666"
"18","null","null","null","-0.07131642","0.014278554","0.093383275"
"19","0.30772686","0.1255455","-0.103922725","null","null","null"
"20","null","null","null","-0.07681404","0.01977618","0.09216158"
"23","null","null","null","-0.08353336","0.024052111","0.08788565"
"24","0.36815834","0.1512146","-0.10561013","null","null","null"
"25","null","null","null","-0.08964183","0.028328042","0.086663954"
"28","null","null","null","-0.093917765","0.03077143","0.083609715"
"28","0.41020775","0.20266628","-0.10254669","null","null","null"
"31","null","null","null","-0.0981937","0.034436513","0.08116633"
"34","0.44111156","0.21668243","-0.049757242","null","null","null"
"35","null","null","null","-0.10124794","0.03993414","0.07627955"
"36","null","null","null","-0.10246963","0.04421007","0.07383616"
"38","0.4668808","0.23386812","0.045060277","null","null","null"
"39","null","null","null","-0.103080474","0.047264308","0.06894939"
"40","null","null","null","-0.103080474","0.05276193","0.065284304"
"43","null","null","null","-0.10124794","0.0600921","0.06345176"
"43","0.50894547","0.24468803","0.11846042","null","null","null"
"46","null","null","null","-0.09941539","0.06253549","0.06284091"
"48","null","null","null","-0.0981937","0.06681142","0.062230065"
"48","0.5233679","0.22683334","0.16708875","null","null","null"
"51","null","null","null","-0.09636115","0.06864396","0.059786674"
"53","null","null","null","-0.09269607","0.07230905","0.06100837"
"53","0.5400276","0.2161355","0.18885279","null","null","null"
"55","null","null","null","-0.093917765","0.074141584","0.059786674"
"58","0.5541811","0.21141195","0.1769619","null","null","null"
"58","null","null","null","-0.09025268","0.07536328","0.059175827"
"60","null","null","null","-0.087809294","0.07841752","0.057343286"
"63","null","null","null","-0.08719844","0.07902836","0.055510744"
"63","0.58953476","0.220819","0.18744671","null","null","null"
"64","null","null","null","-0.08414421","0.081471756","0.054899897"
"67","0.6352272","0.24542952","0.167889","null","null","null"
"68","null","null","null","-0.081700824","0.083915144","0.051845662"
"70","null","null","null","-0.078646585","0.08635853","0.048791423"
"73","null","null","null","-0.0749815","0.09124531","0.04756973"
"73","0.6567068","0.28026772","0.18132877","null","null","null"
"75","null","null","null","-0.072538115","0.092467","0.04573719"
"78","null","null","null","-0.068873025","0.09735378","0.042682953"
"78","0.66489124","0.30749512","0.18475485","null","null","null"
"79","null","null","null","-0.06642964","0.10162971","0.03840702"
"82","null","null","null","-0.06215371","0.10468395","0.035963632"
"83","0.6859436","0.32585812","0.17697012","null","null","null"
"85","null","null","null","-0.059099473","0.105905645","0.033520244"
"87","0.67943","0.35332537","0.13920057","null","null","null"
"87","null","null","null","-0.056045234","0.11018158","0.031076854"
"89","null","null","null","-0.053601846","0.11079242","0.028022617"
"92","null","null","null","-0.051769305","0.11384666","0.026800923"
"93","0.6348896","0.36015415","0.10500765","null","null","null"
"95","null","null","null","-0.05054761","0.11384666","0.022524992"
"97","null","null","null","-0.051158458","0.11384666","0.022524992"
"97","0.5965433","0.3702774","0.040123343","null","null","null"
"99","null","null","null","-0.051158458","0.1156792","0.020081604"
"102","null","null","null","-0.049325917","0.1144575","0.019470757"
"103","0.543025","0.38495064","-0.04565406","null","null","null"
"105","null","null","null","-0.05054761","0.1144575","0.019470757"
"107","null","null","null","-0.051158458","0.1156792","0.018249061"
"108","0.46381664","0.39353418","-0.123582244","null","null","null"
"109","null","null","null","-0.052380152","0.11506835","0.018249061"
"112","null","null","null","-0.053601846","0.112014115","0.01885991"
"113","0.39355946","0.38661766","-0.17581677","null","null","null"
"115","null","null","null","-0.056045234","0.11079242","0.020081604"
"116","null","null","null","-0.05787778","0.10895988","0.022524992"
"117","0.3168106","0.38583326","-0.22499502","null","null","null"
"119","null","null","null","-0.05971032","0.11079242","0.026190076"
"122","null","null","null","-0.060932014","0.10834903","0.029244313"
"122","0.23730278","0.34616566","-0.24517608","null","null","null"
"124","null","null","null","-0.06215371","0.10773818","0.03413109"
"127","null","null","null","-0.063375406","0.10834903","0.039017867"
"127","0.19309807","0.30839396","-0.20333838","null","null","null"
"129","null","null","null","-0.06215371","0.10957073","0.04512634"
"132","null","null","null","-0.05971032","0.10957073","0.051234815"
"132","0.15550137","0.28801346","-0.123970866","null","null","null"
"135","null","null","null","-0.059099473","0.10957073","0.055510744"
"136","null","null","null","-0.05482354","0.10895988","0.06100837"
"137","0.13984299","0.26818705","-0.06434679","null","null","null"
"139","null","null","null","-0.051158458","0.11079242","0.065284304"
"141","null","null","null","-0.044439137","0.11079242","0.06894939"
"142","0.115055084","0.2915554","0.026538372","null","null","null"
"144","null","null","null","-0.03955236","0.10712734","0.07383616"
"148","null","null","null","-0.031611346","0.105905645","0.0768904"
"148","0.10608673","0.31972933","0.06429803","null","null","null"
"149","null","null","null","-0.02367033","0.1040731","0.08116633"
"152","null","null","null","-0.014507622","0.09918632","0.084220566"
"152","0.11515427","0.36803055","0.12526584","null","null","null"
"154","null","null","null","-0.005955761","0.09552124","0.086663954"
