"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.014202199","0.0070247436","0.008704574"
"4","null","null","null","-0.01175881","0.010689827","0.008093726"
"5","0.041820645","0.04431081","0.19066334","null","null","null"
"7","null","null","null","-0.010537115","0.013744064","0.007482879"
"10","null","null","null","-0.008093726","0.017409148","0.006872032"
"12","0.024233937","0.032535553","0.18168163","null","null","null"
"13","null","null","null","-0.0062611843","0.018019995","0.008093726"
"14","null","null","null","-0.0062611843","0.020463383","0.008704574"
"16","-0.013244152","0.02785039","0.14669609","null","null","null"
"17","null","null","null","-0.00503949","0.02107423","0.008093726"
"18","null","null","null","-0.0062611843","0.020463383","0.009926268"
"19","-0.04916513","0.023180723","0.05977249","null","null","null"
"23","null","null","null","-0.007482879","0.017409148","0.01175881"
"25","null","null","null","-0.009926268","0.013744064","0.01175881"
"26","null","null","null","-0.011147963","0.011300675","0.01175881"
"26","-0.07557607","0.032948732","-0.034762383","null","null","null"
"27","null","null","null","-0.01175881","0.006413896","0.010537115"
"27","-0.07119465","0.04987836","-0.09646988","null","null","null"
"33","null","null","null","-0.012980504","0.0015271181","0.01175881"
"34","null","null","null","-0.013591352","-0.0021379655","0.01175881"
"34","-0.05896461","0.065565586","-0.12559032","null","null","null"
"35","null","null","null","-0.015423893","-0.008246438","0.010537115"
"36","-0.044916272","0.074156046","-0.14379025","null","null","null"
"37","null","null","null","-0.018478129","-0.013744064","0.009926268"
"41","null","null","null","-0.019699825","-0.019241689","0.008093726"
"43","null","null","null","-0.020921519","-0.02351762","0.0056503373"
"44","-0.018331885","0.09586406","-0.15471745","null","null","null"
"45","null","null","null","-0.023364907","-0.025961008","0.0038177953"
"47","null","null","null","-0.023364907","-0.030847786","0.0025961008"
"48","0.0018473864","0.10919738","-0.13114357","null","null","null"
"48","null","null","null","-0.02519745","-0.03451287","1.5271181E-4"
"51","null","null","null","-0.026419144","-0.03268033","-4.5813544E-4"
"52","0.0050690174","0.11182594","-0.057922363","null","null","null"
"53","null","null","null","-0.026419144","-0.032069482","-0.0010689828"
"55","0.0059947968","0.08599043","-0.004339218","null","null","null"
"55","null","null","null","-0.027640838","-0.031458635","-0.00167983"
"58","null","null","null","-0.027029991","-0.029626092","-0.004123219"
"61","null","null","null","-0.026419144","-0.024128467","-0.005955761"
"62","-0.005855441","0.060334206","0.052336693","null","null","null"
"63","null","null","null","-0.028251685","-0.020463383","-0.0047340663"
"65","null","null","null","-0.028251685","-0.014965758","-0.0047340663"
"66","-0.026696801","0.037337065","0.104893684","null","null","null"
"68","null","null","null","-0.028862532","-0.008857286","-0.0047340663"
"71","null","null","null","-0.028862532","-0.0027488125","-0.0035123718"
"71","-0.05396092","0.019310713","0.14743519","null","null","null"
"72","null","null","null","-0.027640838","0.003970507","-0.00167983"
"75","-0.08404124","0.01563549","0.18600845","null","null","null"
"76","null","null","null","-0.027029991","0.010689827","0.0013744063"
"77","null","null","null","-0.026419144","0.016798299","0.0038177953"
"81","null","null","null","-0.02519745","0.022295926","0.0062611843"
"82","-0.1324104","-0.011788368","0.20284939","null","null","null"
"83","null","null","null","-0.023975754","0.029015245","0.0062611843"
"86","null","null","null","-0.023364907","0.03451287","0.011147963"
"86","-0.14665544","-0.034309864","0.20764637","null","null","null"
"88","null","null","null","-0.023364907","0.03634541","0.013591352"
"93","null","null","null","-0.020921519","0.038177952","0.016645588"
"93","-0.14640856","-0.023435831","0.18272209","null","null","null"
"93","null","null","null","-0.020310672","0.038177952","0.020310672"
"97","null","null","null","-0.017867282","0.037567105","0.020921519"
"98","-0.13080657","-0.0353117","0.14974976","null","null","null"
"98","null","null","null","-0.012980504","0.03634541","0.02275406"
"102","null","null","null","-0.008704574","0.037567105","0.023975754"
"103","-0.09524691","-0.026077509","0.15876102","null","null","null"
"103","null","null","null","-0.0038177953","0.035734564","0.026419144"
"107","-0.07558012","-0.0030813217","0.17382336","null","null","null"
"107","null","null","null","0.0010689828","0.033902023","0.027640838"
"108","null","null","null","0.0071774554","0.030236939","0.028251685"
"112","-0.071877","0.019178629","0.1581707","null","null","null"
"113","null","null","null","0.014507622","0.024128467","0.028251685"
"113","null","null","null","0.020005248","0.016187452","0.028251685"
"118","null","null","null","0.024892027","0.008857286","0.029473381"
"119","-0.027330637","0.01817727","0.11802387","null","null","null"
"119","null","null","null","0.029778805","0.0015271181","0.028862532"
"123","null","null","null","0.033443887","-0.0076355906","0.027029991"
"123","0.0031000376","0.038132668","0.03455448","null","null","null"
"124","null","null","null","0.035887275","-0.015576605","0.027640838"
"126","null","null","null","0.036498122","-0.024739314","0.027029991"
"127","0.018270135","0.07076883","-0.05159092","null","null","null"
"127","null","null","null","0.036498122","-0.03268033","0.02519745"
"132","null","null","null","0.036498122","-0.0387888","0.023975754"
"132","0.04928124","0.09242034","-0.123864174","null","null","null"
"132","null","null","null","0.035887275","-0.043064732","0.023975754"
"136","null","null","null","0.03466558","-0.04795151","0.023364907"
"136","0.0534935","0.083076954","-0.13970566","null","null","null"
"138","null","null","null","0.033443887","-0.049173206","0.02275406"
"141","null","null","null","0.032222193","-0.049784053","0.019088976"
"142","0.09078205","0.09527421","-0.12575817","null","null","null"
"143","null","null","null","0.031000499","-0.046118967","0.018478129"
"145","null","null","null","0.029778805","-0.042453885","0.017256435"
"146","0.11024499","0.08253312","-0.09300995","null","null","null"
"148","null","null","null","0.027335415","-0.03634541","0.016034741"
