magnetometer_timestamp	magnetometer_x_data	magnetometer_y_data	magnetometer_z_data
924312954759535	-22.257996	0.36773682	-42.485046
924312971635756	-22.59674	-0.6515503	-44.807434
924312987047133	-23.104858	-0.14190674	-43.64624
924313004075941	-23.104858	-0.82092285	-42.651367
924313022203383	-22.59674	-1.6708374	-43.148804
924313037675795	-23.442078	-0.48217773	-41.32538
924313054368910	-24.458313	0.53863525	-42.32025
924313072740492	-23.780823	-0.14190674	-42.651367
924313088029799	-24.119568	1.2176514	-41.98761
924313104783949	-24.119568	1.2176514	-42.651367
924313122880873	-25.305176	3.7658691	-43.81256
924313138322767	-24.96643	0.36773682	-42.485046
924313154985365	-24.627686	1.3870239	-43.148804
924313173448500	-25.813293	1.8966675	-42.651367
924313188585218	-23.780823	3.5964966	-42.32025
924313205369886	-25.474548	4.6157837	-43.64624
924313223466810	-25.305176	3.427124	-44.47632
924313239030775	-24.797058	3.5964966	-45.635986
924313255723890	-25.474548	2.2369385	-43.97888
924313272539076	-23.442078	2.9174805	-44.309998
924313289323744	-24.458313	3.9367676	-44.309998
924313306077894	-24.627686	4.10614	-45.13855
924313323045668	-23.104858	3.2562256	-44.309998
924313339799818	-24.119568	4.6157837	-44.309998
924313356492933	-24.119568	5.2963257	-45.30487
924313373369154	-24.458313	4.6157837	-45.968628
924313390123304	-25.135803	4.9560547	-45.635986
924313406846937	-25.305176	4.10614	-45.47119
924313427019056	-24.458313	4.9560547	-44.973755
924313440629896	-23.950195	4.446411	-44.807434
924313455675062	-24.119568	5.635071	-44.973755
924313474229750	-23.780823	5.635071	-44.309998
924313490983900	-23.104858	5.975342	-45.30487
924313506029066	-24.627686	6.4849854	-45.13855
924313524522718	-23.442078	5.635071	-44.641113
924313541337904	-24.119568	6.315613	-44.641113
924313556810316	-25.305176	6.4849854	-44.143677
924313574907240	-23.950195	5.805969	-44.807434
924313591691908	-23.272705	5.1254272	-45.802307
924313606767591	-25.64392	6.1447144	-46.133423
924313625291761	-25.474548	7.675171	-44.973755
924313642045912	-24.797058	6.315613	-45.635986
924313657152113	-24.458313	5.2963257	-45.635986
924313675615248	-23.61145	6.8252563	-45.802307
924313692369398	-25.982666	5.805969	-45.47119
924313707902845	-25.813293	5.2963257	-44.973755
924313725938734	-23.61145	7.5042725	-45.13855
