accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1442566853930994797	-1.6482086	5.7306366	-1.9930573
1442566853939387131	-1.9778748	5.899643	-1.9802094
1442566853947779465	-2.7396393	6.284973	-2.0207214
1442566853956171799	-3.5815277	6.8708344	-2.0935059
1442566853964564133	-4.382675	7.6698303	-2.2998352
1442566853972956467	-4.790085	8.053467	-2.397522
1442566853981348801	-5.303192	8.505859	-2.515808
1442566853989741135	-6.123337	9.135941	-2.745987
1442566853998133469	-6.642456	9.516541	-3.106491
1442566854006525803	-6.6926117	9.607788	-3.3872528
1442566854014918137	-6.55188	9.599426	-3.4977875
1442566854023310471	-5.9839783	9.577423	-3.5352173
1442566854031702805	-4.9252167	9.598236	-3.435791
1442566854040095139	-3.7652283	9.9543	-3.5983276
1442566854048487473	-3.274109	10.340225	-3.9608002
1442566854056879807	-2.9701538	10.7000885	-4.3444214
1442566854065272141	-3.4779205	11.041031	-5.0892944
1442566854073664475	-5.078369	10.527512	-5.393341
1442566854082056809	-6.2587433	9.237793	-5.128479
1442566854090449143	-6.4470215	8.313721	-4.730713
1442566854098841477	-6.301819	7.2187347	-4.346756
1442566854107233811	-5.237671	5.986145	-3.8982697
1442566854115626145	-4.109131	5.6821136	-3.1354065
1442566854124018479	-2.9341888	6.0496216	-2.4160156
1442566854132410813	-1.8263397	6.7352753	-1.9263611
1442566854140803147	0.09333801	8.5833435	-1.1100769
1442566854149195481	2.4033813	11.859543	-0.5297241
1442566854157587815	3.8624115	15.756897	-0.8861389
1442566854165980149	3.1888428	17.692352	-0.87802124
1442566854174372483	2.1002808	19.169708	-0.7347107
1442566854182764817	-0.99386597	18.880035	-0.5125885
1442566854191157151	-2.4072876	15.926743	-1.734375
1442566854199549485	-1.8360138	13.946884	-2.2503815
1442566854207941819	-1.1359711	11.610336	-2.7180939
1442566854216334152	-0.34733582	8.322067	-2.4706726
1442566854224726486	0.18383789	5.725006	-0.62901306
1442566854233118820	1.1715851	4.07576	1.2172241
1442566854241511154	1.6188507	3.2602844	2.403473
1442566854249903488	2.0259705	3.3955994	3.5510712
1442566854258295822	1.878067	5.5805206	3.558258
1442566854266688156	0.6739807	8.312866	2.805603
1442566854275080490	-0.41844177	9.651535	2.5871582
1442566854283472824	-1.3971252	10.6302185	2.53125
1442566854291865158	-3.2856903	12.325287	1.9417572
1442566854300257492	-4.6744537	12.996368	0.7995453
1442566854308649826	-5.0717773	12.753342	-0.14175415
1442566854317042160	-4.787735	12.2790985	-0.15653992
1442566854325434494	-4.2035217	11.541672	-0.13206482
