gravity_timestamp	gravity_x_data	gravity_y_data	gravity_z_data
1442740533801729845	-2.3765407	9.459911	1.0161264
1442740533810030626	-2.2847545	9.45912	1.2146358
1442740533818331408	-2.1875415	9.455348	1.4076376
1442740533826632189	-2.0602307	9.453007	1.6020303
1442740533834932970	-1.9155865	9.446904	1.8046937
1442740533843233751	-1.7418123	9.444043	1.9865876
1442740533851534533	-1.5488926	9.444294	2.1393058
1442740533859835314	-1.373945	9.44213	2.2646942
1442740533868136095	-1.1965547	9.4409	2.3681328
1442740533876436876	-1.0277677	9.436069	2.4646902
1442740533884737658	-0.84043527	9.431312	2.5523374
1442740533893038439	-0.65488756	9.425472	2.6271608
1442740533901339220	-0.46411118	9.417582	2.695209
1442740533909640001	-0.26185557	9.40936	2.7505944
1442740533917940783	-0.058612168	9.399524	2.795692
1442740533926241564	0.11878182	9.38626	2.8380268
1442740533934542345	0.27270597	9.36789	2.8876727
1442740533942843126	0.40306452	9.345559	2.9442253
1442740533951143908	0.5089864	9.325736	2.9903119
1442740533959444689	0.5942497	9.3086	3.02774
1442740533967745470	0.6613308	9.295257	3.054706
1442740533976046251	0.7236361	9.286615	3.0668397
1442740533984347033	0.77645296	9.282412	3.0666516
1442740533992647814	0.8259251	9.281908	3.055227
1442740534000948595	0.86936486	9.285708	3.031536
1442740534009249376	0.90682507	9.293158	2.997544
1442740534017550158	0.93614024	9.303347	2.956648
1442740534025850939	0.9580127	9.3166065	2.907481
1442740534034151720	0.9732611	9.332843	2.8497696
1442740534042452501	0.98249775	9.349483	2.791461
1442740534050753283	0.98185635	9.3665285	2.7339506
1442740534059054064	0.9685443	9.384174	2.6776047
1442740534067354845	0.94159317	9.402238	2.623301
1442740534075655626	0.9008743	9.421735	2.5670447
1442740534083956408	0.8444404	9.442928	2.507671
1442740534092257189	0.7738343	9.465286	2.445389
1442740534100557970	0.6890154	9.490701	2.3711286
1442740534108858751	0.5996258	9.518258	2.2833314
1442740534117159533	0.51383305	9.546831	2.182744
1442740534125460314	0.42739826	9.574603	2.077185
1442740534133761095	0.32625598	9.599964	1.9760152
1442740534142061876	0.222137	9.617891	1.9018945
1442740534150362658	0.1057662	9.623338	1.8842961
1442740534158663439	0.008932992	9.616809	1.920233
1442740534166964220	-0.035827585	9.608791	1.9596535
1442740534175265001	-0.0770289	9.596374	2.0184345
1442740534183565783	-0.093034014	9.583116	2.0798147
1442740534191866564	-0.03367752	9.571657	2.1336913
1442740534200167345	0.06733145	9.565394	2.160806
1442740534208468126	0.18423796	9.562541	2.1666203
1442740534216768908	0.27293205	9.561943	2.159895
1442740534225069689	0.31112635	9.564516	2.143271
1442740534233370470	0.3283734	9.567221	2.128579
1442740534241671251	0.2898836	9.578591	2.0825305
1442740534249972033	0.21634816	9.590943	2.0340552
1442740534258272814	0.1375522	9.6017475	1.9894483
1442740534266573595	0.053603806	9.6147995	1.9295459
1442740534274874376	-0.022718376	9.624432	1.8815391
1442740534283175158	-0.07615656	9.63502	1.8250936
1442740534291475939	-0.131174	9.651966	1.7299495
1442740534299776720	-0.18971129	9.667661	1.6342378
1442740534308077501	-0.2345125	9.689018	1.4960984
1442740534316378283	-0.28884724	9.706464	1.3680338
1442740534324679064	-0.35202566	9.722322	1.234058
1442740534332979845	-0.43961748	9.736182	1.0880619
1442740534341280626	-0.5498214	9.747262	0.9268049
1442740534349581408	-0.6687055	9.755438	0.74475783
1442740534357882189	-0.79817855	9.757531	0.5691135
1442740534366182970	-0.9252936	9.753655	0.42474943
1442740534374483751	-1.0444541	9.745455	0.32499158
1442740534382784533	-1.1454605	9.7365465	0.24074636
1442740534391085314	-1.2353425	9.727713	0.12614408
1442740534399386095	-1.3020427	9.719828	-0.005142477
1442740534407686876	-1.3476995	9.712463	-0.14879401
1442740534415987658	-1.3687779	9.706756	-0.27518606
1442740534424288439	-1.3870479	9.700964	-0.37117746
1442740534432589220	-1.4052833	9.695795	-0.43257543
1442740534440890001	-1.4100976	9.693379	-0.46947223
1442740534449190783	-1.4057862	9.692691	-0.49588364
1442740534457491564	-1.3874732	9.694103	-0.5192943
1442740534465792345	-1.3554361	9.697154	-0.5462516
1442740534474093126	-1.3202949	9.699919	-0.5820482
1442740534482393908	-1.2913724	9.701345	-0.62179774
1442740534490694689	-1.2687745	9.701395	-0.665975
1442740534498995470	-1.251373	9.700682	-0.7079701
1442740534507296251	-1.2410899	9.69917	-0.7457814
1442740534515597033	-1.2359295	9.697089	-0.7805925
1442740534523897814	-1.2331259	9.694939	-0.8111381
1442740534532198595	-1.2329574	9.692321	-0.84209484
1442740534540499376	-1.2391773	9.688465	-0.8766297
1442740534548800158	-1.2533814	9.683059	-0.91531265
1442740534557100939	-1.2706975	9.677058	-0.9540766
1442740534565401720	-1.2907939	9.669885	-0.99879295
1442740534573702501	-1.3098801	9.661858	-1.050295
1442740534582003283	-1.3332139	9.652106	-1.1089499
1442740534590304064	-1.3576496	9.641679	-1.1684163
1442740534598604845	-1.3854858	9.630565	-1.2259864
1442740534606905626	-1.4181709	9.618417	-1.2826661
1442740534615206408	-1.4583704	9.6048155	-1.3383043
1442740534623507189	-1.5045557	9.590083	-1.3917671
1442740534631807970	-1.5536181	9.574307	-1.4454377
1442740534640108751	-1.6051868	9.557484	-1.4994192
1442740534648409533	-1.6555502	9.539666	-1.5570168
1442740534656710314	-1.7010851	9.521495	-1.6179738
1442740534665011095	-1.7393594	9.504265	-1.677486
1442740534673311876	-1.7707704	9.489905	-1.7252401
1442740534681612658	-1.7962333	9.480426	-1.7508454
1442740534689913439	-1.8190042	9.47525	-1.7553488
1442740534698214220	-1.8337507	9.474089	-1.7462522
1442740534706515001	-1.8410846	9.475393	-1.7313926
1442740534714815783	-1.8464191	9.477628	-1.7133883
1442740534723116564	-1.8506572	9.479609	-1.6977879
1442740534731417345	-1.8488638	9.481779	-1.6875894
1442740534739718126	-1.8308744	9.487098	-1.6772792
1442740534748018908	-1.7970735	9.49694	-1.6580294
1442740534756319689	-1.7419704	9.512825	-1.6254476
1442740534764620470	-1.6719625	9.534566	-1.5706654
1442740534772921251	-1.599338	9.560317	-1.4875628
1442740534781222033	-1.529069	9.58825	-1.3776089
1442740534789522814	-1.4594966	9.617008	-1.246362
1442740534797823595	-1.3879442	9.645843	-1.0962298
1442740534806124376	-1.300885	9.675411	-0.92979056
1442740534814425158	-1.2048984	9.703643	-0.74694216
1442740534822725939	-1.0980738	9.729786	-0.5439615
1442740534831026720	-0.9827625	9.752017	-0.32051402
1442740534839327501	-0.86576235	9.76798	-0.08614974
1442740534847628283	-0.7331234	9.777839	0.16366488
1442740534855929064	-0.6034235	9.779633	0.40627447
1442740534864229845	-0.4720512	9.774064	0.64438325
1442740534872530626	-0.33611184	9.760954	0.88385516
1442740534880831408	-0.18839815	9.740323	1.1229458
1442740534889132189	-0.039169595	9.713095	1.3507906
1442740534897432970	0.10063487	9.683379	1.5467492
1442740534905733751	0.21388014	9.654431	1.7078025
1442740534914034533	0.322493	9.626285	1.844188
1442740534922335314	0.4270996	9.598599	1.9633788
1442740534930636095	0.522761	9.571617	2.0691218
1442740534938936876	0.62299085	9.544093	2.1662312
1442740534947237658	0.7374451	9.514852	2.2570262
1442740534955538439	0.87559456	9.483607	2.3377166
1442740534963839220	1.0210466	9.451418	2.4080162
1442740534972140001	1.177843	9.417083	2.4701462
1442740534980440783	1.3309652	9.380237	2.531814
1442740534988741564	1.4743241	9.339944	2.6004233
1442740534997042345	1.6037906	9.298914	2.6699135
1442740535005343126	1.7192106	9.259969	2.7327049
1442740535013643908	1.8191701	9.224207	2.7883701
1442740535021944689	1.9053419	9.191919	2.837018
1442740535030245470	1.9804903	9.164222	2.874907
1442740535038546251	2.0454454	9.142002	2.9000583
1442740535046847033	2.1012144	9.124561	2.915077
1442740535055147814	2.1470776	9.112101	2.9206288
1442740535063448595	2.185627	9.104795	2.9148114
1442740535071749376	2.2144315	9.102588	2.8999262
1442740535080050158	2.23377	9.104447	2.8791833
1442740535088350939	2.2443197	9.110432	2.8519208
1442740535096651720	2.2472882	9.120377	2.8175883
1442740535104952501	2.24408	9.1335945	2.7770383
1442740535113253283	2.2336957	9.149773	2.7317858
1442740535121554064	2.2146702	9.169498	2.6806588
1442740535129854845	2.1856806	9.192537	2.624966
1442740535138155626	2.144933	9.219225	2.564281
1442740535146456408	2.09022	9.250367	2.4964123
1442740535154757189	2.019086	9.286352	2.420197
1442740535163057970	1.9325024	9.326679	2.3342807
1442740535171358751	1.8335217	9.370403	2.2369916
1442740535179659533	1.7237476	9.414855	2.1353197
1442740535187960314	1.5927418	9.459802	2.0361004
1442740535196261095	1.4428397	9.501837	1.950307
1442740535204561876	1.2709736	9.537852	1.8932453
1442740535212862658	1.0848112	9.565258	1.8706731
1442740535221163439	0.9092705	9.583648	1.8701091
1442740535229464220	0.7541113	9.594137	1.8852688
1442740535237765001	0.6467127	9.592088	1.9349439
1442740535246065783	0.5954848	9.581846	2.0009992
1442740535254366564	0.6050612	9.569182	2.0579207
1442740535262667345	0.6529102	9.560783	2.0821896
1442740535270968126	0.71603763	9.554215	2.0915651
1442740535279268908	0.7624981	9.551268	2.0886064
1442740535287569689	0.77880317	9.553902	2.0704606
1442740535295870470	0.78034157	9.558365	2.049175
1442740535304171251	0.75160915	9.569003	2.00989
1442740535312472033	0.71398896	9.580747	1.9672056
1442740535320772814	0.6765799	9.59165	1.9268842
1442740535329073595	0.6298664	9.602303	1.8892977
1442740535337374376	0.5749866	9.613449	1.8496948
1442740535345675158	0.52495444	9.622963	1.8147725
1442740535353975939	0.47468904	9.634083	1.7690426
1442740535362276720	0.42006996	9.649275	1.6986529
1442740535370577501	0.36064202	9.665637	1.6173421
1442740535378878283	0.3012244	9.681741	1.5308639
1442740535387179064	0.23051816	9.698316	1.4352454
1442740535395479845	0.14746088	9.717767	1.309065
1442740535403780626	0.049797796	9.738328	1.1545011
1442740535412081408	-0.05544765	9.756733	0.98664504
1442740535420382189	-0.1663801	9.770993	0.81878114
1442740535428682970	-0.2769949	9.780279	0.66317105
1442740535436983751	-0.3811881	9.784992	0.52820903
1442740535445284533	-0.47008628	9.786853	0.40854234
1442740535453585314	-0.54943174	9.786861	0.2929987
1442740535461886095	-0.60900617	9.786219	0.1715181
1442740535470186876	-0.6531393	9.784776	0.044358842
1442740535478487658	-0.6861965	9.782344	-0.07262932
1442740535486788439	-0.713365	9.7791195	-0.17413616
1442740535495089220	-0.7397249	9.775396	-0.25461057
1442740535503390001	-0.7588567	9.772095	-0.31730002
1442740535511690783	-0.7724066	9.769365	-0.3650835
1442740535519991564	-0.77821255	9.76744	-0.4023586
1442740535528292345	-0.7715284	9.766593	-0.43450472
1442740535536593126	-0.7561593	9.766348	-0.4659016
1442740535544893908	-0.7337632	9.7663145	-0.5010764
1442740535553194689	-0.7120178	9.765797	-0.54097
1442740535561495470	-0.69440246	9.764487	-0.5856519
1442740535569796251	-0.68356353	9.762381	-0.6317088
1442740535578097033	-0.67953384	9.759731	-0.6754689
1442740535586397814	-0.6830831	9.756643	-0.71533495
1442740535594698595	-0.6945263	9.752948	-0.7536804
1442740535602999376	-0.71160775	9.748663	-0.79218936
1442740535611300158	-0.7337563	9.743907	-0.82961816
1442740535619600939	-0.7629832	9.738318	-0.8679875
1442740535627901720	-0.79538715	9.732079	-0.90796787
1442740535636202501	-0.8273667	9.725573	-0.9482005
1442740535644503283	-0.85729116	9.718675	-0.99136305
1442740535652804064	-0.88643545	9.711048	-1.0393085
1442740535661104845	-0.9180587	9.701891	-1.0958415
1442740535669405626	-0.9531745	9.691395	-1.1570306
1442740535677706408	-0.9940208	9.679795	-1.2181442
1442740535686007189	-1.04085	9.666841	-1.2803152
1442740535694307970	-1.0927687	9.653193	-1.3386911
1442740535702608751	-1.149833	9.639074	-1.3915874
1442740535710909533	-1.2102505	9.624706	-1.4389951
1442740535719210314	-1.2729806	9.610328	-1.4803768
1442740535727511095	-1.3356143	9.596214	-1.51631
1442740535735811876	-1.3962119	9.582442	-1.548477
1442740535744112658	-1.4530705	9.569212	-1.5777047
1442740535752413439	-1.504138	9.557199	-1.6024675
1442740535760714220	-1.5471483	9.547398	-1.6198515
1442740535769015001	-1.5813127	9.54029	-1.6287109
1442740535777315783	-1.6101942	9.535185	-1.6303104
1442740535785616564	-1.6293128	9.533393	-1.6217711
1442740535793917345	-1.643543	9.533171	-1.6086688
1442740535802218126	-1.6537019	9.533973	-1.5934261
1442740535810518908	-1.6574519	9.536404	-1.5748812
1442740535818819689	-1.6508771	9.541526	-1.5505766
1442740535827120470	-1.627811	9.550541	-1.5191424
1442740535835421251	-1.5944571	9.563188	-1.4742893
1442740535843722033	-1.552406	9.5789585	-1.4156175
1442740535852022814	-1.5053614	9.597516	-1.3386381
1442740535860323595	-1.4532444	9.618734	-1.2403243
1442740535868624376	-1.393581	9.642294	-1.1200423
1442740535876925158	-1.3250355	9.667457	-0.97721916
1442740535885225939	-1.2394713	9.693777	-0.81535095
1442740535893526720	-1.1397632	9.719448	-0.6353444
1442740535901827501	-1.0266461	9.742929	-0.43784186
1442740535910128283	-0.8987326	9.76282	-0.22360079
1442740535918429064	-0.7606273	9.777107	0.0035981433
1442740535926729845	-0.612336	9.784634	0.23744394
1442740535935030626	-0.45508125	9.7845955	0.47431335
1442740535943331408	-0.29320917	9.776451	0.7109218
1442740535951632189	-0.13270868	9.760028	0.9458467
1442740535959932970	0.016773792	9.73559	1.1783007
1442740535968233751	0.15407613	9.705902	1.3935995
1442740535976534533	0.26999384	9.675105	1.5779239
1442740535984835314	0.3686743	9.646979	1.7234446
1442740535993136095	0.4577654	9.620817	1.844104
1442740536001436876	0.542537	9.595642	1.9492838
1442740536009737658	0.6300956	9.570577	2.0438747
1442740536018038439	0.72455215	9.544189	2.133978
1442740536026339220	0.8344779	9.515493	2.2202308
1442740536034640001	0.95773447	9.484325	2.3023245
1442740536042940783	1.0958008	9.450497	2.3785975
1442740536051241564	1.242391	9.415059	2.446123
1442740536059542345	1.3875549	9.379409	2.5043511
1442740536067843126	1.5262716	9.344086	2.5551794
1442740536076143908	1.6569221	9.310619	2.5956419
1442740536084444689	1.7786174	9.278304	2.6305869
1442740536092745470	1.888261	9.248038	2.6605709
1442740536101046251	1.9880065	9.219246	2.6876976
1442740536109347033	2.0792913	9.193085	2.7081604
1442740536117647814	2.162182	9.170905	2.7184289
1442740536125948595	2.2370174	9.153384	2.7169297
1442740536134249376	2.3023295	9.140024	2.707329
1442740536142550158	2.3572302	9.130694	2.6915183
1442740536150850939	2.4014153	9.125389	2.6703682
1442740536159151720	2.4325001	9.124071	2.6466298
1442740536167452501	2.4503307	9.126949	2.6201255
1442740536175753283	2.4538355	9.134803	2.5892942
1442740536184054064	2.4405086	9.148482	2.5533469
1442740536192354845	2.4141588	9.166411	2.513787
1442740536200655626	2.3778353	9.187433	2.4713058
1442740536208956408	2.3295186	9.212121	2.4249856
1442740536217257189	2.2689033	9.240755	2.3729515
1442740536225557970	2.1966202	9.272895	2.3148816
1442740536233858751	2.1143122	9.308373	2.2481644
1442740536242159533	2.0227852	9.346839	2.1714807
1442740536250460314	1.9233527	9.387472	2.084817
1442740536258761095	1.8153888	9.429345	1.9905306
1442740536267061876	1.6914238	9.471719	1.8963144
1442740536275362658	1.5516897	9.513208	1.8059675
1442740536283663439	1.3872999	9.552178	1.7325342
1442740536291964220	1.1983705	9.586931	1.6807914
1442740536300265001	1.0045412	9.613128	1.6580279
1442740536308565783	0.8353303	9.629613	1.6562498
1442740536316866564	0.70890206	9.632773	1.6963284
1442740536325167345	0.64095837	9.626976	1.7552441
1442740536333468126	0.6560838	9.614249	1.8182851
1442740536341768908	0.7239104	9.60174	1.8582058
1442740536350069689	0.8162089	9.589832	1.8813046
1442740536358370470	0.8981677	9.580378	1.892101
1442740536366671251	0.9498991	9.57459	1.8961289
1442740536374972033	0.9845684	9.570428	1.899453
1442740536383272814	0.9878057	9.572948	1.8850154
1442740536391573595	0.96491367	9.581348	1.8539414
1442740536399874376	0.93185616	9.591738	1.8167577
1442740536408175158	0.88928	9.604141	1.7720181
1442740536416475939	0.84657085	9.617123	1.721816
1442740536424776720	0.80252117	9.631558	1.6611533
1442740536433077501	0.76582354	9.6493	1.5731881
1442740536441378283	0.72279006	9.668297	1.473769
1442740536449679064	0.67271835	9.688134	1.3630432
1442740536457979845	0.61052305	9.707246	1.2518071
1442740536466280626	0.52984077	9.725729	1.1401132
1442740536474581408	0.42765155	9.74366	1.0240065
1442740536482882189	0.31222764	9.760558	0.89689153
1442740536491182970	0.18744448	9.775009	0.764489
1442740536499483751	0.058458276	9.786102	0.6318031
1442740536507784533	-0.06971902	9.793385	0.50511956
1442740536516085314	-0.19068234	9.796958	0.3919718
1442740536524386095	-0.29286963	9.798266	0.28033042
1442740536532686876	-0.3731289	9.7982645	0.15866284
1442740536540987658	-0.43093613	9.797132	0.029811652
1442740536549288439	-0.46865705	9.794985	-0.095012434
1442740536557589220	-0.49496925	9.79229	-0.19094823
1442740536565890001	-0.5184575	9.789772	-0.2488928
1442740536574190783	-0.53559697	9.788239	-0.27186838
1442740536582491564	-0.54315287	9.787757	-0.27419236
1442740536590792345	-0.5379122	9.788257	-0.2665825
1442740536599093126	-0.5170936	9.78949	-0.26247352
1442740536607393908	-0.48518333	9.790838	-0.27288258
1442740536615694689	-0.4525901	9.791408	-0.3064174
1442740536623995470	-0.425948	9.790722	-0.36153683
1442740536632296251	-0.40590233	9.788779	-0.43062395
1442740536640597033	-0.39112884	9.785922	-0.5031163
1442740536648897814	-0.38207203	9.782663	-0.569125
1442740536657198595	-0.38083962	9.779674	-0.6191424
1442740536665499376	-0.387613	9.777244	-0.65241253
1442740536673800158	-0.4022633	9.77497	-0.6771496
1442740536682100939	-0.42284897	9.773124	-0.6911148
