rotvec_timestamp	rotvec_x_data	rotvec_y_data	rotvec_z_data
1187618837917197	0.09965389	-0.15996237	-0.78090703
1187618846217978	0.09994046	-0.16047199	-0.78009945
1187618854518759	0.10033038	-0.16104616	-0.7790556
1187618862819541	0.100791596	-0.16182986	-0.7780598
1187618871120322	0.1012872	-0.16244951	-0.7768634
1187618879421103	0.10158285	-0.1629243	-0.7760344
1187618887721884	0.10172968	-0.16314101	-0.77505267
1187618896022666	0.10172943	-0.1632544	-0.7743694
1187618904323447	0.10159846	-0.16330197	-0.77377313
1187618912624228	0.101784974	-0.16350804	-0.7726244
1187618920925009	0.10219926	-0.16399474	-0.7712807
1187618929225791	0.10263473	-0.16482736	-0.770008
1187618937526572	0.10314986	-0.16580424	-0.7687185
1187618945827353	0.10367911	-0.16697429	-0.76707
1187618954128134	0.10395113	-0.16828758	-0.76574916
1187618962428916	0.103944376	-0.16949154	-0.764444
1187618970729697	0.10380504	-0.17041934	-0.7630669
1187618979030478	0.10352515	-0.1710358	-0.7621236
1187618987331259	0.103410415	-0.17118946	-0.761005
1187618995632041	0.10336958	-0.17109203	-0.7602164
1187619003932822	0.103594296	-0.17056155	-0.7592959
1187619012233603	0.10386093	-0.16996072	-0.758609
1187619020534384	0.10422771	-0.16940652	-0.7575978
1187619028835166	0.10457707	-0.16905373	-0.75679904
1187619037135947	0.10489166	-0.16891158	-0.755704
1187619045436728	0.10497084	-0.16911589	-0.7548091
1187619053737509	0.10492378	-0.16968441	-0.7538412
1187619062038291	0.1048076	-0.17046776	-0.75268114
1187619070339072	0.10470175	-0.17134318	-0.75152534
1187619078639853	0.104667924	-0.17227261	-0.75064236
1187619086940634	0.104567975	-0.17325099	-0.74984044
1187619095241416	0.1045989	-0.17418085	-0.7487457
1187619103542197	0.1045622	-0.17517617	-0.74794513
1187619111842978	0.10471816	-0.17608993	-0.74664503
1187619120143759	0.10479351	-0.17693546	-0.7458018
1187619128444541	0.105064675	-0.17750058	-0.7445318
1187619136745322	0.10526142	-0.17790051	-0.7437767
1187619145046103	0.1056478	-0.17803466	-0.7425708
1187619153346884	0.10606728	-0.17821468	-0.7417204
1187619161647666	0.10697393	-0.17849414	-0.7399562
1187619169948447	0.1077526	-0.17879102	-0.7388156
1187619178249228	0.108366944	-0.17875475	-0.7376266
1187619186550009	0.108722135	-0.17830263	-0.73659873
1187619194850791	0.10877845	-0.17756999	-0.7364243
1187619203151572	0.108932726	-0.17661312	-0.73627216
1187619211452353	0.109131135	-0.17542405	-0.73569125
1187619219753134	0.109377146	-0.17424315	-0.73510426
1187619228053916	0.1092968	-0.173216	-0.73518586
1187619236354697	0.109272316	-0.17241104	-0.7351457
1187619244655478	0.109696254	-0.1718611	-0.73431516
1187619252956259	0.11044153	-0.17181486	-0.7337071
1187619261257041	0.1115647	-0.17223518	-0.7326134
1187619269557822	0.11239824	-0.1727886	-0.73166245
1187619277858603	0.112580575	-0.17322433	-0.731071
1187619286159384	0.11206046	-0.1732226	-0.73082393
1187619294460166	0.11138902	-0.17265272	-0.73051715
1187619302760947	0.1110786	-0.17180102	-0.7306264
1187619311061728	0.11153041	-0.17087543	-0.730425
1187619319362509	0.113043524	-0.17024712	-0.73001164
1187619327663291	0.11495117	-0.16991115	-0.7292746
1187619335964072	0.11659726	-0.16981813	-0.7286072
1187619344264853	0.11763829	-0.16990782	-0.7278489
1187619352565634	0.118190475	-0.17013963	-0.72684044
1187619360866416	0.11835873	-0.17047955	-0.72615415
1187619369167197	0.118337885	-0.1708205	-0.7255036
1187619377467978	0.11865786	-0.17124964	-0.72428584
1187619385768759	0.11884835	-0.17181686	-0.7231788
1187619394069541	0.11880912	-0.17223771	-0.7217887
