gyroscope_timestamp	gyroscope_x_data	gyroscope_y_data	gyroscope_z_data
722321325179138	-0.5885773	-0.631073	1.1063538
722321330214539	-0.56781006	-0.62734985	1.0866394
722321335249939	-0.4958954	-0.61190796	1.0296478
722321340315857	-0.38511658	-0.57089233	0.9486847
722321345381775	-0.26474	-0.51283264	0.8650665
722321350478210	-0.13531494	-0.438797	0.77931213
722321355544128	0.0037078857	-0.3572998	0.6951599
722321360610046	0.13952637	-0.28433228	0.61898804
722321365675964	0.26416016	-0.22947693	0.555603
722321370741882	0.36802673	-0.20018005	0.49967957
722321375807800	0.4351349	-0.19006348	0.442688
722321380873718	0.45803833	-0.199646	0.3814392
722321385939636	0.45059204	-0.2118988	0.3223114
722321391005554	0.43247986	-0.21348572	0.2711792
722321396071472	0.4239502	-0.20443726	0.23069763
722321401137390	0.4276886	-0.20018005	0.18914795
722321406203308	0.44366455	-0.20922852	0.14440918
722321411269226	0.46817017	-0.23106384	0.09220886
722321416365662	0.4985199	-0.24971008	0.036819458
722321421431580	0.54859924	-0.2587738	-0.016448975
722321426497498	0.6172943	-0.24172974	-0.06970215
722321431563416	0.69932556	-0.19059753	-0.12882996
722321436629333	0.78933716	-0.09791565	-0.20072937
722321441695251	0.8905487	0.019805908	-0.2998047
722321446761169	1.0071869	0.15242004	-0.41697693
722321451827087	1.1296997	0.29463196	-0.5341644
722321456893005	1.2548676	0.4469757	-0.6444092
722321461989441	1.3672485	0.6046295	-0.7488098
722321467055359	1.470581	0.740448	-0.86865234
722321472121277	1.5621948	0.83366394	-1.0071411
722321477187195	1.6420898	0.8757324	-1.165863
722321482253113	1.723053	0.8784027	-1.3512115
722321487319031	1.7906952	0.84591675	-1.5557556
722321492384949	1.8423615	0.7750702	-1.7677307
722321497481384	1.9163971	0.68452454	-1.9823914
722321502547302	2.0293121	0.5961151	-2.1885223
722321507643738	2.1917572	0.5247345	-2.3765411
722321512709656	2.4048157	0.4943695	-2.5432434
722321517775574	2.619995	0.51727295	-2.6838684
722321522841492	2.793106	0.578537	-2.7722778
722321527907410	2.8676758	0.6253967	-2.7957153
722321532973328	2.8197327	0.63072205	-2.7477875
722321538039246	2.6871033	0.58439636	-2.6188812
722321543105164	2.4953613	0.4746704	-2.4143524
722321548171082	2.26474	0.34629822	-2.183197
722321553236999	2.0234528	0.28079224	-1.979187
722321558302917	1.8013458	0.25735474	-1.8348541
722321563368835	1.6197205	0.24137878	-1.7533569
722321568465271	1.4492798	0.30369568	-1.7624054
722321573531189	1.2974701	0.4144745	-1.8684082
722321578597107	1.1888123	0.4943695	-2.0617523
722321583663025	1.137146	0.5002289	-2.3259277
722321588728943	1.1456757	0.40489197	-2.6194153
722321593794861	1.2021332	0.22166443	-2.885727
722321598860779	1.2623138	0.011810303	-3.0577698
722321603926697	1.2905426	-0.18792725	-3.1009216
722321608992615	1.3017273	-0.35464478	-2.9752197
722321614089050	1.3161163	-0.4675598	-2.7552338
722321619154968	1.3283691	-0.48088074	-2.6204834
722321624220886	1.3395538	-0.3019104	-2.598648
722321629286804	1.3289032	0.02885437	-2.598114
722321634352722	1.2868195	0.3447113	-2.5230103
722321639418640	1.2202454	0.61421204	-2.3557587
722321644515076	1.1440735	0.93006897	-2.1746674
722321649580994	1.07164	1.2150269	-1.9962311
722321654646912	1.0231628	1.4147644	-1.8114166
722321659712830	0.9763031	1.582016	-1.657486
722321664778748	0.9155731	1.7204895	-1.5573425
722321669844666	0.8175659	1.8435364	-1.4689331
722321674910583	0.6503296	1.8435364	-1.4247284
722321680007019	0.29452515	1.6304779	-1.6079407
722321685072937	0.17788696	1.8589783	-1.4913025
722321690138855	0.22421265	2.0086517	-1.212738
722321695204773	0.13580322	1.8446045	-1.1674652
722321700270691	0.031936646	1.791336	-1.1594696
722321705336609	-0.04689026	1.7987976	-1.1227264
722321710402527	-0.12892151	1.8147736	-1.0790405
722321715468445	-0.22158813	1.8547211	-1.0300446
722321720564880	-0.31001282	1.9095764	-0.99009705
722321725630798	-0.37286377	1.9703064	-0.95014954
722321730696716	-0.41174316	2.027298	-0.89634705
722321735762634	-0.44422913	2.0746918	-0.8414917
722321740828552	-0.47512817	2.109848	-0.7930145
722321745894470	-0.49642944	2.1274261	-0.7354889
722321750960388	-0.5028229	2.1109161	-0.6534729
722321756056824	-0.50442505	2.0549927	-0.56292725
722321761122742	-0.5049591	1.950058	-0.47077942
722321766188660	-0.4969635	1.7961273	-0.36958313
