linearaccelerometer_timestamp	linearaccelerometer_x_data	linearaccelerometer_y_data	linearaccelerometer_z_data
254416418964386	0.36025727	-0.8696699	0.92541313
254416427265167	-0.80091643	-0.26089096	-0.51252365
254416435565948	-1.4214311	-0.24695253	-1.9671259
254416443866729	-1.240569	-0.5398283	-2.6872005
254416452167511	-0.73191226	-0.7345433	-2.641099
254416460468292	-0.5963882	-0.57867336	-2.272645
254416468769073	-0.463884	-0.45111084	-1.5804977
254416477069854	-0.98272455	-0.43508244	-1.34554
254416485370636	-1.5343952	-0.5829563	-1.3128004
254416493671417	-1.8992748	-0.768518	-1.2363043
254416501972198	-2.038128	-0.84557533	-1.2143717
254416510272979	-2.0558264	-0.7343092	-1.5298786
254416518573761	-2.1667397	-0.5934305	-1.724205
254416526874542	-2.0542579	-0.5728278	-1.699606
254416535175323	-1.8325131	-0.5766301	-1.5825958
254416543476104	-1.574735	-0.6168685	-1.4190073
254416551776886	-1.3506197	-0.6765199	-1.2585793
254416560077667	-1.3169144	-0.6755934	-1.2391434
254416568378448	-1.0734026	-0.68507004	-1.0418291
254416576679229	-1.0930275	-0.64000845	-1.0802412
254416584980011	-1.2341818	-0.5234771	-1.0635948
254416593280792	-1.3837157	-0.4415226	-0.95454025
254416601581573	-1.352034	-0.44794416	-0.937644
254416609882354	-1.4715306	-0.43862057	-0.91085625
254416618183136	-1.7808471	-0.32861948	-1.7255316
254416626483917	-1.783377	-0.1910243	-1.8189344
254416634784698	-1.6952643	-0.1474886	-1.6224613
254416643085479	-1.5572577	-0.18204403	-1.2273407
254416651386261	-1.5126834	-0.17975378	-1.2156668
254416659687042	-1.3680166	-0.29760647	-0.7930479
254416667987823	-1.1183094	-0.31005907	-1.0163374
254416676288604	-0.8061268	-0.32401562	-1.3022175
254416684589386	-0.6289647	-0.29385233	-1.329093
254416692890167	-0.5718214	-0.26642466	-1.1838675
254416701190948	-0.614847	-0.26901674	-0.9945049
254416709491729	-0.6130885	-0.26717854	-0.9824867
254416717792511	-0.88494515	-0.24431849	-0.60647774
254416726093292	-0.88025016	-0.24012089	-0.5163746
254416734394073	-0.9122213	-0.22997189	-0.44855785
254416742694854	-0.9038188	-0.23197222	-0.50813866
254416750995636	-0.8853225	-0.22675467	-0.5052023
254416759296417	-0.7683082	-0.22768593	-0.7120857
254416767597198	-0.5269169	-0.06820965	-0.9438505
254416775897979	-0.26788193	-0.17190504	-1.110035
254416784198761	-0.23075932	-0.21237612	-1.302783
254416792499542	-0.22782123	-0.21243954	-1.2887335
254416800800323	-0.3658306	-0.1933837	-1.2820635
254416809101104	-0.8269487	-0.23180056	-0.7242718
254416817401886	-0.8732152	-0.25066233	-0.6348314
254416825702667	-0.88441116	-0.25297165	-0.7099285
254416834003448	-0.81226826	-0.2607422	-0.680562
254416842304229	-0.69912696	-0.22618484	-0.43348122
254416850605011	-0.6068094	-0.14465237	-0.018975258
254416858905792	-0.5787149	-0.091959	0.3331318
254416867206573	-0.5949469	0.0039277077	0.08495712
254416875507354	-0.53521615	0.10573864	-0.86608505
254416883808136	-0.60296696	-0.043780327	-1.9364548
254416892108917	-0.6473132	-0.2748294	-2.72713
254416900409698	-0.663814	-0.37834024	-2.867467
254416908710479	-0.66730225	-0.39925337	-2.828004
254416917011261	-1.0555453	-0.14031076	0.061250687
254416925312042	-0.93519884	-0.27876282	1.4089546
254416933612823	-0.84302837	-0.4724326	1.6055145
254416941913604	-0.87715524	-0.554759	1.0295973
254416950214386	-0.8581259	-0.53404427	1.0110655
254416958515167	-1.0189805	-0.43681288	0.18045807
254416966815948	-1.0722663	-0.08243132	-1.2422609
254416975116729	-0.83149636	-0.12937737	-2.1921759
254416983417511	-0.3171057	-0.13181257	-3.8372784
254416991718292	-0.31589556	-0.15351105	-3.7933798
254417000019073	0.24613374	-0.052592278	-4.0508213
254417008319854	0.1357472	0.079216	-0.13155746
254417016620636	0.17066413	-0.22733498	0.09421158
254417024921417	0.15804595	-0.19938564	0.07897091
254417033222198	0.15805429	-0.30213737	-0.1287651
254417041522979	0.10753214	-0.23196983	0.07500839
254417049823761	0.11801243	-0.20316648	0.058327675
254417058124542	0.065145135	-0.1361723	0.25336075
254417066425323	-0.04103589	-0.11429596	-0.2434454
254417074726104	-0.029790342	-0.1039958	-0.24760437
254417083026886	0.14816105	-0.07503271	-0.96591187
254417091327667	0.4563815	-0.05450201	-1.78302
254417099628448	0.4768018	0.039934635	-2.232605
254417107929229	0.32317317	0.04317856	-1.4079361
254417116230011	0.3230641	0.042934418	-1.3980494
254417124530792	0.2436049	-0.043868065	-0.74198055
254417132831573	0.019239962	-0.07407284	-0.5842962
254417141132354	-0.119190216	-0.1215229	-0.69767666
254417149433136	-0.20443135	-0.1251626	-0.97621727
254417157733917	-0.31611538	-0.06482363	-1.2914715
254417166034698	-0.2826187	-0.045284748	-1.294673
254417174335479	-0.3808274	-0.21811962	-1.3221788
254417182636261	-0.3827924	-0.23179293	-0.92034245
254417190937042	-0.28972977	-0.20764399	-0.44386482
254417199237823	-0.33556926	-0.1939869	-0.07555008
254417207538604	-0.6100185	-0.27362585	-0.09762478
254417215839386	-0.56487334	-0.23654413	-0.116475105
254417224140167	-0.4149536	-0.12218714	-0.38116264
254417232440948	-0.52154	-0.026238441	-0.5534363
254417240741729	-0.63325226	-0.02106905	-0.6293564
254417249042511	-0.57677877	-0.098175526	-0.509511
254417257343292	-0.34624532	-0.09530687	0.16662121
254417265644073	-0.29970804	-0.07270193	0.15472221
254417273944854	-0.6312932	0.09395838	0.017529488
254417282245636	-0.7800491	0.1137166	0.03682232
254417290546417	-0.7687813	0.07083607	0.124147415
254417298847198	-0.6651727	0.045382977	0.14801216
254417307147979	-0.5236083	0.0663991	0.020567894
254417315448761	-0.28091338	0.014844418	-0.16607666
254417323749542	-0.053256065	0.06604338	-0.24743938
254417332050323	0.15954885	0.14290524	-0.2774849
254417340351104	0.30628353	0.20917702	-0.291543
254417348651886	0.3275218	0.23748922	-0.31555557
254417356952667	0.36171514	0.23698425	-0.31194878
254417365253448	0.012016356	0.17197132	-0.4375038
254417373554229	-0.07952261	0.15408516	-0.5269451
254417381855011	-0.19512802	0.13924694	-0.5809145
254417390155792	-0.3781147	0.08210516	-0.5732546
254417398456573	-0.56272334	-4.310608E-4	-0.47991467
254417406757354	-0.65348536	-0.05912733	-0.29836273
254417415058136	-0.693954	-0.08132267	-0.08730888
254417423358917	-0.66766596	-0.08607435	0.014071465
254417431659698	-0.5431129	-0.0228858	-0.029082298
254417439960479	-0.34694898	0.03208399	-0.17898655
254417448261261	-0.18424547	0.023891449	-0.37378788
254417456562042	-0.1696316	-0.04792738	-0.54910946
254417464862823	-0.28587532	-0.07783556	-0.6581869
254417473163604	-0.2661519	-0.10281229	-0.6009836
254417481464386	-0.45726132	-0.20583344	-0.33396626
254417489765167	-0.52544236	-0.26578903	-0.17894077
254417498065948	-0.39221072	-0.23681116	-0.20728302
254417506366729	-0.3622384	-0.24395943	-0.19771385
254417514667511	-0.10047591	-0.16565084	-0.4424839
254417522968292	-0.18062079	-0.30857897	-0.5596123
254417531269073	-0.28649247	-0.45045567	-0.51484776
254417539569854	-0.3287276	-0.5251789	-0.3960085
254417547870636	-0.30299878	-0.533916	-0.384099
254417556171417	-0.12728107	-0.52520037	-0.37714863
254417564472198	0.34414124	-0.27248335	-0.70885277
254417572772979	0.24866903	-0.14102173	-0.89418125
254417581073761	0.15388453	-0.17139435	-0.99310493
254417589374542	-0.022219896	-0.30690956	-1.0182085
254417597675323	-0.25895357	-0.4550686	-0.9776068
254417605976104	-0.3944552	-0.54622126	-0.88380146
254417614276886	0.08382702	-0.5921607	-0.95701885
254417622577667	2.42269	-0.7212553	0.3466177
254417630878448	3.5922666	-0.59044886	3.036251
254417639179229	3.2944279	-0.03381443	3.8441381
254417647480011	2.005355	0.5768285	2.2162123
254417655780792	2.0379007	0.57052183	2.21601
254417664081573	0.10144997	0.015508652	-0.97171783
254417672382354	0.20113611	-0.23882723	-1.6227779
254417680683136	0.7335398	-0.15877008	-1.338685
254417688983917	1.4125841	0.2137394	-0.9447775
254417697284698	1.4519064	0.16492844	-0.90264225
254417705585479	1.8423691	0.6053262	-1.0031796
254417713886261	0.21754098	-0.5366564	-2.400322
254417722187042	0.13287854	-0.41986513	-2.5987701
254417730487823	0.61773443	0.19587183	-2.7155523
254417738788604	1.4220152	0.39375496	-2.9569902
254417747089386	1.4456747	0.36040354	-2.916131
254417755390167	2.2007592	-0.11245251	-3.0022306
254417763690948	1.8127863	0.0036478043	-1.7427492
254417771991729	0.67135835	0.7480097	-1.0908766
254417780292511	-2.2354233	1.1923103	0.229146
254417788593292	-2.1100647	1.212347	0.24899292
254417796894073	-3.120037	0.47432947	0.8996773
254417805194854	-2.9638171	0.49681997	0.9308586
254417813495636	-3.4915717	3.254179	0.83205414
254417821796417	-3.3735886	3.2224426	0.8789282
254417830097198	-0.05718088	3.626442	1.3041945
254417838397979	2.9965374	3.8093987	0.79854965
254417846698761	4.9039574	3.8134098	-0.15868807
254417854999542	5.536414	3.598198	-1.1839566
254417863300323	4.9092035	3.4919887	-2.0786967
254417871601104	3.9678771	3.1670942	-2.4772549
254417879901886	3.2877169	2.7318883	-2.527614
254417888202667	3.0817454	2.1941152	-2.4886732
254417896503448	3.1528394	1.8527703	-2.4747248
254417904804229	3.5253015	1.7052035	-2.4791327
254417913105011	4.4474587	1.3357787	-2.3885374
254417921405792	3.9946628	-0.328331	-1.4640641
254417929706573	4.0328197	-0.420228	-1.3286529
254417938007354	3.6851954	-0.8303685	-1.1865177
254417946308136	3.4929214	-0.84737825	-0.8799567
254417954608917	3.1310015	-0.9695244	-0.022930145
254417962909698	0.87746644	-1.0251479	0.47448015
254417971210479	0.96256065	-1.035531	0.54570484
254417979511261	-1.335902	-0.632905	1.2106414
254417987812042	-3.0350537	-0.3344512	1.2461624
254417996112823	-3.1758618	-0.40852118	0.92473793
254418004413604	-1.6612353	-0.80820656	0.6264329
254418012714386	2.0913472	-1.408226	0.0994277
254418021015167	2.0141687	-1.5197034	0.209239
254418029315948	2.812909	-2.1119256	-0.16415834
254418037616729	2.4113393	-2.3564053	-0.27432203
254418045917511	1.1455793	-2.2365737	-0.36719894
254418054218292	-0.5700445	-1.9316645	-0.6775727
254418062519073	-2.3289397	-1.7302284	-1.089489
254418070819854	-3.5694315	-1.5945044	-0.8110018
254418079120636	-4.117853	-1.3628206	-0.4979291
254418087421417	-4.0777054	-1.244668	-0.020475388
254418095722198	-3.838765	-1.2645473	0.42273808
254418104022979	-3.664855	-1.4313507	0.61428356
254418112323761	-3.6274114	-1.4430208	0.6640763
254418120624542	-3.5818725	-1.9881773	0.10914326
254418128925323	-3.7909212	-1.842061	-0.035641193
254418137226104	-3.7776413	-1.5458374	-0.116220474
254418145526886	-3.5672455	-1.2148676	-0.30671978
254418153827667	-3.2586522	-0.9537296	-0.6256776
254418162128448	-2.8038049	-0.8600998	-0.84791327
254418170429229	-2.3987885	-0.87204075	-1.1452754
254418178730011	-2.1787076	-0.8210058	-1.4150934
254418187030792	-2.106432	-0.64413357	-1.5292888
254418195331573	-2.099307	-0.405303	-1.4876924
254418203632354	-2.0724607	-0.16703415	-1.3273091
254418211933136	-2.0545378	-0.18987656	-1.2562616
254418220233917	-1.9063511	0.17082024	-1.0595527
254418228534698	-1.8103676	0.09697819	-1.1937721
254418236835479	-1.7464619	0.09740543	-1.2752485
254418245136261	-1.6793246	0.17672634	-1.2299571
254418253437042	-1.6634178	0.16563797	-1.1862133
254418261737823	-1.600306	0.27092648	-1.036485
254418270038604	-1.720398	0.28114223	-0.99224114
254418278339386	-1.6065731	0.12239456	-0.92567277
254418286640167	-1.5168853	-0.036632538	-0.72322345
254418294940948	-1.4272261	-0.18766594	-0.4909606
254418303241729	-1.2549429	-0.33835602	-0.34854388
254418311542511	-0.93073654	-0.47052383	-0.3434906
254418319843292	-0.48945045	-0.6722021	-0.3667345
254418328144073	-0.13994837	-0.85387135	-0.509135
254418336444854	0.081982136	-1.0494614	-0.60690546
254418344745636	0.22496796	-1.2073107	-0.61620283
254418353046417	0.37847042	-1.267787	-0.55507183
254418361347198	0.6240096	-1.2490921	-0.45893693
254418369647979	0.90571976	-1.1239948	-0.5353515
254418377948761	1.1036386	-0.97254467	-0.64023614
254418386249542	1.1580315	-0.80056477	-0.5786669
254418394550323	1.0578299	-0.64789295	-0.5012851
254418402851104	0.86039543	-0.55420685	-0.55665827
254418411151886	0.7394061	-0.5469122	-0.5500221
254418419452667	0.7616315	-0.4291458	-0.47776294
254418427753448	0.76496077	-0.45028496	-0.49932122
254418436054229	0.88095045	-0.5192661	-0.41578984
254418444355011	1.0538497	-0.59989357	-0.37363887
254418452655792	1.0454378	-0.6015463	-0.3694024
254418460956573	1.1472011	-0.72283745	-0.60670877
254418469257354	0.99520636	-0.656065	-0.39269257
254418477558136	0.6938338	-0.50772476	-0.20888758
254418485858917	0.37460804	-0.33525658	-0.026377678
254418494159698	0.12485647	-0.20640278	0.1612165
254418502460479	-0.02250719	-0.17200947	0.34061027
254418510761261	-0.114470005	-0.21108913	0.48337698
254418519062042	-0.11541653	-0.22604561	0.5978725
254418527362823	-0.12250662	-0.22169495	0.59995246
254418535663604	-0.25042725	-0.16300583	0.5818927
254418543964386	-0.24526215	-0.16292858	0.58724356
254418552265167	-0.84653664	0.15691853	0.607749
254418560565948	-0.93845606	0.3192196	0.60633516
254418568866729	-0.8621931	0.47611713	0.41876554
254418577167511	-0.86084986	0.46344566	0.44533324
254418585468292	-0.6403432	0.5767069	0.29114032
254418593769073	-0.37956953	0.5724869	0.14971876
254418602069854	-0.12534523	0.5000057	0.032790422
254418610370636	0.31838942	0.4115858	-0.10042405
254418618671417	0.29606628	0.3856411	-0.06087756
254418626972198	0.30712175	0.31133938	-0.065662146
254418635272979	0.25384235	0.28416824	-0.10536361
254418643573761	0.27782965	0.2761345	-0.1330061
254418651874542	0.40599012	0.23252869	-0.18424201
254418660175323	0.56967306	0.10826397	-0.30131006
254418668476104	0.6958895	-0.05001259	-0.24576807
254418676776886	0.541172	-0.2617283	-0.16889858
254418685077667	0.5440512	-0.26663494	-0.1427927
254418693378448	0.4202056	-0.3326912	-0.03550291
254418701679229	0.3723855	-0.3581314	0.111664295
254418709980011	0.5649762	-0.50550556	0.29508662
254418718280792	0.5982356	-0.48303127	0.17952633
254418726581573	0.6045332	-0.48901844	0.21815419
254418734882354	0.61333275	-0.46139526	-0.028361082
254418743183136	0.57966757	-0.4152851	-0.38110542
254418751483917	0.54016685	-0.36315918	-0.682044
254418759784698	0.6873026	-0.31470776	-0.8280251
254418768085479	0.67943907	-0.33172894	-0.7680795
254418776386261	1.0002017	-0.35525608	-0.8475244
254418784687042	1.4280338	-0.4216032	-0.8768847
254418792987823	1.6990876	-0.50866604	-0.8527086
254418801288604	1.7044883	-0.5987673	-0.78652096
254418809589386	1.4691272	-0.6910324	-0.6653967
254418817890167	1.1159787	-0.8078003	-0.39167154
254418826190948	0.7138524	-0.8670378	-0.13177216
254418834491729	0.38299084	-0.9165144	0.18749607
254418842792511	-0.01979208	-0.8839874	0.39555204
254418851093292	-0.52606726	-0.71105385	0.46952856
254418859394073	-1.0067406	-0.4119959	0.53868425
254418867694854	-1.172874	-0.25793934	0.5925329
254418875995636	-0.92362833	-0.33852196	0.4217931
254418884296417	-0.43698215	-0.47216225	0.28099728
254418892597198	0.051892757	-0.57966423	0.15461671
254418900897979	0.4562106	-0.64474106	0.0913316
254418909198761	0.9767933	-0.60915756	0.20237339
254418917499542	0.9385624	-0.629426	0.22710359
254418925800323	0.5867858	-0.40919685	0.27795446
254418934101104	0.045603752	-0.19644642	0.34621096
254418942401886	-0.3204131	-0.06272316	0.3776611
254418950702667	-0.3235135	-0.019869804	0.36928165
254418959003448	-0.35373878	-0.0390625	0.39673078
254418967304229	0.45376253	-0.092391014	0.4591719
254418975605011	0.48889065	-0.18984318	0.4040724
254418983905792	0.33117533	-0.669775	1.8040274
254418992206573	0.2956431	-0.6865053	1.819796
254419000507354	-0.30837154	-1.2065821	2.1873827
254419008808136	-1.0107796	-1.4237404	1.0044614
254419017108917	-0.30235076	-0.5017071	1.094522
254419025409698	0.1532557	-0.5570841	1.4249798
254419033710479	0.15324283	-0.5594082	1.4485723
254419042011261	0.16730833	-1.0685444	0.926373
254419050312042	0.16279721	-1.0714817	0.9527168
254419058612823	0.22161317	-1.1362867	1.2382976
254419066913604	0.88666344	0.032439232	0.5902835
254419075214386	0.6235094	0.47085285	-0.34972405
254419083515167	0.62196183	0.46269608	-0.29220092
254419091815948	0.11060023	0.78599644	-1.0582641
