"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.17997088","0.12194038","-0.20303036"
"5","null","null","null","-0.17752749","0.12499462","-0.2024195"
"7","-0.05277419","-0.53129005","0.05575764","null","null","null"
"9","null","null","null","-0.17691664","0.12377293","-0.2036412"
"10","null","null","null","-0.17264071","0.1182753","-0.2024195"
"11","-0.18261862","-0.01864338","-0.0044209957","null","null","null"
"12","null","null","null","-0.16958646","0.10972344","-0.20547375"
"13","null","null","null","-0.163478","0.101782426","-0.2073063"
"14","-0.2985978","0.42193127","-0.067754865","null","null","null"
"15","null","null","null","-0.15859123","0.09017633","-0.21158221"
"19","null","null","null","-0.15370443","0.079181075","-0.2152473"
"21","-0.41052222","0.71616364","-0.09622753","null","null","null"
"21","null","null","null","-0.14454173","0.07062922","-0.21952324"
"22","null","null","null","-0.13354649","0.06207735","-0.22318831"
"24","-0.4899559","0.877079","-0.077414274","null","null","null"
"25","null","null","null","-0.12560546","0.05780142","-0.22624256"
"29","-0.54769063","0.9010687","-0.008321643","null","null","null"
"31","null","null","null","-0.11644276","0.052914646","-0.2280751"
"33","null","null","null","-0.10605835","0.050471254","-0.22990763"
"34","-0.5754738","0.861701","0.042741776","null","null","null"
"35","null","null","null","-0.094452254","0.050471254","-0.23235102"
"37","null","null","null","-0.0846787","0.051692948","-0.23418356"
"37","-0.56279826","0.7701874","0.06628132","null","null","null"
"38","null","null","null","-0.0742943","0.05596888","-0.23601611"
"40","null","null","null","-0.063299045","0.06696413","-0.23907034"
"41","-0.4731686","0.6542263","0.06102681","null","null","null"
"42","null","null","null","-0.052303795","0.07795938","-0.24273543"
"44","null","null","null","-0.04253024","0.09261972","-0.2500656"
"49","null","null","null","-0.032145835","0.11399937","-0.25556323"
"50","-0.34300423","0.55071926","0.06385052","null","null","null"
"51","null","null","null","-0.025426516","0.13476817","-0.26350424"
"52","-0.17745829","0.4797182","0.01893282","null","null","null"
"53","null","null","null","-0.020539738","0.15859123","-0.2732778"
"53","null","null","null","-0.013820419","0.18363595","-0.2824405"
"57","null","null","null","-0.01137703","0.20990239","-0.2916032"
"57","-0.029128313","0.38157654","-0.07090485","null","null","null"
"58","null","null","null","-0.01137703","0.23677967","-0.30137676"
"61","null","null","null","-0.016874656","0.2606027","-0.31176117"
"61","0.020191193","0.31950378","-0.19174922","null","null","null"
"63","null","null","null","-0.02725906","0.2862583","-0.3184805"
"67","null","null","null","-0.037643462","0.3094705","-0.32458895"
"68","-0.0011842251","0.27917004","-0.43752706","null","null","null"
"68","null","null","null","-0.054747187","0.32962844","-0.3343625"
"71","-0.0393641","0.24740982","-0.65695786","null","null","null"
"72","null","null","null","-0.07062922","0.34734303","-0.340471"
"73","null","null","null","-0.08956548","0.36444676","-0.3459686"
"77","null","null","null","-0.10972344","0.37788537","-0.35390964"
"77","-0.07631445","0.23969936","-0.84863937","null","null","null"
"78","null","null","null","-0.13293563","0.38888064","-0.3636832"
"81","null","null","null","-0.15675868","0.39559996","-0.3740676"
"81","-0.032896996","0.16199875","-0.97543764","null","null","null"
"83","null","null","null","-0.1830251","0.40048674","-0.3832303"
"87","null","null","null","-0.21112408","0.40415183","-0.39239302"
"88","0.054521322","0.026809692","-1.1098018","null","null","null"
"89","null","null","null","-0.24044475","0.4053735","-0.40033403"
"92","null","null","null","-0.27037627","0.40231928","-0.40827504"
"93","0.09894037","-0.14988232","-1.1918954","null","null","null"
"94","null","null","null","-0.30091864","0.4029301","-0.41560522"
"97","null","null","null","-0.33085015","0.39987588","-0.42171368"
"97","0.1114645","-0.30833054","-1.2006252","null","null","null"
"98","null","null","null","-0.35955995","0.39926505","-0.42537877"
"101","0.04984522","-0.42961597","-1.1460978","null","null","null"
"101","null","null","null","-0.39437827","0.40170842","-0.43026555"
"102","null","null","null","-0.43652672","0.43469417","-0.44675842"
"112","null","null","null","-0.49272466","0.49394637","-0.46813807"
"113","0.040130377","-0.4869442","-1.0205982","null","null","null"
"115","null","null","null","-0.54831177","0.5666372","-0.47791162"
"116","-0.175879","-0.4116974","-0.62483156","null","null","null"
"116","null","null","null","-0.587406","0.63810635","-0.4736357"
"116","null","null","null","-0.61794835","0.70468867","-0.4620296"
