"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.1565296","0.08406785","-0.13751699"
"2","null","null","null","0.15714046","0.08773294","-0.14240377"
"3","1.0175123","-0.19728184","-0.21639264","null","null","null"
"5","null","null","null","0.1565296","0.088954635","-0.14606886"
"8","null","null","null","0.15530792","0.0846787","-0.14851224"
"8","0.8390032","-0.12338638","-0.12198305","null","null","null"
"10","null","null","null","0.15347537","0.07857023","-0.14790139"
"12","0.63209325","-0.073513985","-0.17464674","null","null","null"
"13","null","null","null","0.15408622","0.07185091","-0.14606886"
"15","null","null","null","0.15591876","0.06452074","-0.145458"
"18","null","null","null","0.15836215","0.056579728","-0.145458"
"18","0.43395692","-0.07989025","-0.25968397","null","null","null"
"20","null","null","null","0.16263808","0.049860407","-0.14423631"
"22","null","null","null","0.16874656","0.04314109","-0.14301461"
"22","0.30197582","-0.120900154","-0.1836273","null","null","null"
"24","null","null","null","0.17790927","0.034589227","-0.14057122"
"27","null","null","null","0.18829367","0.0290916","-0.13690615"
"27","0.26730457","-0.18450928","-0.055891693","null","null","null"
"29","null","null","null","0.19623469","0.022372281","-0.1338519"
"32","null","null","null","0.2041757","0.015042114","-0.12896512"
"32","0.21515313","-0.26709843","0.07205868","null","null","null"
"34","null","null","null","0.21150586","0.013209572","-0.12407835"
"37","null","null","null","0.21639264","0.005879405","-0.11735903"
"37","0.213836","-0.351923","0.119092405","null","null","null"
"40","null","null","null","0.22005773","0.001603474","-0.110639706"
"42","null","null","null","0.2249445","-0.00633754","-0.10330954"
"42","0.24192388","-0.41748428","0.166852","null","null","null"
"45","null","null","null","0.22677705","-0.014278554","-0.09536853"
"47","null","null","null","0.23166382","-0.020997874","-0.08742751"
"47","0.26840037","-0.49609375","0.14728653","null","null","null"
"50","null","null","null","0.23410721","-0.028328042","-0.07704311"
"52","0.28622174","-0.59132576","0.18246382","null","null","null"
"52","null","null","null","0.23593976","-0.03749075","-0.06910209"
"54","null","null","null","0.23899399","-0.04909685","-0.05932854"
"57","null","null","null","0.24143738","-0.059481252","-0.047111593"
"57","0.29430333","-0.67566204","0.21855497","null","null","null"
"59","null","null","null","0.24326992","-0.071698196","-0.037948888"
"61","null","null","null","0.24326992","-0.086969376","-0.027564483"
"62","0.2795472","-0.7288017","0.21859354","null","null","null"
"64","null","null","null","0.24326992","-0.09918632","-0.018401774"
"66","null","null","null","0.24143738","-0.11323581","-0.0098499125"
"67","0.2753754","-0.72569466","0.11826342","null","null","null"
"70","null","null","null","0.23960483","-0.12972869","-0.0012980504"
"71","null","null","null","0.2365506","-0.14316733","0.0066429637"
"71","0.24463542","-0.67001057","-0.025963843","null","null","null"
"74","null","null","null","0.23227467","-0.15660596","0.013362284"
"76","null","null","null","0.22677705","-0.17187715","0.020081604"
"76","0.22308207","-0.5702028","-0.18632454","null","null","null"
"79","null","null","null","0.21761434","-0.18470494","0.026190076"
"81","null","null","null","0.20967332","-0.19997612","0.030466007"
"81","0.20819539","-0.45743752","-0.41266716","null","null","null"
"86","null","null","null","0.2005106","-0.21585815","0.03657448"
"86","null","null","null","0.18890451","-0.23479441","0.042682953"
"88","0.2071421","-0.3699999","-0.6820391","null","null","null"
"89","null","null","null","0.17852011","-0.25373068","0.050013117"
"91","0.22010201","-0.29590893","-0.96438545","null","null","null"
"91","null","null","null","0.1681357","-0.2732778","0.059175827"
"94","null","null","null","0.15408622","-0.29465744","0.06589515"
"96","null","null","null","0.13514996","-0.31176117","0.06956023"
"97","0.20632367","-0.24115181","-1.1768405","null","null","null"
"100","null","null","null","0.114992","-0.32825404","0.07261447"
"102","0.35683265","-0.2224884","-1.3703516","null","null","null"
"102","null","null","null","0.09361234","-0.34657946","0.077501245"
"103","null","null","null","0.069178455","-0.36185065","0.08116633"
"106","null","null","null","0.044133715","-0.3832303","0.086663954"
"107","0.5244471","-0.20522404","-1.4704635","null","null","null"
"110","null","null","null","0.019699825","-0.40460995","0.090329036"
"111","0.707874","-0.14992523","-1.4699167","null","null","null"
"111","null","null","null","-0.010231691","-0.420492","0.09093989"
"114","null","null","null","-0.0413849","-0.43148723","0.09093989"
"125","null","null","null","-0.07375981","-0.44736925","0.087274805"
"126","0.9819689","-0.05787468","-1.327695","null","null","null"
"126","null","null","null","-0.106745556","-0.4675272","0.083609715"
"126","null","null","null","-0.13789877","-0.48707435","0.07505786"
"126","1.2434582","0.07803631","-1.2255774","null","null","null"
"126","null","null","null","-0.16660859","-0.5096757","0.066506"
"126","null","null","null","-0.19531842","-0.5328879","0.05245651"
"126","1.4620149","0.25537968","-1.0107789","null","null","null"
"129","null","null","null","-0.21914145","-0.5573218","0.035352785"
"131","1.6023414","0.4119606","-0.7484481","null","null","null"
"131","null","null","null","-0.24113196","-0.57870144","0.014583978"
"133","null","null","null","-0.25884652","-0.6031353","-0.007406523"
"136","null","null","null","-0.2753394","-0.62451494","-0.031840414"
"136","1.6150389","0.55382156","-0.43445218","null","null","null"
"139","null","null","null","-0.2893889","-0.64528376","-0.056274302"
"142","null","null","null","-0.30404922","-0.6678851","-0.0794865"
"142","1.5192183","0.5722122","-0.21146655","null","null","null"
"143","null","null","null","-0.31993124","-0.68804306","-0.104531236"
"146","null","null","null","-0.3321482","-0.70697933","-0.1259109"
"146","1.3401699","0.41706467","-0.09971893","null","null","null"
"149","null","null","null","-0.34558684","-0.72408307","-0.14729054"
"152","null","null","null","-0.35719293","-0.73935425","-0.16561596"
"154","1.1643513","0.11251736","-0.015557528","null","null","null"
"154","null","null","null","-0.36879903","-0.74607354","-0.1827197"
"155","null","null","null","-0.37551835","-0.75096035","-0.19799086"
"156","0.988461","-0.29221535","0.14364058","null","null","null"
"159","null","null","null","-0.38223767","-0.7491278","-0.21081866"
"161","null","null","null","-0.38407022","-0.7387434","-0.2230356"
"161","0.7876501","-0.73719025","0.43709975","null","null","null"
"163","null","null","null","-0.38345936","-0.72408307","-0.23647425"
"166","null","null","null","-0.37918344","-0.70453596","-0.24869119"
"166","0.6407893","-1.1314402","0.8580406","null","null","null"
"169","null","null","null","-0.37429667","-0.6819346","-0.26090813"
"170","null","null","null","-0.36635566","-0.66422004","-0.27251422"
"171","0.47967026","-1.4032555","1.3532684","null","null","null"
"173","null","null","null","-0.35352784","-0.6471163","-0.2835095"
"175","null","null","null","-0.34070006","-0.6355102","-0.29328305"
"175","0.3212051","-1.4941473","1.7750444","null","null","null"
"178","null","null","null","-0.32603973","-0.6251258","-0.30366746"
"180","null","null","null","-0.3113794","-0.62146074","-0.31283015"
"180","0.09857564","-1.4413748","2.089754","null","null","null"
"183","null","null","null","-0.29610822","-0.6232933","-0.32199287"
"185","null","null","null","-0.27717194","-0.63062346","-0.32993388"
"186","-0.14728168","-1.3096552","2.2985537","null","null","null"
"197","null","null","null","-0.25701398","-0.63612103","-0.3403183"
"197","-0.39483944","-1.1516542","2.4239576","null","null","null"
"197","null","null","null","-0.23746687","-0.64589465","-0.349481"
"198","null","null","null","-0.21242213","-0.656279","-0.357422"
"198","-0.70127547","-1.0187683","2.596006","null","null","null"
"198","null","null","null","-0.1873774","-0.6709394","-0.3635305"
"198","null","null","null","-0.15988927","-0.68376714","-0.36963895"
"200","null","null","null","-0.1293469","-0.6941516","-0.37513658"
"201","-1.0603651","-0.946785","2.633743","null","null","null"
"204","null","null","null","-0.09941539","-0.7057577","-0.37757996"
"205","null","null","null","-0.06704049","-0.71492034","-0.37819082"
"205","-1.450234","-0.9499378","2.619531","null","null","null"
"207","null","null","null","-0.035276428","-0.7216397","-0.37757996"
"210","-1.8801981","-1.0352821","2.4863315","null","null","null"
"210","null","null","null","-0.0022906773","-0.7222505","-0.37757996"
"212","null","null","null","0.028862532","-0.7216397","-0.37208232"
"215","null","null","null","0.06062659","-0.7210288","-0.36597386"
"215","-2.30803","-1.2230339","2.2869267","null","null","null"
"220","null","null","null","0.090558104","-0.71186614","-0.3586437"
"221","null","null","null","0.11560284","-0.69231904","-0.34398335"
"221","-2.738186","-1.5250397","1.9606506","null","null","null"
"224","null","null","null","0.13637166","-0.67582613","-0.32443625"
"229","null","null","null","0.15103199","-0.6593333","-0.30122405"
"230","-3.2056043","-1.8754644","1.6531501","null","null","null"
"232","null","null","null","0.16080554","-0.63612103","-0.27251422"
"232","null","null","null","0.16324893","-0.6184065","-0.2358634"
"232","-3.6531162","-2.2229214","1.0761257","null","null","null"
"233","null","null","null","0.1577513","-0.6080221","-0.19921257"
"238","null","null","null","0.14614521","-0.5976377","-0.1570641"
"239","-4.0248265","-2.487421","0.42138094","null","null","null"
"239","null","null","null","0.12843063","-0.5854207","-0.11552649"
"239","null","null","null","0.10155336","-0.57137126","-0.07154548"
"240","-4.233137","-2.5544062","-0.33481854","null","null","null"
"242","null","null","null","0.072232686","-0.5530458","-0.025121093"
"244","null","null","null","0.039857782","-0.5304445","0.01885991"
"246","-4.223022","-2.4110708","-0.8302522","null","null","null"
