"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.641695","0.85762954","-0.58503896"
"0","0.7545037","-0.95759964","0.6472857","null","null","null"
"0","null","null","null","-0.6490252","0.8722899","-0.57221115"
"5","null","null","null","-0.6533011","0.8845068","-0.5520532"
"6","1.0730175","-0.62044907","0.9039882","null","null","null"
"6","null","null","null","-0.6563554","0.8875611","-0.528841"
"8","null","null","null","-0.65879875","0.88511765","-0.5001312"
"8","1.2144672","-0.4096384","0.852977","null","null","null"
"10","null","null","null","-0.6600205","0.8765658","-0.46836713"
"13","1.2444232","-0.2725048","0.56275225","null","null","null"
"13","null","null","null","-0.6575771","0.86190546","-0.4378248"
"14","null","null","null","-0.65452284","0.8368607","-0.40422818"
"19","null","null","null","-0.64413846","0.79959905","-0.37124243"
"19","1.2599357","-0.2065363","0.3649373","null","null","null"
"19","null","null","null","-0.6300889","0.76050484","-0.33947837"
"25","null","null","null","-0.61298525","0.72935164","-0.30954686"
"26","1.312693","-0.2282362","0.17272091","null","null","null"
"26","null","null","null","-0.5879405","0.7030852","-0.27839363"
"28","null","null","null","-0.56045234","0.68659234","-0.24540788"
"28","1.3582394","-0.36365795","0.2705443","null","null","null"
"29","null","null","null","-0.5250232","0.67804044","-0.21303298"
"33","null","null","null","-0.48653984","0.67132115","-0.17882554"
"34","1.2897927","-0.61136436","0.78239936","null","null","null"
"35","null","null","null","-0.43339613","0.6688777","-0.14706148"
"38","1.2664372","-0.866889","1.4420707","null","null","null"
"38","null","null","null","-0.35459682","0.671932","-0.115908265"
"38","null","null","null","-0.2544179","0.68720317","-0.084755056"
"41","1.4015052","-0.861845","3.3029606","null","null","null"
"42","null","null","null","-0.14935215","0.70613945","-0.051769305"
"44","null","null","null","-0.04734066","0.70980453","-0.020616096"
"48","null","null","null","0.048562355","0.70247436","0.010537115"
"48","1.5586066","-0.64551353","5.15516","null","null","null"
"50","null","null","null","0.14018944","0.6737645","0.039857782"
"52","null","null","null","0.2287623","0.6267293","0.075897776"
"53","1.8433918","-0.34501743","5.484833","null","null","null"
"54","null","null","null","0.3051182","0.5778615","0.10827268"
"59","2.0072582","0.14208317","5.550644","null","null","null"
"59","null","null","null","0.35642937","0.5155551","0.13820419"
"59","null","null","null","0.37536564","0.4471402","0.16630317"
"63","null","null","null","0.3594836","0.3671192","0.18951537"
"63","2.1957662","0.6462927","4.3972077","null","null","null"
"64","null","null","null","0.31733516","0.2907633","0.2121167"
"67","null","null","null","0.25686127","0.2211267","0.23716144"
"68","2.6305323","1.144083","2.017101","null","null","null"
"68","null","null","null","0.18294875","0.1575986","0.26587126"
"71","3.0367088","1.7161512","0.26713014","null","null","null"
"72","null","null","null","0.102316916","0.10262234","0.3025221"
"75","null","null","null","0.019241689","0.058641337","0.34528142"
"77","null","null","null","-0.054059982","0.028098974","0.38804072"
"78","3.16554","2.3991394","-0.10779607","null","null","null"
"79","null","null","null","-0.118198946","0.00671932","0.4301892"
"82","3.2143776","3.3104057","0.62255037","null","null","null"
"83","null","null","null","-0.15851486","-0.01099525","0.46500748"
"85","null","null","null","-0.18050537","-0.042759307","0.4845546"
"87","null","null","null","-0.18172707","-0.09651387","0.49066305"
"87","3.3539014","4.4781523","1.8742961","null","null","null"
"89","null","null","null","-0.16645588","-0.17164809","0.47478104"
"91","null","null","null","-0.14629792","-0.26205346","0.4393519"
"91","3.7634945","5.732238","2.9533231","null","null","null"
"94","null","null","null","-0.11514471","-0.35123718","0.38804072"
"97","null","null","null","-0.070552856","-0.42278266","0.33123192"
"97","4.3109093","6.8414745","3.4573393","null","null","null"
"99","null","null","null","0.009468133","-0.46187687","0.27747735"
"106","null","null","null","0.14568707","-0.4753155","0.24082653"
"107","4.379741","7.918007","4.326417","null","null","null"
"107","null","null","null","0.34482327","-0.47042874","0.22555535"
"107","3.6369338","9.478249","7.442308","null","null","null"
"107","null","null","null","0.6142069","-0.4753155","0.23105298"
"109","null","null","null","0.9226848","-0.4246152","0.25304347"
"112","null","null","null","1.1450332","-0.40254834","0.2896943"
"112","2.3116565","12.0984535","12.662643","null","null","null"
"114","null","null","null","1.3240114","-0.6628456","0.326956"
"116","0.59498215","15.35377","13.67718","null","null","null"
"116","null","null","null","1.4553436","-0.9982008","0.34711397"
"119","null","null","null","1.5396405","-1.3042352","0.33734038"
"121","-0.294518","18.596066","8.572913","null","null","null"
"122","null","null","null","1.565907","-1.5473524","0.2817533"
"124","null","null","null","1.5109307","-1.7116704","0.17363334"
"128","null","null","null","1.3741009","-1.7929131","1.5271181E-4"
"128","-1.3934274","20.77398","3.5605595","null","null","null"
"129","null","null","null","1.1670237","-1.7941347","-0.22219568"
"131","-1.61608","20.22402","-2.8253417","null","null","null"
"131","null","null","null","0.92512816","-1.7000643","-0.47264308"
"134","null","null","null","0.67895675","-1.5100908","-0.7340857"
"138","null","null","null","0.47371206","-1.2675844","-0.96865106"
"138","-2.0131078","17.237713","-6.6968346","null","null","null"
"138","null","null","null","0.31367007","-1.0391276","-1.1483165"
"142","null","null","null","0.229984","-0.87542045","-1.26621"
"142","-3.8267608","13.133467","-5.710346","null","null","null"
"143","null","null","null","0.21043688","-0.7489751","-1.3248514"
"147","null","null","null","0.22326468","-0.6316924","-1.3242404"
"147","-6.46354","8.479479","-2.1334648","null","null","null"
"148","null","null","null","0.24892026","-0.4826457","-1.277816"
"151","-7.6856937","3.8205414","1.8477657","null","null","null"
"151","null","null","null","0.2751867","-0.30298024","-1.1929083"
"153","null","null","null","0.2776301","-0.09651387","-1.0737932"
"159","-8.282047","-0.26902008","4.1255846","null","null","null"
"159","null","null","null","0.25014195","0.120947756","-0.93138933"
"159","null","null","null","0.17989452","0.34512872","-0.7713474"
"161","null","null","null","0.06383354","0.56930965","-0.6192464"
"161","-8.741313","-3.1883688","2.9423242","null","null","null"
"163","null","null","null","-0.08460235","0.7831062","-0.5092939"
"166","null","null","null","-0.25014195","0.9730797","-0.4445441"
"166","-8.255991","-4.4206266","-0.80065644","null","null","null"
"167","null","null","null","-0.41812494","1.1221265","-0.41033664"
"172","null","null","null","-0.56839335","1.2161969","-0.39750886"
"172","-5.1803656","-3.3916922","-4.395183","null","null","null"
"173","null","null","null","-0.6923954","1.2442958","-0.39262208"
"175","null","null","null","-0.7895201","1.2186403","-0.38956785"
"180","-3.231083","-2.386578","-6.2179346","null","null","null"
"180","null","null","null","-0.86160004","1.1545013","-0.3877353"
"180","-2.5924265","-1.6648831","-6.236235","null","null","null"
"180","null","null","null","-0.91482013","1.072037","-0.38712445"
"181","null","null","null","-0.95513606","0.98346406","-0.37979427"
"185","-2.2394674","-0.8802519","-5.4039354","null","null","null"
"185","null","null","null","-0.98201334","0.8985563","-0.36269057"
"189","null","null","null","-0.99361944","0.82403296","-0.33153734"
"189","null","null","null","-0.9905652","0.7702784","-0.29244313"
"189","-2.2828496","0.18486977","-4.1054244","null","null","null"
"192","null","null","null","-0.9679638","0.7330167","-0.24785128"
"196","null","null","null","-0.9337564","0.7122479","-0.20387027"
"196","-2.5457585","1.5507002","-2.1785865","null","null","null"
"197","null","null","null","-0.89336413","0.6920899","-0.15927842"
"200","null","null","null","-0.85365903","0.6694886","-0.11712996"
"200","-2.3085508","3.0114727","-0.20329571","null","null","null"
"203","null","null","null","-0.8206733","0.6426113","-0.08047912"
"205","-2.0182588","4.204837","0.71851444","null","null","null"
"205","null","null","null","-0.79990447","0.61084723","-0.049325917"
"207","null","null","null","-0.79257435","0.5790832","-0.027946262"
"210","null","null","null","-0.79440683","0.5467083","-0.018172706"
"210","-1.7380235","5.1538067","0.46515608","null","null","null"
"212","null","null","null","-0.8054021","0.51372254","-0.017561859"
"217","-1.3763447","5.8277607","-0.18531168","null","null","null"
"217","null","null","null","-0.821895","0.4770717","-0.024281178"
"217","null","null","null","-0.8365553","0.4355341","-0.038330667"
"226","-1.1364136","6.0933867","-0.6829914","null","null","null"
"226","null","null","null","-0.84693974","0.38972056","-0.054212693"
"226","-1.0212665","5.897686","-0.6862234","null","null","null"
"226","null","null","null","-0.8475506","0.343907","-0.071927264"
"226","null","null","null","-0.83960956","0.29626092","-0.0865876"
"227","null","null","null","-0.82250583","0.25533417","-0.100637086"
"230","null","null","null","-0.79685026","0.21868332","-0.11468657"
"230","-1.0250711","5.191225","-0.0767355","null","null","null"
"232","null","null","null","-0.76569706","0.18936265","-0.12751436"
"236","-0.87655735","4.2354193","0.73374236","null","null","null"
"236","null","null","null","-0.7327113","0.1643179","-0.140953"
"237","null","null","null","-0.6997255","0.14843589","-0.15683503"
"241","null","null","null","-0.6691832","0.13927318","-0.17271706"
"241","-0.5878844","3.2757196","1.3449345","null","null","null"
"248","null","null","null","-0.64291674","0.13438639","-0.19104248"
"248","-0.3181057","2.4244757","1.5355713","null","null","null"
"248","null","null","null","-0.62459135","0.13744064","-0.21303298"
"248","null","null","null","-0.6087093","0.14171657","-0.23502348"
"249","-0.1708777","1.683898","1.421365","null","null","null"
"250","null","null","null","-0.5989357","0.14721419","-0.2625116"
"257","null","null","null","-0.5891622","0.15576605","-0.2936648"
"258","-0.022223234","0.99058056","1.2413343","null","null","null"
"258","null","null","null","-0.58366454","0.1643179","-0.32909396"
"258","null","null","null","-0.57694525","0.16737215","-0.3633014"
"259","null","null","null","-0.5702259","0.17164809","-0.39506546"
"260","0.10662246","0.260808","1.1530888","null","null","null"
"263","null","null","null","-0.56167406","0.175924","-0.42744038"
"265","-0.001073122","-0.62499714","1.173315","null","null","null"
"265","null","null","null","-0.55800897","0.18142164","-0.4512634"
"267","null","null","null","-0.56106323","0.19363858","-0.4732539"
"270","null","null","null","-0.5647283","0.21257484","-0.4873034"
"270","-0.28739786","-1.6454268","1.1984534","null","null","null"
"272","null","null","null","-0.5745019","0.24189551","-0.49280104"
"275","-0.60660696","-2.7122474","1.1230104","null","null","null"
"275","null","null","null","-0.5879405","0.28221142","-0.49219018"
"277","null","null","null","-0.59771407","0.32741413","-0.48241663"
"280","null","null","null","-0.6062659","0.37689275","-0.46714544"
"280","-0.9506211","-3.733695","1.2450542","null","null","null"
"282","null","null","null","-0.6166503","0.4343124","-0.44759834"
"285","null","null","null","-0.6184828","0.4966188","-0.42316443"
"285","-1.160321","-4.633542","1.508693","null","null","null"
"286","null","null","null","-0.6166503","0.5619795","-0.3932329"
"290","null","null","null","-0.6111527","0.61695576","-0.35719293"
"291","-1.2356527","-5.3786154","1.9123714","null","null","null"
"291","null","null","null","-0.5983249","0.64444387","-0.3126011"
"296","null","null","null","-0.5854971","0.6694886","-0.26434416"
"297","-1.1932299","-6.0123906","2.2241697","null","null","null"
"297","null","null","null","-0.5677825","0.6994201","-0.21547636"
"299","-0.9916997","-6.5637803","2.1779392","null","null","null"
"299","null","null","null","-0.5506788","0.72874075","-0.16966283"
"305","null","null","null","-0.5354076","0.7507313","-0.12995775"
"305","null","null","null","-0.52624494","0.7635591","-0.093917765"
"306","-0.4654975","-6.8402643","2.2890444","null","null","null"
"306","null","null","null","-0.52257985","0.76966757","-0.06398625"
"310","0.29994416","-6.9460754","2.0526943","null","null","null"
"311","null","null","null","-0.5238015","0.7824953","-0.038941514"
"312","null","null","null","-0.5427378","0.8362499","-0.029778805"
"314","null","null","null","-0.56411743","0.89672375","-0.024892027"
"315","1.1382709","-6.896722","1.7577623","null","null","null"
"316","null","null","null","-0.5781669","0.91810346","-0.0071774554"
"319","null","null","null","-0.5854971","0.8985563","0.019088976"
"319","1.8579316","-6.654236","1.6739995","null","null","null"
"321","null","null","null","-0.5842754","0.863738","0.052685577"
"325","2.0218391","-6.639889","1.1832188","null","null","null"
"325","null","null","null","-0.5751127","0.83197397","0.08506048"
"325","null","null","null","-0.56167406","0.80692923","0.11132691"
"334","null","null","null","-0.54151607","0.7794411","0.13270657"
"335","null","null","null","-0.51524967","0.7464554","0.14919944"
"335","2.3245146","-6.4777555","1.3368604","null","null","null"
"335","null","null","null","-0.4883724","0.71041536","0.158973"
"335","2.817001","-6.161696","1.8528466","null","null","null"
"337","null","null","null","-0.45783","0.66643435","0.16569231"
"340","3.2906735","-5.8112206","2.2061167","null","null","null"
"341","null","null","null","-0.42362258","0.6151232","0.17363334"
"341","null","null","null","-0.39002597","0.56808794","0.18279605"
"345","null","null","null","-0.353986","0.52166355","0.1913479"
"345","3.2899919","-5.51484","2.3146496","null","null","null"
"347","null","null","null","-0.31977853","0.47401747","0.19989976"
"348","3.1801481","-5.2007627","2.1561122","null","null","null"
"349","null","null","null","-0.2843494","0.42698222","0.20967332"
"351","null","null","null","-0.24892026","0.379947","0.21822518"
"354","3.0198817","-4.873794","1.8145267","null","null","null"
"354","null","null","null","-0.2159345","0.33169007","0.22555535"
"356","null","null","null","-0.18294875","0.2858765","0.23044212"
"360","null","null","null","-0.1487413","0.24006297","0.23288552"
"360","2.862166","-4.515954","1.429891","null","null","null"
"361","null","null","null","-0.11514471","0.19180603","0.23532891"
"367","null","null","null","-0.0827698","0.14415996","0.23471805"
"367","2.6869736","-4.0769987","1.1947486","null","null","null"
"367","null","null","null","-0.04795151","0.09529217","0.23349637"
"368","2.4730618","-3.6167474","1.0742527","null","null","null"
"368","null","null","null","-0.015576605","0.048256934","0.23166382"
"371","null","null","null","0.014354911","0.00671932","0.22983128"
"372","null","null","null","0.044897273","-0.030542362","0.22799873"
"372","2.1344068","-3.1878405","1.0669525","null","null","null"
"375","null","null","null","0.07910472","-0.060473878","0.22738789"
"380","1.7451341","-2.8165312","1.1577244","null","null","null"
"381","null","null","null","0.1163664","-0.08674031","0.22555535"
"383","null","null","null","0.15362808","-0.108119965","0.22311196"
"383","null","null","null","0.19027892","-0.13133216","0.22189027"
"383","1.3077111","-2.4955273","1.2739708","null","null","null"
"385","null","null","null","0.2275406","-0.15210097","0.22005773"
"387","null","null","null","0.2635806","-0.17042638","0.21639264"
"387","0.8771851","-2.167377","1.194513","null","null","null"
"389","null","null","null","0.3014531","-0.18936265","0.2133384"
"392","null","null","null","0.33504972","-0.20402299","0.20906247"
"392","0.45604992","-1.8487911","0.8717944","null","null","null"
"395","null","null","null","0.36681378","-0.2223484","0.20295401"
"399","0.014580488","-1.5146403","0.3439409","null","null","null"
"399","null","null","null","0.39491275","-0.23945212","0.19745637"
"400","null","null","null","0.41568157","-0.2583884","0.1937913"
"402","null","null","null","0.42728767","-0.27671382","0.19012621"
"403","-0.46403623","-1.211688","-0.36232936","null","null","null"
"405","null","null","null","0.43095273","-0.2932067","0.18707198"
"408","null","null","null","0.42117918","-0.30175856","0.18401773"
"408","-0.93323827","-0.992671","-1.1072736","null","null","null"
"409","null","null","null","0.4010212","-0.3035911","0.18035266"
"411","null","null","null","0.36925718","-0.299926","0.17790927"
"412","-1.3238039","-0.8971491","-1.6953802","null","null","null"
"415","null","null","null","0.32771957","-0.29015246","0.17485502"
"418","null","null","null","0.27579755","-0.27671382","0.17424418"
"418","-1.6121161","-0.9658413","-2.0400524","null","null","null"
"421","null","null","null","0.22021043","-0.2583884","0.17302248"
"424","-1.8367114","-1.2106581","-2.1318572","null","null","null"
"424","null","null","null","0.16401249","-0.23823044","0.16996825"
"425","null","null","null","0.11331217","-0.20890976","0.1693574"
"428","null","null","null","0.070552856","-0.1783674","0.16996825"
"429","-1.9870718","-1.5404973","-1.9190584","null","null","null"
"430","null","null","null","0.035734564","-0.14049487","0.17118995"
"433","-2.1437016","-1.8403778","-1.4110634","null","null","null"
"433","null","null","null","0.015576605","-0.1007898","0.17424418"
"435","null","null","null","0.00335966","-0.06352811","0.17852011"
"439","null","null","null","-0.0021379655","-0.030542362","0.18585028"
"439","-2.2662466","-2.062388","-0.8729709","null","null","null"
"439","null","null","null","-3.0542363E-4","-0.004886778","0.19440214"
"442","-2.3514435","-2.203003","-0.588398","null","null","null"
"442","null","null","null","0.0027488125","0.02015796","0.2053974"
"446","null","null","null","0.008857286","0.040926766","0.21883602"
"449","null","null","null","0.011911522","0.061695572","0.22922044"
"449","-2.374478","-2.2886524","-0.5531723","null","null","null"
"449","null","null","null","0.010689827","0.083075225","0.23899399"
"455","-2.2717965","-2.244073","-0.6455343","null","null","null"
"455","null","null","null","0.0076355906","0.10262234","0.24632415"
"455","null","null","null","-3.0542363E-4","0.12644538","0.25304347"
"458","-2.0480943","-2.1076746","-0.74385774","null","null","null"
"458","null","null","null","-0.0070247436","0.15210097","0.25731942"
"461","null","null","null","-0.011300675","0.1783674","0.2597628"
"462","null","null","null","-0.009468133","0.20341213","0.2622062"
"462","-1.861047","-1.8531666","-0.64456517","null","null","null"
"466","null","null","null","0.0027488125","0.22906773","0.2622062"
"468","null","null","null","0.025961008","0.24678229","0.26281703"
"468","-1.7331195","-1.4649582","-0.10382807","null","null","null"
"471","null","null","null","0.05650337","0.26022094","0.26159534"
"472","-1.6005745","-0.89994526","0.6437949","null","null","null"
"472","null","null","null","0.09681929","0.27427042","0.25731942"
"475","null","null","null","0.14202198","0.2858765","0.24998924"
"478","null","null","null","0.18844637","0.29931515","0.23838314"
"478","-1.3779736","-0.19395638","1.364872","null","null","null"
"478","null","null","null","0.2275406","0.30786702","0.22005773"
"485","null","null","null","0.25808296","0.31214294","0.19867808"
"485","-1.0358064","0.55614567","1.7587638","null","null","null"
"485","null","null","null","0.2751867","0.3103104","0.17180079"
"487","null","null","null","0.28007346","0.30420193","0.14186928"
"488","-0.5996306","1.1960526","1.5738688","null","null","null"
"488","null","null","null","0.273965","0.29687178","0.10949437"
"492","null","null","null","0.26480228","0.29259583","0.074676074"
"493","-0.28056574","1.5321293","1.047957","null","null","null"
"494","null","null","null","0.26113722","0.29626092","0.03802524"
"497","-0.0423429","1.600709","1.10831","null","null","null"
"497","null","null","null","0.26480228","0.30847788","7.635591E-4"
"499","null","null","null","0.2776301","0.32741413","-0.035887275"
"502","null","null","null","0.29778802","0.35123718","-0.071927264"
"502","0.29315257","1.6198816","1.8180724","null","null","null"
"504","null","null","null","0.32771957","0.38300124","-0.10735641"
"506","0.70523953","1.6161594","2.5946712","null","null","null"
"506","null","null","null","0.36009446","0.41354358","-0.1421747"
"509","null","null","null","0.39124766","0.43858832","-0.17516045"
"512","null","null","null","0.42179003","0.46302223","-0.20692451"
"512","1.1171148","1.5991383","2.9516506","null","null","null"
"513","null","null","null","0.44255883","0.48256934","-0.23807772"
"518","null","null","null","0.45660833","0.4966188","-0.27228516"
"518","1.4450539","1.479064","2.6541958","null","null","null"
"523","null","null","null","0.4602734","0.50639236","-0.30404922"
"523","1.6127825","1.2977371","1.9774352","null","null","null"
"524","null","null","null","0.45294324","0.5088358","-0.33642414"
"524","null","null","null","0.43461782","0.5076141","-0.36818817"
"527","1.6947192","1.0466337","1.2078555","null","null","null"
"527","null","null","null","0.4083514","0.5002839","-0.40117395"
"528","null","null","null","0.37597647","0.4947863","-0.432938"
"532","null","null","null","0.34543413","0.4923429","-0.46470204"
"533","1.7710888","0.772315","0.58104837","null","null","null"
"534","null","null","null","0.3203894","0.4923429","-0.49585527"
"536","1.8823209","0.62907314","0.5123817","null","null","null"
"537","null","null","null","0.30328566","0.49845135","-0.52273256"
"538","null","null","null","0.29290125","0.50578153","-0.5477773"
"541","null","null","null","0.2935121","0.51066834","-0.56915694"
"542","1.9703925","0.6311531","1.0002491","null","null","null"
"543","null","null","null","0.3008423","0.51799846","-0.5862607"
"546","null","null","null","0.317946","0.519831","-0.60702944"
"546","2.019313","0.81674004","1.6378458","null","null","null"
"548","null","null","null","0.34665582","0.5234961","-0.6253549"
"551","null","null","null","0.38452834","0.52166355","-0.6491779"
"551","2.0866487","1.2743616","2.1624944","null","null","null"
"552","null","null","null","0.43095273","0.5161659","-0.6723901"
"557","null","null","null","0.47982052","0.503949","-0.6998783"
"557","2.3007786","2.1020498","2.6187344","null","null","null"
