"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.02037549","-0.07064438","0.061808348","null","null","null"
"5","null","null","null","-0.00503949","-0.029626092","-0.011453386"
"7","null","null","null","-0.00503949","-0.030847786","-0.01267508"
"8","0.022871733","-0.071287155","0.057080984","null","null","null"
"10","null","null","null","-0.0056503373","-0.028404398","-0.010231691"
"11","null","null","null","-0.0062611843","-0.02779355","-0.010231691"
"12","0.020640373","-0.073096275","0.07140684","null","null","null"
"13","null","null","null","-0.0062611843","-0.027182704","-0.012064233"
"14","null","null","null","-0.0056503373","-0.027182704","-0.011453386"
"15","null","null","null","-0.0062611843","-0.022906773","-0.012064233"
"16","0.026740313","-0.08558464","0.07370448","null","null","null"
"17","null","null","null","-0.0056503373","-0.022295926","-0.010842538"
"18","0.04359126","-0.057596207","0.056941986","null","null","null"
"20","null","null","null","-0.0062611843","-0.018019995","-0.010231691"
"21","null","null","null","-0.006872032","-0.018019995","-0.010842538"
"23","null","null","null","-0.00503949","-0.014354911","-0.010842538"
"24","0.065086365","-0.04171276","0.053337812","null","null","null"
"27","null","null","null","-0.0056503373","-0.011911522","-0.010842538"
"29","0.08531928","-0.03426838","0.05444956","null","null","null"
"29","null","null","null","-0.0056503373","-0.010689827","-0.009009997"
"32","null","null","null","-0.0056503373","-0.008246438","-0.009620844"
"33","0.10069966","-0.016187668","0.053180218","null","null","null"
"34","null","null","null","-0.007482879","-0.006413896","-0.009620844"
"36","null","null","null","-0.0062611843","-0.003970507","-0.009009997"
"37","0.10416341","-0.008943558","0.045915842","null","null","null"
"38","null","null","null","-0.0056503373","-0.0021379655","-0.009009997"
"41","null","null","null","-0.0062611843","-3.0542363E-4","-0.009620844"
"42","null","null","null","-0.006872032","0.0015271181","-0.008399149"
"43","0.11832857","-0.0041246414","0.03870344","null","null","null"
"45","null","null","null","-0.0062611843","0.0027488125","-0.009620844"
"47","null","null","null","-0.0056503373","0.0051922016","-0.009009997"
"48","0.12290859","0.0030155182","0.042173624","null","null","null"
"50","null","null","null","-0.006872032","0.005803049","-0.0077883024"
"52","null","null","null","-0.007482879","0.003970507","-0.008399149"
"53","0.12514281","0.007750511","0.015984535","null","null","null"
"54","null","null","null","-0.008093726","0.005803049","-0.009009997"
"57","0.1308999","0.011260033","0.024460077","null","null","null"
"58","null","null","null","-0.007482879","0.0051922016","-0.008399149"
"60","null","null","null","-0.0062611843","0.005803049","-0.008399149"
"62","null","null","null","-0.006872032","0.0051922016","-0.009009997"
"62","0.12829971","0.01947403","0.0055072308","null","null","null"
"64","null","null","null","-0.006872032","0.005803049","-0.009620844"
"68","0.10786152","0.02286911","-0.0061285496","null","null","null"
"68","null","null","null","-0.007482879","0.00335966","-0.009620844"
"71","null","null","null","-0.006872032","0.00335966","-0.012064233"
"72","null","null","null","-0.006872032","0.0021379655","-0.010842538"
"73","0.08748698","0.023838997","-0.0022313595","null","null","null"
"74","null","null","null","-0.006872032","0.0021379655","-0.012064233"
"77","0.08503032","0.028353691","-0.014974833","null","null","null"
"78","null","null","null","-0.0062611843","-0.0015271181","-0.012064233"
"81","null","null","null","-0.0062611843","-0.0027488125","-0.012064233"
"82","0.07424116","0.04468441","-0.0228858","null","null","null"
"82","null","null","null","-0.004428643","-0.00335966","-0.012064233"
"85","null","null","null","-0.0038177953","-0.005803049","-0.01267508"
"89","null","null","null","-0.00503949","-0.005803049","-0.01267508"
"89","0.04567337","0.051363945","-0.030744553","null","null","null"
"92","null","null","null","-0.00503949","-0.0070247436","-0.0132859275"
"92","null","null","null","-0.0062611843","-0.009468133","-0.012064233"
"94","0.062421322","0.056817055","-0.039645433","null","null","null"
"94","null","null","null","-0.0056503373","-0.009468133","-0.013896775"
"99","null","null","null","-0.00503949","-0.01007898","-0.013896775"
"99","0.05521345","0.053897858","-0.048470736","null","null","null"
"99","null","null","null","-0.004428643","-0.013133216","-0.013896775"
"102","0.057533503","0.05456066","-0.039410353","null","null","null"
"103","null","null","null","-0.00503949","-0.013133216","-0.0132859275"
"105","null","null","null","-0.0062611843","-0.016187452","-0.01267508"
"107","0.047948837","0.039815903","-0.042179346","null","null","null"
"107","null","null","null","-0.006872032","-0.016798299","-0.0132859275"
"109","null","null","null","-0.0056503373","-0.018019995","-0.0132859275"
"113","null","null","null","-0.0056503373","-0.019241689","-0.014507622"
"113","0.050245523","0.027546883","-0.022390604","null","null","null"
"116","null","null","null","-0.00503949","-0.019241689","-0.013896775"
"116","0.029949665","0.022499084","-0.013449192","null","null","null"
"117","null","null","null","-0.0056503373","-0.02107423","-0.013896775"
"119","null","null","null","-0.0056503373","-0.022906773","-0.015729317"
"122","null","null","null","-0.0062611843","-0.022295926","-0.016340164"
"122","0.025126696","0.018665314","-0.0033426285","null","null","null"
"125","null","null","null","-0.0062611843","-0.024739314","-0.016340164"
"127","null","null","null","-0.0062611843","-0.024128467","-0.016340164"
"128","0.01793313","-0.011250496","-0.006345749","null","null","null"
"130","null","null","null","-0.0056503373","-0.02351762","-0.018172706"
"132","null","null","null","-0.0062611843","-0.022906773","-0.018783553"
"133","0.0035953522","-0.013640404","0.022701025","null","null","null"
"133","null","null","null","-0.00503949","-0.02107423","-0.017561859"
"138","null","null","null","-0.0056503373","-0.021685077","-0.018172706"
"139","-0.014132738","-0.019573212","0.043150425","null","null","null"
"140","null","null","null","-0.006872032","-0.020463383","-0.021226943"
"142","null","null","null","-0.007482879","-0.017409148","-0.0193944"
"143","-0.023483515","-0.03020668","0.058739662","null","null","null"
"144","null","null","null","-0.006872032","-0.018630842","-0.020005248"
"146","-0.030352354","-0.03123951","0.048112154","null","null","null"
"147","null","null","null","-0.009315421","-0.016798299","-0.020005248"
"149","null","null","null","-0.009926268","-0.014965758","-0.021226943"
"151","null","null","null","-0.011147963","-0.012522369","-0.021226943"
"152","-0.022924185","-0.027497292","0.045954227","null","null","null"
"154","null","null","null","-0.010537115","-0.010689827","-0.020005248"
"157","null","null","null","-0.012980504","-0.009468133","-0.0193944"
"157","-0.0011973381","-0.029689789","0.047393322","null","null","null"
"159","null","null","null","-0.014202199","-0.008246438","-0.021226943"
"162","0.007256508","-0.0069208145","0.039407015","null","null","null"
"163","null","null","null","-0.014202199","-0.006413896","-0.021226943"
"163","null","null","null","-0.015423893","-0.0045813546","-0.020616096"
"167","null","null","null","-0.014813046","-0.00335966","-0.020005248"
