"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","0.030847786","0.016492875","0.16385978"
"6","null","null","null","0.033291176","0.010384403","0.14981028"
"8","null","null","null","0.03451287","0.005497625","0.1369825"
"9","0.5589265","0.72779846","-0.114384174","null","null","null"
"10","0.59244776","0.7432709","-0.03793204","null","null","null"
"12","null","null","null","0.035734564","-0.0036650836","0.122322164"
"13","null","null","null","0.036956258","-0.01099525","0.10888352"
"15","0.60172975","0.7229147","-0.03933704","null","null","null"
"16","null","null","null","0.037567105","-0.017103724","0.09422319"
"18","null","null","null","0.040621344","-0.023212196","0.07895201"
"21","0.5845694","0.68126297","-0.12632346","null","null","null"
"23","null","null","null","0.040621344","-0.029320668","0.066124216"
"23","null","null","null","0.041843038","-0.034818295","0.05451812"
"24","null","null","null","0.046118967","-0.038483378","0.041690327"
"24","0.55684894","0.60901356","-0.090445936","null","null","null"
"25","null","null","null","0.046729814","-0.0452027","0.028862532"
"26","null","null","null","0.04734066","-0.05131117","0.017256435"
"26","0.4913181","0.53253365","-0.0027461052","null","null","null"
"31","null","null","null","0.049173206","-0.05619795","0.004428643"
"32","null","null","null","0.05222744","-0.061695572","-0.004123219"
"33","0.35634792","0.4376173","-0.13671505","null","null","null"
"34","null","null","null","0.048562355","-0.07146913","-0.012064233"
"37","null","null","null","0.046729814","-0.08124269","-0.021226943"
"38","0.20975077","0.30309963","-0.23613489","null","null","null"
"38","null","null","null","0.044897273","-0.0891837","-0.028557109"
"42","null","null","null","0.04123219","-0.09651387","-0.035887275"
"43","0.03269273","0.19105148","-0.23831064","null","null","null"
"44","null","null","null","0.033902023","-0.10262234","-0.040774055"
"47","null","null","null","0.026571855","-0.11178505","-0.043217443"
"48","-0.14460981","0.06454277","-0.41669655","null","null","null"
"49","null","null","null","0.019852536","-0.12216945","-0.04382829"
"52","-0.37163165","-0.10951233","-0.5881339","null","null","null"
"52","null","null","null","0.012522369","-0.12949961","-0.042606596"
"53","null","null","null","0.00335966","-0.13805148","-0.040163208"
"56","-0.5811615","-0.30693436","-0.58273715","null","null","null"
"56","null","null","null","-0.0076355906","-0.1447708","-0.035887275"
"59","null","null","null","-0.018019995","-0.15332267","-0.029778805"
"61","null","null","null","-0.030236939","-0.15943113","-0.020616096"
"62","-0.807408","-0.49425507","-0.67365026","null","null","null"
"64","null","null","null","-0.040621344","-0.16615045","-0.010231691"
"66","null","null","null","-0.051005747","-0.17103723","1.5271181E-4"
"66","-1.0249403","-0.6845999","-0.76038086","null","null","null"
"68","null","null","null","-0.06383354","-0.175924","0.013591352"
"71","-1.1872245","-0.81975174","-0.687396","null","null","null"
"72","null","null","null","-0.074217945","-0.17775655","0.028862532"
"73","null","null","null","-0.08582404","-0.17897825","0.044133715"
"75","-1.315833","-0.9013643","-0.727976","null","null","null"
"75","null","null","null","-0.09498675","-0.17653486","0.06001574"
"77","null","null","null","-0.10414946","-0.17042638","0.075897776"
"80","null","null","null","-0.114533864","-0.16187452","0.09239065"
"80","-1.3990517","-0.9180279","-0.7281871","null","null","null"
"83","null","null","null","-0.12186403","-0.15210097","0.10949437"
"86","null","null","null","-0.13041589","-0.14232741","0.1253764"
"87","-1.3564444","-0.85842705","-0.5306061","null","null","null"
"88","null","null","null","-0.13652436","-0.13133216","0.14125843"
"91","null","null","null","-0.14141114","-0.11850437","0.1565296"
"92","-1.2781582","-0.75884056","-0.52761763","null","null","null"
"93","null","null","null","-0.14385453","-0.108730815","0.17057909"
"96","null","null","null","-0.14690876","-0.09590302","0.18340689"
"97","-1.1242919","-0.5935335","-0.39739484","null","null","null"
"98","null","null","null","-0.14813046","-0.083686076","0.19440214"
"101","null","null","null","-0.14935215","-0.07452337","0.2041757"
"102","-0.93847895","-0.41056728","-0.29308122","null","null","null"
"102","null","null","null","-0.15057385","-0.06536066","0.20967332"
"105","null","null","null","-0.14935215","-0.058641337","0.21517095"
"105","-0.6846576","-0.22674179","-0.2584722","null","null","null"
"108","null","null","null","-0.14935215","-0.048256934","0.2170035"
"110","null","null","null","-0.14568707","-0.047646087","0.21761434"
"111","-0.4005949","-0.051594734","-0.16256928","null","null","null"
"112","null","null","null","-0.14446537","-0.043370154","0.21517095"
"116","-0.12140319","0.09593773","-0.22313416","null","null","null"
"116","null","null","null","-0.14446537","-0.03970507","0.21272756"
"117","null","null","null","-0.14202198","-0.03420745","0.20661908"
"120","null","null","null","-0.1395786","-0.030542362","0.20112146"
"120","0.16096607","0.20301151","-0.17654938","null","null","null"
"122","null","null","null","-0.13408098","-0.026266431","0.19012621"
"126","null","null","null","-0.12858334","-0.018325418","0.18157434"
"126","0.4152423","0.29485703","-0.2507193","null","null","null"
