"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.016798299","0.10323319","0.033138465"
"4","-0.26826483","-0.0055379868","-0.07109356","null","null","null"
"6","null","null","null","-0.016187452","0.10567658","0.035581853"
"7","null","null","null","-0.017409148","0.11056335","0.03436016"
"7","-0.16386113","-0.004340172","0.122526884","null","null","null"
"8","null","null","null","-0.019241689","0.11545013","0.032527618"
"11","-0.058163308","-0.0102882385","0.070121706","null","null","null"
"12","null","null","null","-0.019852536","0.120947756","0.030084228"
"13","null","null","null","-0.018019995","0.12644538","0.03191677"
"14","0.020515487","-0.012620926","0.048952997","null","null","null"
"15","null","null","null","-0.018630842","0.13011047","0.03130592"
"16","null","null","null","-0.019852536","0.1368298","0.030695075"
"19","null","null","null","-0.019852536","0.14232741","0.028862532"
"21","0.106720164","-0.0090065","0.2108357","null","null","null"
"22","null","null","null","-0.013744064","0.14660335","0.027029991"
"25","null","null","null","-0.014354911","0.15087928","0.026419144"
"26","0.17066139","0.0064668655","0.1811555","null","null","null"
"27","null","null","null","-0.014354911","0.15210097","0.024586603"
"29","0.22800058","0.033683777","0.02348578","null","null","null"
"30","null","null","null","-0.012522369","0.15576605","0.023975754"
"31","null","null","null","-0.011300675","0.15698774","0.019699825"
"33","null","null","null","-0.011911522","0.15820944","0.017867282"
"34","0.28340024","0.03693676","0.055783927","null","null","null"
"37","null","null","null","-0.011911522","0.15698774","0.016034741"
"39","0.31089061","0.03659916","0.09493387","null","null","null"
"40","null","null","null","-0.011300675","0.15820944","0.015423893"
"41","null","null","null","-0.011300675","0.1551552","0.013591352"
"44","0.28813767","0.025575638","-0.068029344","null","null","null"
"45","null","null","null","-0.012522369","0.15087928","0.010537115"
"46","null","null","null","-0.014354911","0.15026842","0.007482879"
"48","null","null","null","-0.014965758","0.14843589","0.0062611843"
"49","0.29739136","0.018192291","-0.085867226","null","null","null"
"50","null","null","null","-0.014965758","0.1435491","0.00503949"
"53","0.27681643","0.009677887","-0.025148213","null","null","null"
"54","null","null","null","-0.016798299","0.13988402","0.004428643"
"55","null","null","null","-0.018019995","0.13744064","0.0025961008"
"59","null","null","null","-0.017409148","0.13072132","7.635591E-4"
"59","0.23848897","0.008345604","-0.0859257","null","null","null"
"60","null","null","null","-0.02107423","0.12949961","1.5271181E-4"
"63","null","null","null","-0.02107423","0.12522368","-0.0022906773"
"64","0.20037404","0.011759758","-0.077183664","null","null","null"
"65","null","null","null","-0.021685077","0.12216945","-0.0035123718"
"68","null","null","null","-0.02107423","0.11850437","-0.005955761"
"69","0.16361438","0.04006958","0.06445652","null","null","null"
"71","null","null","null","-0.02107423","0.11545013","-0.0077883024"
"73","0.117504","0.053897858","0.07075244","null","null","null"
"73","null","null","null","-0.020463383","0.10995251","-0.009620844"
"75","null","null","null","-0.019852536","0.10995251","-0.012064233"
"79","null","null","null","-0.016798299","0.108119965","-0.014507622"
"79","0.06445098","0.06524086","0.13030034","null","null","null"
"81","null","null","null","-0.014965758","0.10750912","-0.0151184695"
"84","null","null","null","-0.014354911","0.10689827","-0.016340164"
"85","-0.012010008","0.08718681","0.3138212","null","null","null"
"88","null","null","null","-0.014965758","0.10689827","-0.016340164"
"89","-0.096164905","0.082837105","0.22746259","null","null","null"
"89","null","null","null","-0.011300675","0.10384403","-0.016340164"
"90","null","null","null","-0.008857286","0.10323319","-0.015729317"
"93","null","null","null","-0.008246438","0.10628742","-0.015729317"
"94","-0.1985793","0.07616806","0.18434107","null","null","null"
"96","null","null","null","-0.0070247436","0.10567658","-0.013896775"
"98","null","null","null","-0.003970507","0.10750912","-0.0132859275"
"98","-0.2644329","0.06719303","0.24589545","null","null","null"
"101","null","null","null","-0.0021379655","0.108730815","-0.011453386"
"103","-0.31894445","0.040503502","0.09663534","null","null","null"
"103","null","null","null","-9.162709E-4","0.108730815","-0.010842538"
"105","null","null","null","9.162709E-4","0.11056335","-0.010231691"
"110","-0.345623","0.016421318","0.10041815","null","null","null"
"111","null","null","null","0.0021379655","0.11300674","-0.008399149"
"112","null","null","null","0.00335966","0.114839286","-0.0053449133"
"112","-0.36592448","0.0020484924","-0.009892821","null","null","null"
"113","null","null","null","0.003970507","0.11606098","-0.0035123718"
"115","null","null","null","0.0051922016","0.11606098","-0.0022906773"
"117","-0.35269165","-0.025251389","-0.075463414","null","null","null"
"117","null","null","null","0.006413896","0.11667182","-0.0010689828"
"121","null","null","null","0.0076355906","0.11667182","-4.5813544E-4"
"124","-0.3525277","-0.039258957","-0.107320964","null","null","null"
"125","null","null","null","0.0070247436","0.11728267","0.0013744063"
"125","null","null","null","0.01007898","0.11545013","0.003206948"
"128","-0.34863496","-0.067380905","-0.20434356","null","null","null"
"128","null","null","null","0.010689827","0.11300674","0.004428643"
"129","null","null","null","0.008857286","0.11361759","0.00503949"
"132","null","null","null","0.010689827","0.11056335","0.008093726"
"133","-0.32326972","-0.08458614","-0.19725007","null","null","null"
"135","null","null","null","0.008857286","0.10934166","0.008093726"
"137","null","null","null","0.008857286","0.10750912","0.008704574"
"137","-0.28139722","-0.106396675","-0.2435866","null","null","null"
"139","null","null","null","0.01007898","0.10628742","0.009315421"
"142","null","null","null","0.01007898","0.10445488","0.008704574"
"143","-0.25170514","-0.09834385","-0.20293498","null","null","null"
"144","null","null","null","0.0076355906","0.10445488","0.010537115"
"147","null","null","null","0.005803049","0.10567658","0.009926268"
"147","-0.2281373","-0.10342884","-0.20519608","null","null","null"
"149","null","null","null","0.0051922016","0.10567658","0.008093726"
"155","null","null","null","0.0076355906","0.10689827","0.007482879"
"156","-0.18589376","-0.07879734","-0.18368226","null","null","null"
"156","null","null","null","0.005803049","0.1111742","0.008093726"
"158","null","null","null","0.0051922016","0.114228435","0.0062611843"
"158","-0.17966747","-0.0698061","-0.1599338","null","null","null"
"161","null","null","null","0.0045813546","0.11667182","0.0056503373"
"162","-0.20563826","-0.018162727","-0.14935708","null","null","null"
"162","null","null","null","0.0027488125","0.12033691","0.0056503373"
"164","null","null","null","3.0542363E-4","0.12583454","0.003206948"
"166","null","null","null","0.0015271181","0.13072132","0.0019852535"
"166","-0.19952309","-0.0073213577","-0.08295119","null","null","null"
"169","null","null","null","3.0542363E-4","0.13499725","0.0019852535"
"171","null","null","null","3.0542363E-4","0.14171657","0.0019852535"
"172","-0.20064747","0.011734009","-0.055061877","null","null","null"
"174","null","null","null","3.0542363E-4","0.14538164","0.0019852535"
"177","null","null","null","-3.0542363E-4","0.15149012","0.0013744063"
"177","-0.19350478","0.024695396","-0.021460831","null","null","null"
"179","null","null","null","-0.0015271181","0.15454435","7.635591E-4"
"182","null","null","null","-3.0542363E-4","0.15882029","-0.00167983"
"183","-0.19486275","0.044665337","0.024957001","null","null","null"
"184","null","null","null","-3.0542363E-4","0.1643179","-0.00167983"
"187","null","null","null","9.162709E-4","0.167983","-0.0035123718"
"187","-0.17735237","0.05378914","0.043621957","null","null","null"
"188","null","null","null","9.162709E-4","0.17409147","-0.0047340663"
"192","-0.15539068","0.06283569","0.055003345","null","null","null"
"193","null","null","null","-3.0542363E-4","0.17775655","-0.0053449133"
"194","null","null","null","-3.0542363E-4","0.18386503","-0.009009997"
"196","null","null","null","-0.0015271181","0.18753012","-0.009009997"
"197","-0.13621016","0.071798325","0.07702559","null","null","null"
"198","null","null","null","-0.0027488125","0.19302773","-0.010231691"
"202","null","null","null","-0.0021379655","0.19852535","-0.010842538"
"203","-0.1410392","0.0783062","0.04313779","null","null","null"
"205","null","null","null","-0.0021379655","0.20341213","-0.0132859275"
"206","-0.13296536","0.08594704","0.039188445","null","null","null"
"207","null","null","null","-0.0021379655","0.20768806","-0.014507622"
"212","null","null","null","-0.0021379655","0.2131857","-0.016951011"
"213","-0.107362494","0.09233093","0.04124397","null","null","null"
"213","null","null","null","-0.003970507","0.21807247","-0.018172706"
"214","null","null","null","-0.00335966","0.2235701","-0.0193944"
"217","null","null","null","-0.003970507","0.22967857","-0.02183779"
"217","-0.10589963","0.09984398","0.010065377","null","null","null"
"218","null","null","null","-0.003970507","0.23456535","-0.022448637"
"222","null","null","null","-0.003970507","0.23884128","-0.02611372"
"223","-0.104658835","0.10966587","-0.024407864","null","null","null"
"224","null","null","null","-0.003970507","0.24494976","-0.026724568"
"226","null","null","null","-0.005803049","0.24922568","-0.027946262"
"227","-0.117856935","0.09328556","-0.09773195","null","null","null"
"229","null","null","null","-0.0051922016","0.25289077","-0.029167956"
"232","null","null","null","-0.006413896","0.25533417","-0.030389652"
"232","-0.14177056","0.08534336","-0.19177526","null","null","null"
"234","null","null","null","-0.0070247436","0.25899923","-0.030389652"
"236","null","null","null","-0.0076355906","0.26144263","-0.029778805"
"237","-0.1738341","0.07152748","-0.29327744","null","null","null"
"239","null","null","null","-0.008857286","0.26205346","-0.029778805"
"241","-0.21274771","0.06731701","-0.37485617","null","null","null"
"242","null","null","null","-0.009468133","0.26205346","-0.029778805"
"243","null","null","null","-0.009468133","0.26327518","-0.031000499"
"246","-0.25138783","0.06669712","-0.5043829","null","null","null"
"247","null","null","null","-0.010689827","0.26205346","-0.030389652"
"250","null","null","null","-0.012522369","0.2596101","-0.029167956"
"251","null","null","null","-0.013744064","0.2583884","-0.029778805"
"252","-0.3074456","0.04945278","-0.6030066","null","null","null"
"254","null","null","null","-0.015576605","0.255945","-0.029167956"
"256","null","null","null","-0.016187452","0.25166908","-0.028557109"
"257","-0.3345058","0.085762024","-0.616392","null","null","null"
"259","null","null","null","-0.017409148","0.24678229","-0.028557109"
"260","null","null","null","-0.019852536","0.24189551","-0.028557109"
"261","-0.36604494","0.10157776","-0.6283416","null","null","null"
"264","null","null","null","-0.022906773","0.23578705","-0.028557109"
"267","null","null","null","-0.02535016","0.23090026","-0.028557109"
"268","-0.38541672","0.13623238","-0.60787165","null","null","null"
"272","-0.40464777","0.14565086","-0.5837714","null","null","null"
"272","null","null","null","-0.028404398","0.2247918","-0.029167956"
"273","null","null","null","-0.029626092","0.21929416","-0.030389652"
"273","null","null","null","-0.033902023","0.21623993","-0.031000499"
"279","null","null","null","-0.038177952","0.211964","-0.031611346"
"280","-0.41427115","0.15021133","-0.55122286","null","null","null"
"281","null","null","null","-0.040621344","0.20646638","-0.03283304"
"281","null","null","null","-0.04550812","0.20463383","-0.035887275"
"282","-0.40612528","0.13215065","-0.4984265","null","null","null"
"283","null","null","null","-0.048562355","0.20524468","-0.035887275"
"286","null","null","null","-0.054059982","0.20585553","-0.037108973"
"287","-0.421897","0.09639931","-0.4717937","null","null","null"
"288","null","null","null","-0.057114217","0.20707722","-0.03771982"
"291","null","null","null","-0.060779303","0.21257484","-0.03771982"
"291","-0.43049508","0.073970795","-0.4367147","null","null","null"
"293","null","null","null","-0.06627693","0.21807247","-0.038941514"
"295","null","null","null","-0.06933116","0.2247918","-0.038941514"
"295","-0.43557203","0.024389267","-0.45493227","null","null","null"
"298","null","null","null","-0.0723854","0.23212196","-0.038941514"
"300","null","null","null","-0.07666133","0.24250636","-0.038330667"
"301","-0.45015934","0.0036802292","-0.48099983","null","null","null"
"304","null","null","null","-0.07849387","0.25166908","-0.037108973"
"305","-0.43257636","-0.010940552","-0.50189507","null","null","null"
"306","null","null","null","-0.079715565","0.26205346","-0.036498122"
"307","null","null","null","-0.08154811","0.27304873","-0.034054734"
"311","-0.42459482","-0.012394905","-0.5402777","null","null","null"
"312","null","null","null","-0.083380654","0.28648737","-0.033443887"
"313","null","null","null","-0.08460235","0.2987043","-0.034054734"
"315","null","null","null","-0.08704574","0.30847788","-0.03283304"
"315","-0.38709947","-0.015042305","-0.55801374","null","null","null"
"318","null","null","null","-0.08765658","0.32008398","-0.032222193"
"319","null","null","null","-0.08826743","0.33046836","-0.030389652"
"320","-0.3463568","-0.03667164","-0.5541476","null","null","null"
"323","null","null","null","-0.08826743","0.33963108","-0.031000499"
"325","-0.30601943","-0.028445244","-0.52778417","null","null","null"
"325","null","null","null","-0.08704574","0.34879377","-0.030389652"
"328","null","null","null","-0.08826743","0.35612395","-0.032222193"
"330","null","null","null","-0.086434886","0.36101073","-0.029167956"
"330","-0.24116406","-0.030974388","-0.47198898","null","null","null"
"332","null","null","null","-0.083380654","0.3671192","-0.027946262"
"335","-0.19934857","-0.018032074","-0.37296122","null","null","null"
"335","null","null","null","-0.08215895","0.37139514","-0.028557109"
"337","null","null","null","-0.08215895","0.37567106","-0.028557109"
"340","null","null","null","-0.07849387","0.37811446","-0.029167956"
"340","-0.16745149","-0.0016307831","-0.2736957","null","null","null"
"343","null","null","null","-0.07482879","0.38177955","-0.028557109"
"345","null","null","null","-0.070552856","0.38483378","-0.027946262"
"346","-0.121585906","0.022976875","-0.18037355","null","null","null"
"347","null","null","null","-0.06688777","0.38849884","-0.027335415"
"352","-0.076098815","0.05334568","-0.05733621","null","null","null"
"352","null","null","null","-0.06322269","0.3927748","-0.027335415"
"353","null","null","null","-0.05650337","0.39582902","-0.02611372"
"357","null","null","null","-0.049784053","0.39888325","-0.026724568"
"358","-0.0464157","0.08113861","0.04392302","null","null","null"
"358","null","null","null","-0.044286426","0.40560257","-0.027335415"
"360","null","null","null","-0.03634541","0.40987852","-0.02611372"
"360","7.638633E-4","0.1230011","0.15914994","null","null","null"
"363","null","null","null","-0.030236939","0.41720867","-0.027946262"
"366","null","null","null","-0.024739314","0.423928","-0.027946262"
"367","0.05811861","0.15032578","0.2692333","null","null","null"
"367","null","null","null","-0.018019995","0.4306473","-0.028557109"
"370","null","null","null","-0.010689827","0.4379775","-0.027946262"
"371","0.07100317","0.16442108","0.32196718","null","null","null"
