"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.2384595","-0.18722469","-0.18126893"
"4","0.18178916","-2.0468147","-0.93375874","null","null","null"
"5","null","null","null","-0.25739577","-0.19027892","-0.1757713"
"8","null","null","null","-0.27633202","-0.19333316","-0.16966283"
"9","0.25919044","-1.9776832","-0.8047066","null","null","null"
"10","null","null","null","-0.2916032","-0.19455485","-0.16660859"
"11","null","null","null","-0.30931777","-0.193944","-0.16355436"
"12","0.3493933","-1.9226549","-0.58068657","null","null","null"
"16","null","null","null","-0.32153472","-0.19333316","-0.16355436"
"17","0.42277956","-1.8904924","-0.24969006","null","null","null"
"18","null","null","null","-0.32825404","-0.19150062","-0.16233265"
"18","null","null","null","-0.33497337","-0.18539214","-0.16172181"
"19","null","null","null","-0.33741677","-0.17928366","-0.16172181"
"20","0.49051917","-1.8698013","0.11305809","null","null","null"
"21","null","null","null","-0.33619505","-0.17561859","-0.16233265"
"24","null","null","null","-0.3300866","-0.16889927","-0.16355436"
"25","0.56222564","-1.8480777","0.4814434","null","null","null"
"26","null","null","null","-0.32153472","-0.16217995","-0.16355436"
"29","0.60215586","-1.8438808","0.81383324","null","null","null"
"29","null","null","null","-0.3111503","-0.15607147","-0.16355436"
"31","null","null","null","-0.2989334","-0.1511847","-0.16355436"
"33","null","null","null","-0.2848839","-0.14813046","-0.16294351"
"35","0.61375767","-1.8611399","1.0757027","null","null","null"
"36","null","null","null","-0.2720561","-0.14446537","-0.16355436"
"39","0.6160767","-1.868915","1.2994671","null","null","null"
"40","null","null","null","-0.25495237","-0.14202198","-0.1653869"
"40","null","null","null","-0.2396812","-0.13835691","-0.16660859"
"43","null","null","null","-0.22372282","-0.13163759","-0.16721943"
"44","0.5984719","-1.8566201","1.4804411","null","null","null"
"45","null","null","null","-0.20661908","-0.12675081","-0.16966283"
"48","null","null","null","-0.19073705","-0.11697725","-0.17332791"
"49","0.57557225","-1.8637784","1.6450043","null","null","null"
"50","null","null","null","-0.17485502","-0.10964708","-0.17393875"
"53","null","null","null","-0.16080554","-0.09681929","-0.1757713"
