"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","0.38629007","-1.190258","-0.5748882","null","null","null"
"3","null","null","null","0.14156385","-0.07551599","0.05245651"
"3","null","null","null","0.14522894","-0.09384141","0.057343286"
"5","0.5783534","-1.3697147","-0.5921066","null","null","null"
"5","null","null","null","0.14889401","-0.10728005","0.0640626"
"7","null","null","null","0.15133741","-0.11949699","0.07322531"
"10","null","null","null","0.1537808","-0.12927055","0.07994463"
"11","0.6049199","-1.5461226","-0.80862737","null","null","null"
"12","null","null","null","0.15622419","-0.1390441","0.0884965"
"15","null","null","null","0.1537808","-0.14576343","0.09460497"
"17","0.60238695","-1.666935","-0.87750816","null","null","null"
"18","null","null","null","0.15194826","-0.15248275","0.10193513"
"22","0.59809685","-1.7634697","-1.1263463","null","null","null"
"22","null","null","null","0.14828317","-0.15736952","0.10498937"
"22","null","null","null","0.14583978","-0.16592139","0.106211066"
"25","0.6885648","-1.7726135","-1.1626623","null","null","null"
"25","null","null","null","0.14278555","-0.17569494","0.106211066"
"27","null","null","null","0.13850962","-0.18913358","0.102545984"
"30","null","null","null","0.13606623","-0.20379391","0.09521582"
"30","0.8267479","-1.7461386","-1.269788","null","null","null"
"32","null","null","null","0.13056861","-0.2178434","0.08605311"
"35","null","null","null","0.12873606","-0.23189288","0.07383616"
"36","0.9667206","-1.72262","-1.2741919","null","null","null"
"37","null","null","null","0.12507097","-0.243499","0.060397524"
"39","null","null","null","0.12079505","-0.24899662","0.04512634"
"40","1.1176233","-1.686698","-1.3220606","null","null","null"
"42","null","null","null","0.12384928","-0.25327253","0.02741177"
"44","null","null","null","0.11957335","-0.25205085","0.009086353"
"44","1.1749544","-1.6612034","-1.2560983","null","null","null"
"47","null","null","null","0.11712996","-0.24410984","-0.0104607595"
"50","null","null","null","0.09941539","-0.20806985","-0.029397024"
"50","1.1729598","-1.6332054","-1.2644203","null","null","null"
"51","null","null","null","0.078035735","-0.18913358","-0.042224817"
"54","null","null","null","0.07559235","-0.20501561","-0.057496"
"54","0.9565983","-1.7067366","-1.5267799","null","null","null"
"56","null","null","null","0.07925743","-0.23250374","-0.07093464"
"59","0.7603831","-1.5547333","-1.689893","null","null","null"
"60","null","null","null","0.08353336","-0.25327253","-0.07765396"
"61","null","null","null","0.08536591","-0.2618244","-0.08192989"
"64","null","null","null","0.08536591","-0.26610035","-0.08192989"
"64","0.5153394","-1.4209824","-1.6922657","null","null","null"
"66","null","null","null","0.081700824","-0.2618244","-0.0782648"
"69","null","null","null","0.07742489","-0.25510508","-0.06910209"
"69","0.046115875","-1.4283485","-1.8248429","null","null","null"
"71","null","null","null","0.071927264","-0.24716407","-0.05993939"
"73","null","null","null","0.069483876","-0.23555797","-0.050165832"
"74","-0.35859585","-1.391139","-2.012289","null","null","null"
"76","null","null","null","0.069483876","-0.22700611","-0.03978143"
"79","null","null","null","0.07314896","-0.22150849","-0.03000787"
"80","-0.5601301","-1.2004652","-2.1078694","null","null","null"
"82","null","null","null","0.07925743","-0.21967594","-0.020234315"
"84","-0.654264","-0.95920277","-2.1561484","null","null","null"
"84","null","null","null","0.08903099","-0.2190651","-0.0104607595"
"85","null","null","null","0.10124794","-0.21723256","-0.0019088977"
"89","null","null","null","0.115908265","-0.21356747","0.0066429637"
"89","-0.6770649","-0.7629652","-2.246111","null","null","null"
"91","null","null","null","0.1317903","-0.21112408","0.015805673"
"94","null","null","null","0.14828317","-0.20318307","0.022524992"
"94","-0.6550107","-0.58293915","-2.177239","null","null","null"
"96","null","null","null","0.16355436","-0.1958529","0.026800923"
"99","-0.5682149","-0.46710968","-2.1040738","null","null","null"
"99","null","null","null","0.17882554","-0.19096613","0.02985516"
"102","null","null","null","0.19226417","-0.1830251","0.031076854"
"104","-0.4026289","-0.3856926","-2.1352043","null","null","null"
"104","null","null","null","0.20264858","-0.17752749","0.032909397"
"107","null","null","null","0.21058959","-0.17019732","0.032909397"
"108","null","null","null","0.21547636","-0.1622563","0.030466007"
"110","-0.26014853","-0.36039352","-2.25454","null","null","null"
"111","null","null","null","0.21730891","-0.15675868","0.028633466"
"114","null","null","null","0.21486552","-0.1506502","0.028022617"
"114","-0.14085054","-0.37701225","-2.3442624","null","null","null"
"115","null","null","null","0.21486552","-0.14332004","0.025579229"
"118","-0.06143856","-0.43916798","-2.39575","null","null","null"
"119","null","null","null","0.21120045","-0.14209834","0.023746688"
"122","null","null","null","0.20753536","-0.14332004","0.023746688"
"123","null","null","null","0.20203774","-0.14515258","0.023135839"
"124","-0.016829014","-0.5252876","-2.3953986","null","null","null"
"125","null","null","null","0.1977618","-0.15003936","0.023135839"
"128","null","null","null","0.19470756","-0.15614784","0.021303298"
"129","0.01821518","-0.6783819","-2.3753676","null","null","null"
"131","null","null","null","0.1885991","-0.16408885","0.018249061"
"133","null","null","null","0.18187977","-0.17264071","0.014583978"
"134","0.07707167","-0.7849264","-2.3222837","null","null","null"
"135","null","null","null","0.17393875","-0.18180342","0.0096972"
"138","null","null","null","0.1641652","-0.19157697","0.0029778804"
"138","0.11892271","-0.90969944","-2.3064396","null","null","null"
"141","null","null","null","0.15500249","-0.20012884","-0.004963134"
"143","null","null","null","0.1421747","-0.20929155","-0.014736691"
"143","0.12679958","-1.0851488","-2.1387255","null","null","null"
"145","null","null","null","0.12873606","-0.22395188","-0.022677705"
"148","null","null","null","0.11529742","-0.2386122","-0.03000787"
"148","0.026711464","-1.3208551","-1.7531238","null","null","null"
"150","null","null","null","0.0981937","-0.2502183","-0.037948888"
"152","null","null","null","0.08536591","-0.26121357","-0.044668205"
"153","-0.12019491","-1.6287069","-1.2860994","null","null","null"
"156","null","null","null","0.0749815","-0.2679329","-0.04833329"
"158","-0.29337788","-1.9880619","-0.74540424","null","null","null"
"158","null","null","null","0.060321167","-0.27281967","-0.05077668"
"161","null","null","null","0.048104223","-0.26915458","-0.051998373"
"162","null","null","null","0.035887275","-0.25877017","-0.05260922"
"164","-0.40674925","-2.3329926","-0.12557554","null","null","null"
"165","null","null","null","0.02367033","-0.24166645","-0.051998373"
"167","null","null","null","0.0151184695","-0.21845426","-0.047111593"
"168","-0.46527576","-2.6836767","0.5617653","null","null","null"
"170","null","null","null","0.0077883024","-0.18607935","-0.044057358"
"173","null","null","null","0.0035123718","-0.15003936","-0.037338037"
"173","-0.48226643","-3.049426","1.3358489","null","null","null"
"175","null","null","null","0.0047340663","-0.11766446","-0.02817533"
"178","null","null","null","0.0071774554","-0.0846787","-0.018401774"
"179","-0.5423708","-3.4286594","2.2066355","null","null","null"
"181","null","null","null","0.0193944","-0.05596888","-0.004352287"
"182","null","null","null","0.029167956","-0.026037365","0.010308048"
"184","-0.64748","-3.8316946","2.9857192","null","null","null"
"186","null","null","null","0.047493376","0.0075592347","0.025579229"
"187","null","null","null","0.06520794","0.04359922","0.039017867"
"188","-0.6934755","-4.1769733","3.4501278","null","null","null"
"190","null","null","null","0.08231167","0.07902836","0.053678203"
"192","null","null","null","0.09941539","0.118733436","0.0640626"
"192","-0.63518476","-4.3701534","3.9275775","null","null","null"
"194","null","null","null","0.11407573","0.15477343","0.07505786"
"197","-0.5566082","-4.3315096","4.31548","null","null","null"
"198","null","null","null","0.12690352","0.18592663","0.08544226"
"200","null","null","null","0.13240114","0.21769069","0.09216158"
"203","null","null","null","0.13240114","0.24884391","0.100102596"
"203","-0.5822191","-4.081998","4.4008646","null","null","null"
"205","null","null","null","0.12629268","0.27938625","0.10498937"
"207","-0.6427288","-3.5996008","4.1708875","null","null","null"
"208","null","null","null","0.11224318","0.3056527","0.10743276"
"210","null","null","null","0.09208523","0.3288649","0.108654454"
"212","-0.7406454","-2.9209766","3.7971525","null","null","null"
"212","null","null","null","0.06520794","0.34780115","0.10804361"
"215","null","null","null","0.032222193","0.3636832","0.10560022"
"217","-0.86523676","-2.1986427","3.3290782","null","null","null"
"217","null","null","null","-0.007482879","0.37467843","0.10315683"
"221","null","null","null","-0.050853033","0.38750622","0.099491745"
"222","null","null","null","-0.097277425","0.40216658","0.09704836"
"222","-1.0571499","-1.5429125","2.756974","null","null","null"
"224","null","null","null","-0.14614521","0.4180486","0.09582666"
"227","null","null","null","-0.1937913","0.43331978","0.09521582"
"227","-1.2719922","-1.0158997","2.3203592","null","null","null"
"229","null","null","null","-0.2377723","0.45103434","0.09521582"
"232","-1.4032025","-0.5359402","2.2935762","null","null","null"
"232","null","null","null","-0.27564484","0.46935976","0.0988809"
"234","null","null","null","-0.30679804","0.48585263","0.10071344"
"237","null","null","null","-0.32878855","0.49929127","0.10071344"
"237","-1.4376264","-0.08708382","2.6762938","null","null","null"
"239","null","null","null","-0.34344888","0.5133408","0.10193513"
"242","null","null","null","-0.34894648","0.52433604","0.102545984"
"242","-1.3479071","0.3932004","3.242022","null","null","null"
"245","null","null","null","-0.34528142","0.52800107","0.10071344"
"247","null","null","null","-0.33428615","0.5304445","0.0988809"
"247","-1.2728629","0.7844348","3.7168677","null","null","null"
"249","null","null","null","-0.32206923","0.53105533","0.09704836"
"251","null","null","null","-0.3025221","0.5304445","0.09399412"
"252","-1.2459226","1.1216016","3.965178","null","null","null"
"253","null","null","null","-0.2793099","0.52861196","0.093383275"
"257","null","null","null","-0.25487602","0.5304445","0.09093989"
"257","-1.3099899","1.3583708","4.0415626","null","null","null"
"259","null","null","null","-0.22799873","0.5304445","0.08971819"
"262","null","null","null","-0.19867808","0.5347204","0.08971819"
"262","-1.4290915","1.5440025","4.016322","null","null","null"
"264","null","null","null","-0.17180079","0.53594214","0.09093989"
"266","-1.5623264","1.7133837","3.9874144","null","null","null"
"267","null","null","null","-0.14003673","0.54021806","0.093383275"
"268","null","null","null","-0.10827268","0.54815906","0.09704836"
"271","null","null","null","-0.07895201","0.55976516","0.0988809"
"272","-1.7228012","1.8379726","3.9364686","null","null","null"
"274","null","null","null","-0.051463883","0.5744255","0.10437853"
"276","null","null","null","-0.022143213","0.58786416","0.109265305"
"277","-1.8518877","1.9142365","3.8873973","null","null","null"
"278","null","null","null","0.00167983","0.6031353","0.11109784"
"281","null","null","null","0.023059484","0.6159631","0.11231954"
"282","-1.873277","1.9336834","3.8058076","null","null","null"
"284","null","null","null","0.043217443","0.62818","0.11170869"
"286","null","null","null","0.063375406","0.6367319","0.108654454"
"287","-1.7597957","1.9045038","3.590595","null","null","null"
"288","null","null","null","0.0762032","0.6495597","0.10315683"
"291","null","null","null","0.08719844","0.6581116","0.0988809"
"291","-1.5334225","1.8073092","3.3237634","null","null","null"
"293","null","null","null","0.09636115","0.6623875","0.09155073"
"297","null","null","null","0.10491302","0.6703285","0.08483142"
"298","-1.3665044","1.6037312","3.0657594","null","null","null"
"299","null","null","null","0.11224318","0.6746044","0.07933379"
"302","null","null","null","0.12079505","0.67704785","0.07383616"
"302","-1.2660537","1.342915","2.8574023","null","null","null"
"303","null","null","null","0.13117945","0.6782695","0.066506"
"307","null","null","null","0.14339639","0.6776587","0.060397524"
"307","-1.1650157","1.0512419","2.722519","null","null","null"
"308","null","null","null","0.15866758","0.6746044","0.05428905"
"311","-1.0167346","0.8292575","2.6416154","null","null","null"
"311","null","null","null","0.176993","0.6727719","0.044515494"
"314","null","null","null","0.19837265","0.6709394","0.033520244"
"316","null","null","null","0.2197523","0.6703285","0.021914145"
"316","-0.82876515","0.5727806","2.6404681","null","null","null"
"318","null","null","null","0.24235365","0.6715502","0.010918895"
"323","null","null","null","0.2661767","0.6752153","-0.002519745"
"323","-0.6084633","0.33086014","2.6433387","null","null","null"
"323","null","null","null","0.29061058","0.6782695","-0.015958386"
"326","null","null","null","0.31443363","0.6874322","-0.031229567"
"326","-0.41827106","0.124910355","2.6583197","null","null","null"
"328","null","null","null","0.33581328","0.6984275","-0.047111593"
"331","null","null","null","0.3553604","0.71247697","-0.06482617"
"331","-0.19271135","-0.0022506714","2.6386547","null","null","null"
"333","null","null","null","0.3736858","0.72408307","-0.082540736"
"335","0.009413242","-0.067658424","2.4782727","null","null","null"
"336","null","null","null","0.3877353","0.7363","-0.1026987"
"338","null","null","null","0.3993414","0.748517","-0.120413266"
"343","null","null","null","0.40667155","0.75890136","-0.13934954"
"343","0.09367752","-0.15284443","2.2304838","null","null","null"
"343","null","null","null","0.4121692","0.7711183","-0.15523157"
"346","null","null","null","0.41155833","0.7851678","-0.1711136"
"346","0.14289808","-0.2267456","1.9055109","null","null","null"
"348","null","null","null","0.40667155","0.80227154","-0.18760647"
"351","null","null","null","0.40178478","0.81693184","-0.20104511"
"351","0.09497547","-0.25960255","1.6342536","null","null","null"
"353","null","null","null","0.39201123","0.83166856","-0.21570544"
"356","-0.046239853","-0.25507355","1.4063061","null","null","null"
"356","null","null","null","0.38223767","0.8493831","-0.22975492"
"358","null","null","null","0.36085802","0.8689302","-0.24258272"
"363","null","null","null","0.3400892","0.88725567","-0.25235626"
"363","-0.17772198","-0.2611103","1.1265894","null","null","null"
"363","null","null","null","0.3126011","0.9068028","-0.26212984"
"366","-0.4294796","-0.26093292","0.8150325","null","null","null"
"366","null","null","null","0.28083703","0.9232956","-0.2682383"
"368","null","null","null","0.24662958","0.93917763","-0.27129254"
"370","null","null","null","0.2093679","0.953838","-0.27312508"
"371","-0.7016506","-0.28309727","0.49152362","null","null","null"
"372","null","null","null","0.17088452","0.96361154","-0.27251422"
"376","-0.94952583","-0.29754353","0.28707683","null","null","null"
"376","null","null","null","0.12690352","0.97216344","-0.26884916"
"378","null","null","null","0.07925743","0.97277427","-0.26640576"
"381","null","null","null","0.04199575","0.9807153","-0.25907558"
"382","-1.1010561","-0.33047962","0.19622087","null","null","null"
"383","null","null","null","4.5813544E-4","0.9856021","-0.25296712"
"386","null","null","null","-0.0361927","0.99476475","-0.2474695"
"386","-1.2159884","-0.35058022","0.19918549","null","null","null"
"387","null","null","null","-0.0697893","1.009425","-0.24075018"
"391","null","null","null","-0.10155336","1.0198095","-0.23280916"
"391","-1.2095547","-0.30991364","0.41109598","null","null","null"
"392","null","null","null","-0.12965234","1.0363023","-0.2267007"
"395","null","null","null","-0.15164283","1.0509627","-0.21937053"
"395","-1.2229972","-0.2861395","0.5489094","null","null","null"
"398","null","null","null","-0.17118995","1.0686773","-0.21692713"
"403","-1.0641916","-0.28168774","0.65611875","null","null","null"
"403","null","null","null","-0.18768282","1.0888352","-0.21753798"
"403","null","null","null","-0.20112146","1.109604","-0.21692713"
"405","null","null","null","-0.20845163","1.1273186","-0.21631628"
"405","-0.86390066","-0.24035549","0.7691624","null","null","null"
"408","null","null","null","-0.20967332","1.1493092","-0.21570544"
"410","null","null","null","-0.20722993","1.1774081","-0.21692713"
"410","-0.7812352","-0.19072628","0.9132929","null","null","null"
"412","null","null","null","-0.20295401","1.209783","-0.21875967"
"415","null","null","null","-0.1925696","1.2348278","-0.22547899"
"415","-0.773334","-0.014487267","1.2919786","null","null","null"
"417","null","null","null","-0.18035266","1.2531532","-0.22975492"
"420","null","null","null","-0.16569231","1.2672026","-0.23769593"
"421","-0.65366316","0.19490337","1.5856287","null","null","null"
"422","null","null","null","-0.14981028","1.2727003","-0.2346417"
"425","-0.61545277","0.34083605","1.7146031","null","null","null"
"425","null","null","null","-0.13392825","1.273922","-0.23769593"
"426","null","null","null","-0.12110047","1.277587","-0.24869119"
