"TimeStamp","LA(x)","LA(y)","LA(z)","GY(x)","GY(y)","GY(z)"
"0","null","null","null","-0.016263809","-0.1750841","-0.013362284"
"3","0.007372856","0.12159824","-0.48883957","null","null","null"
"9","null","null","null","-0.023593975","-0.17141901","-0.017638214"
"10","null","null","null","-0.032145835","-0.16592139","-0.023135839"
"10","null","null","null","-0.039476003","-0.15675868","-0.029244313"
"11","0.105107546","0.12643719","-0.40432626","null","null","null"
"12","null","null","null","-0.043751936","-0.14881766","-0.034741938"
"12","null","null","null","-0.04924956","-0.13843326","-0.04146126"
"13","0.23242283","0.1038599","-0.2881413","null","null","null"
"13","null","null","null","-0.0510821","-0.12743801","-0.046958882"
"13","0.35110354","0.070690155","-0.17408502","null","null","null"
"14","null","null","null","-0.052303795","-0.11644276","-0.053067356"
"14","null","null","null","-0.052914646","-0.10361496","-0.062230065"
"16","null","null","null","-0.051692948","-0.09261972","-0.06956023"
"17","0.43967628","0.042384148","-0.0647465","null","null","null"
"18","null","null","null","-0.04924956","-0.08040277","-0.07933379"
"21","0.49711418","0.02717495","0.027824163","null","null","null"
"21","null","null","null","-0.04680617","-0.07062922","-0.08788565"
"22","null","null","null","-0.04253024","-0.06024481","-0.09765921"
"26","null","null","null","-0.037643462","-0.0510821","-0.108654454"
"27","0.5686834","0.022535324","0.0798828","null","null","null"
"27","null","null","null","-0.030924143","-0.043751936","-0.11659547"
"30","null","null","null","-0.026037365","-0.035200074","-0.12881242"
"31","0.6020217","0.02361393","0.14267457","null","null","null"
"32","null","null","null","-0.01809635","-0.0290916","-0.13980767"
"35","null","null","null","-0.009544488","-0.021761434","-0.14958122"
"36","0.6234355","0.030320168","0.21955055","null","null","null"
"38","null","null","null","-9.926268E-4","-0.018707197","-0.15874393"
"42","null","null","null","0.0069483877","-0.014431266","-0.16973919"
"43","0.6259978","0.027188301","0.28185576","null","null","null"
"43","null","null","null","0.01733279","-0.011987877","-0.17829104"
"47","null","null","null","0.0264955","-0.010766183","-0.18745375"
"48","0.61582255","0.0012378693","0.32490057","null","null","null"
"48","null","null","null","0.036269058","-0.010155336","-0.198449"
"50","null","null","null","0.050318543","-0.010766183","-0.20822255"
"51","0.58698225","-0.0022630692","0.3903246","null","null","null"
"52","null","null","null","0.06436803","-0.011987877","-0.2192178"
"55","null","null","null","0.07719582","-0.013209572","-0.22838052"
"56","0.58234644","-0.017965317","0.46819127","null","null","null"
"57","null","null","null","0.092467","-0.016874656","-0.24120831"
"60","0.5765972","-0.024451256","0.5939711","null","null","null"
"61","null","null","null","0.10834903","-0.023593975","-0.25464696"
"62","null","null","null","0.1260636","-0.029702447","-0.26747474"
"65","null","null","null","0.14316733","-0.033367533","-0.28213507"
"65","0.5755267","-0.01829815","0.65550524","null","null","null"
"67","null","null","null","0.1584385","-0.030313294","-0.29862794"
"69","null","null","null","0.1712663","-0.026037365","-0.3132883"
"70","0.6288321","0.03002739","0.69372416","null","null","null"
"72","null","null","null","0.18409409","-0.023593975","-0.330392"
"76","0.67667055","0.07388115","0.6853032","null","null","null"
"77","null","null","null","0.19508934","-0.020539738","-0.3456632"
